RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,19,8165,79,64,0,2,2,1,16.mid,experiment,0
2,21,8490,78,64,0,2,2,1,16.mid,experiment,0
3,23,8684,79,64,0,2,2,1,16.mid,experiment,0
4,25,9008,76,64,0,2,2,1,16.mid,experiment,0
5,26,9045,72,64,0,2,2,1,16.mid,experiment,0
6,28,9300,67,64,0,2,2,1,16.mid,experiment,0
7,30,9590,67,64,0,2,2,1,16.mid,experiment,0
8,32,9851,67,64,0,2,2,1,16.mid,experiment,0
9,35,10424,79,64,0,2,2,1,16.mid,experiment,0
10,37,10663,78,64,0,2,2,1,16.mid,experiment,0
11,39,10937,79,64,0,2,2,1,16.mid,experiment,0
12,41,11211,76,64,0,2,2,1,16.mid,experiment,0
13,43,11507,72,64,0,2,2,1,16.mid,experiment,0
14,45,11781,76,64,0,2,2,1,16.mid,experiment,0
15,47,12007,79,64,0,2,2,1,16.mid,experiment,0
16,49,12288,84,64,0,2,2,1,16.mid,experiment,0
17,50,12378,83,64,0,2,2,1,16.mid,experiment,0
18,52,12610,81,64,0,2,2,1,16.mid,experiment,0
19,54,12894,81,64,0,2,2,1,16.mid,experiment,0
20,56,13161,81,64,0,2,2,1,16.mid,experiment,0
21,59,13791,83,64,0,2,2,1,16.mid,experiment,0
22,61,13999,81,64,0,2,2,1,16.mid,experiment,0
23,63,14293,84,64,0,2,2,1,16.mid,experiment,0
24,65,14527,81,64,0,2,2,1,16.mid,experiment,0
25,66,14728,78,64,0,2,2,1,16.mid,experiment,0
26,68,14831,79,64,0,2,2,1,16.mid,experiment,0
27,70,15385,79,64,0,2,2,1,16.mid,experiment,0
28,72,16190,79,64,0,2,2,1,16.mid,experiment,0
29,74,16927,77,64,0,2,2,1,16.mid,experiment,0
30,76,17204,77,64,0,2,2,1,16.mid,experiment,0
31,78,17504,76,64,0,2,2,1,16.mid,experiment,0
32,80,17787,76,64,0,2,2,1,16.mid,experiment,0
33,82,18624,74,64,0,2,2,1,16.mid,experiment,0
