RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,19,8291,79,64,0,2,3,2,14.mid,experiment,1
2,21,8555,78,64,0,2,3,2,14.mid,experiment,1
3,23,8875,79,64,0,2,3,2,14.mid,experiment,1
4,25,9165,76,64,0,2,3,2,14.mid,experiment,1
5,26,9399,72,64,0,2,3,2,14.mid,experiment,1
6,28,9485,67,64,0,2,3,2,14.mid,experiment,1
7,30,9727,67,64,0,2,3,2,14.mid,experiment,1
8,32,9999,67,64,0,2,3,2,14.mid,experiment,1
9,35,10619,79,64,0,2,3,2,14.mid,experiment,1
10,37,10916,78,64,0,2,3,2,14.mid,experiment,1
11,39,11174,79,64,0,2,3,2,14.mid,experiment,1
12,41,11405,76,64,0,2,3,2,14.mid,experiment,1
13,43,11783,72,64,0,2,3,2,14.mid,experiment,1
14,45,12009,76,64,0,2,3,2,14.mid,experiment,1
15,47,12271,79,64,0,2,3,2,14.mid,experiment,1
16,49,12625,84,64,0,2,3,2,14.mid,experiment,1
17,50,12845,83,64,0,2,3,2,14.mid,experiment,1
18,52,12961,81,64,0,2,3,2,14.mid,experiment,1
19,54,13185,81,64,0,2,3,2,14.mid,experiment,1
20,56,13453,81,64,0,2,3,2,14.mid,experiment,1
21,59,13973,83,64,0,2,3,2,14.mid,experiment,1
22,61,14247,81,64,0,2,3,2,14.mid,experiment,1
23,63,14567,84,64,0,2,3,2,14.mid,experiment,1
24,65,14821,81,64,0,2,3,2,14.mid,experiment,1
25,67,15101,78,64,0,2,3,2,14.mid,experiment,1
26,68,15253,79,64,0,2,3,2,14.mid,experiment,1
27,70,15679,79,64,0,2,3,2,14.mid,experiment,1
28,72,16354,79,64,0,2,3,2,14.mid,experiment,1
29,74,17438,77,64,0,2,3,2,14.mid,experiment,1
30,76,17712,77,64,0,2,3,2,14.mid,experiment,1
31,78,17971,76,64,0,2,3,2,14.mid,experiment,1
32,80,18245,76,64,0,2,3,2,14.mid,experiment,1
33,82,18627,74,64,0,2,3,2,14.mid,experiment,1
34,84,19893,79,64,0,2,3,2,14.mid,experiment,1
35,86,20435,77,64,0,2,3,2,14.mid,experiment,1
36,88,20857,76,64,0,2,3,2,14.mid,experiment,1
37,90,21123,76,64,0,2,3,2,14.mid,experiment,1
38,92,21403,76,64,0,2,3,2,14.mid,experiment,1
39,94,21678,76,64,0,2,3,2,14.mid,experiment,1
40,97,22339,81,64,0,2,3,2,14.mid,experiment,1
41,99,22521,77,64,0,2,3,2,14.mid,experiment,1
42,100,22733,76,64,0,2,3,2,14.mid,experiment,1
43,103,23013,74,64,0,2,3,2,14.mid,experiment,1
44,105,23305,76,64,0,2,3,2,14.mid,experiment,1
45,107,23621,79,64,0,2,3,2,14.mid,experiment,1
46,109,23805,74,64,0,2,3,2,14.mid,experiment,1
47,110,23975,71,64,0,2,3,2,14.mid,experiment,1
48,112,24147,72,64,0,2,3,2,14.mid,experiment,1
49,114,24383,72,64,0,2,3,2,14.mid,experiment,1
50,116,24627,74,64,0,2,3,2,14.mid,experiment,1
51,118,24905,74,64,0,2,3,2,14.mid,experiment,1
52,120,25343,76,64,0,2,3,2,14.mid,experiment,1
53,122,26548,65,64,0,2,3,2,14.mid,experiment,1
54,124,26831,65,64,0,2,3,2,14.mid,experiment,1
56,130,28451,64,64,0,2,3,2,14.mid,experiment,1
57,132,28723,64,64,0,2,3,2,14.mid,experiment,1
58,134,29155,62,64,0,2,3,2,14.mid,experiment,1
59,136,30181,67,64,0,2,3,2,14.mid,experiment,1
60,138,30439,67,64,0,2,3,2,14.mid,experiment,1
61,140,30711,71,64,0,2,3,2,14.mid,experiment,1
62,142,30985,71,64,0,2,3,2,14.mid,experiment,1
63,144,31237,72,64,0,2,3,2,14.mid,experiment,1
64,146,31503,72,64,0,2,3,2,14.mid,experiment,1
65,148,31769,73,64,0,2,3,2,14.mid,experiment,1
66,150,32051,73,64,0,2,3,2,14.mid,experiment,1
67,152,32419,74,64,0,2,3,2,14.mid,experiment,1
68,154,32959,77,64,0,2,3,2,14.mid,experiment,1
69,156,33491,76,64,0,2,3,2,14.mid,experiment,1
70,158,33993,74,64,0,2,3,2,14.mid,experiment,1
71,160,34533,72,64,0,2,3,2,14.mid,experiment,1
72,162,35115,84,64,0,2,3,2,14.mid,experiment,1
73,164,35837,84,64,0,2,3,2,14.mid,experiment,1
1,19,8171,79,64,0,2,4,9,8.mid,experiment,1
2,21,8442,78,64,0,2,4,9,8.mid,experiment,1
3,23,8719,79,64,0,2,4,9,8.mid,experiment,1
4,25,9030,76,64,0,2,4,9,8.mid,experiment,1
5,26,9055,72,64,0,2,4,9,8.mid,experiment,1
6,28,9310,67,64,0,2,4,9,8.mid,experiment,1
7,30,9589,67,64,0,2,4,9,8.mid,experiment,1
8,32,9897,67,64,0,2,4,9,8.mid,experiment,1
10,37,10427,79,64,0,2,4,9,8.mid,experiment,1
11,39,10758,78,64,0,2,4,9,8.mid,experiment,1
12,41,11003,79,64,0,2,4,9,8.mid,experiment,1
13,42,11238,76,64,0,2,4,9,8.mid,experiment,1
14,45,11646,72,64,0,2,4,9,8.mid,experiment,1
15,47,11824,76,64,0,2,4,9,8.mid,experiment,1
16,49,12060,79,64,0,2,4,9,8.mid,experiment,1
17,51,12419,84,64,0,2,4,9,8.mid,experiment,1
18,52,12550,83,64,0,2,4,9,8.mid,experiment,1
19,54,12635,81,64,0,2,4,9,8.mid,experiment,1
20,56,12916,81,64,0,2,4,9,8.mid,experiment,1
21,58,13184,81,64,0,2,4,9,8.mid,experiment,1
22,61,13767,83,64,0,2,4,9,8.mid,experiment,1
23,63,14024,81,64,0,2,4,9,8.mid,experiment,1
24,65,14348,84,64,0,2,4,9,8.mid,experiment,1
25,67,14584,81,64,0,2,4,9,8.mid,experiment,1
26,69,14886,78,64,0,2,4,9,8.mid,experiment,1
27,70,14940,79,64,0,2,4,9,8.mid,experiment,1
28,72,15275,79,64,0,2,4,9,8.mid,experiment,1
29,74,16255,79,64,0,2,4,9,8.mid,experiment,1
30,76,16795,77,64,0,2,4,9,8.mid,experiment,1
31,78,17060,77,64,0,2,4,9,8.mid,experiment,1
32,80,17360,76,64,0,2,4,9,8.mid,experiment,1
33,82,17660,76,64,0,2,4,9,8.mid,experiment,1
34,84,18449,74,64,0,2,4,9,8.mid,experiment,1
35,86,19251,79,64,0,2,4,9,8.mid,experiment,1
36,88,19796,77,64,0,2,4,9,8.mid,experiment,1
37,90,20153,76,64,0,2,4,9,8.mid,experiment,1
38,92,20419,76,64,0,2,4,9,8.mid,experiment,1
39,94,20690,76,64,0,2,4,9,8.mid,experiment,1
40,96,20978,76,64,0,2,4,9,8.mid,experiment,1
41,99,21681,81,64,0,2,4,9,8.mid,experiment,1
42,101,21892,77,64,0,2,4,9,8.mid,experiment,1
43,103,22128,76,64,0,2,4,9,8.mid,experiment,1
44,105,22501,74,64,0,2,4,9,8.mid,experiment,1
45,107,22735,76,64,0,2,4,9,8.mid,experiment,1
46,109,23089,79,64,0,2,4,9,8.mid,experiment,1
47,111,23255,74,64,0,2,4,9,8.mid,experiment,1
48,112,23294,71,64,0,2,4,9,8.mid,experiment,1
49,114,23563,72,64,0,2,4,9,8.mid,experiment,1
50,116,23828,72,64,0,2,4,9,8.mid,experiment,1
51,118,24100,74,64,0,2,4,9,8.mid,experiment,1
52,120,24390,74,64,0,2,4,9,8.mid,experiment,1
53,122,25179,76,64,0,2,4,9,8.mid,experiment,1
54,124,25714,65,64,0,2,4,9,8.mid,experiment,1
55,126,25988,65,64,0,2,4,9,8.mid,experiment,1
56,128,26291,64,64,0,2,4,9,8.mid,experiment,1
57,130,26565,64,64,0,2,4,9,8.mid,experiment,1
58,132,27405,62,64,0,2,4,9,8.mid,experiment,1
59,134,27979,67,64,0,2,4,9,8.mid,experiment,1
60,136,28252,67,64,0,2,4,9,8.mid,experiment,1
61,138,28573,71,64,0,2,4,9,8.mid,experiment,1
62,140,28813,71,64,0,2,4,9,8.mid,experiment,1
63,142,29092,72,64,0,2,4,9,8.mid,experiment,1
64,144,29371,72,64,0,2,4,9,8.mid,experiment,1
65,146,29642,73,64,0,2,4,9,8.mid,experiment,1
66,148,29923,73,64,0,2,4,9,8.mid,experiment,1
67,150,30610,74,64,0,2,4,9,8.mid,experiment,1
68,152,31189,77,64,0,2,4,9,8.mid,experiment,1
69,154,31741,76,64,0,2,4,9,8.mid,experiment,1
70,156,32223,74,64,0,2,4,9,8.mid,experiment,1
71,158,32732,72,64,0,2,4,9,8.mid,experiment,1
72,160,33362,84,64,0,2,4,9,8.mid,experiment,1
73,162,34484,84,64,0,2,4,9,8.mid,experiment,1
1,19,8167,79,64,0,2,4,11,2.mid,experiment,1
2,21,8419,78,64,0,2,4,11,2.mid,experiment,1
3,23,8696,79,64,0,2,4,11,2.mid,experiment,1
4,25,9017,76,64,0,2,4,11,2.mid,experiment,1
5,26,9077,72,64,0,2,4,11,2.mid,experiment,1
6,28,9329,67,64,0,2,4,11,2.mid,experiment,1
7,30,9602,67,64,0,2,4,11,2.mid,experiment,1
8,32,9873,67,64,0,2,4,11,2.mid,experiment,1
9,35,10410,79,64,0,2,4,11,2.mid,experiment,1
10,37,10672,78,64,0,2,4,11,2.mid,experiment,1
11,39,10903,79,64,0,2,4,11,2.mid,experiment,1
12,41,11179,76,64,0,2,4,11,2.mid,experiment,1
13,43,11630,72,64,0,2,4,11,2.mid,experiment,1
14,45,11745,76,64,0,2,4,11,2.mid,experiment,1
15,47,11992,79,64,0,2,4,11,2.mid,experiment,1
16,49,12367,84,64,0,2,4,11,2.mid,experiment,1
17,50,12464,83,64,0,2,4,11,2.mid,experiment,1
18,52,12613,81,64,0,2,4,11,2.mid,experiment,1
19,54,12861,81,64,0,2,4,11,2.mid,experiment,1
20,56,13137,81,64,0,2,4,11,2.mid,experiment,1
21,59,13750,83,64,0,2,4,11,2.mid,experiment,1
22,61,13980,81,64,0,2,4,11,2.mid,experiment,1
23,63,14332,84,64,0,2,4,11,2.mid,experiment,1
24,65,14564,81,64,0,2,4,11,2.mid,experiment,1
25,67,14845,78,64,0,2,4,11,2.mid,experiment,1
26,68,14913,79,64,0,2,4,11,2.mid,experiment,1
27,70,15218,79,64,0,2,4,11,2.mid,experiment,1
28,72,16167,79,64,0,2,4,11,2.mid,experiment,1
29,74,16787,77,64,0,2,4,11,2.mid,experiment,1
30,76,17062,77,64,0,2,4,11,2.mid,experiment,1
31,78,17359,76,64,0,2,4,11,2.mid,experiment,1
32,80,17656,76,64,0,2,4,11,2.mid,experiment,1
33,82,18385,74,64,0,2,4,11,2.mid,experiment,1
34,84,19266,79,64,0,2,4,11,2.mid,experiment,1
35,86,19771,77,64,0,2,4,11,2.mid,experiment,1
36,88,20132,76,64,0,2,4,11,2.mid,experiment,1
37,90,20417,76,64,0,2,4,11,2.mid,experiment,1
38,92,20733,76,64,0,2,4,11,2.mid,experiment,1
39,94,20982,76,64,0,2,4,11,2.mid,experiment,1
40,97,21631,81,64,0,2,4,11,2.mid,experiment,1
41,99,21845,77,64,0,2,4,11,2.mid,experiment,1
42,101,22073,76,64,0,2,4,11,2.mid,experiment,1
43,103,22409,74,64,0,2,4,11,2.mid,experiment,1
44,105,22681,76,64,0,2,4,11,2.mid,experiment,1
45,107,23019,79,64,0,2,4,11,2.mid,experiment,1
46,109,23217,74,64,0,2,4,11,2.mid,experiment,1
47,110,23261,71,64,0,2,4,11,2.mid,experiment,1
48,112,23519,72,64,0,2,4,11,2.mid,experiment,1
49,114,23781,72,64,0,2,4,11,2.mid,experiment,1
50,116,24081,74,64,0,2,4,11,2.mid,experiment,1
51,118,24352,74,64,0,2,4,11,2.mid,experiment,1
52,120,25137,76,64,0,2,4,11,2.mid,experiment,1
53,122,25773,65,64,0,2,4,11,2.mid,experiment,1
54,124,26039,65,64,0,2,4,11,2.mid,experiment,1
55,126,26310,64,64,0,2,4,11,2.mid,experiment,1
56,128,26604,64,64,0,2,4,11,2.mid,experiment,1
57,130,27356,62,64,0,2,4,11,2.mid,experiment,1
58,132,28211,67,64,0,2,4,11,2.mid,experiment,1
59,134,28479,67,64,0,2,4,11,2.mid,experiment,1
60,136,28783,71,64,0,2,4,11,2.mid,experiment,1
61,138,29047,71,64,0,2,4,11,2.mid,experiment,1
62,140,29290,72,64,0,2,4,11,2.mid,experiment,1
63,142,29554,72,64,0,2,4,11,2.mid,experiment,1
64,144,29814,73,64,0,2,4,11,2.mid,experiment,1
65,146,30063,73,64,0,2,4,11,2.mid,experiment,1
66,148,30831,74,64,0,2,4,11,2.mid,experiment,1
67,150,31392,77,64,0,2,4,11,2.mid,experiment,1
68,152,31945,76,64,0,2,4,11,2.mid,experiment,1
70,156,32419,74,64,0,2,4,11,2.mid,experiment,1
71,158,33271,72,64,0,2,4,11,2.mid,experiment,1
72,160,33709,84,64,0,2,4,11,2.mid,experiment,1
73,162,35010,84,64,0,2,4,11,2.mid,experiment,1
1,19,8156,79,64,0,2,8,13,5.mid,experiment,1
2,21,8507,78,64,0,2,8,13,5.mid,experiment,1
3,23,8737,79,64,0,2,8,13,5.mid,experiment,1
4,25,9024,76,64,0,2,8,13,5.mid,experiment,1
5,26,9108,72,64,0,2,8,13,5.mid,experiment,1
6,28,9330,67,64,0,2,8,13,5.mid,experiment,1
7,30,9594,67,64,0,2,8,13,5.mid,experiment,1
8,32,9865,67,64,0,2,8,13,5.mid,experiment,1
9,35,10476,79,64,0,2,8,13,5.mid,experiment,1
10,37,10904,78,64,0,2,8,13,5.mid,experiment,1
11,39,11039,79,64,0,2,8,13,5.mid,experiment,1
12,40,11271,76,64,0,2,8,13,5.mid,experiment,1
13,43,11594,72,64,0,2,8,13,5.mid,experiment,1
14,45,11917,76,64,0,2,8,13,5.mid,experiment,1
15,47,12155,79,64,0,2,8,13,5.mid,experiment,1
16,49,12503,84,64,0,2,8,13,5.mid,experiment,1
17,50,12625,83,64,0,2,8,13,5.mid,experiment,1
18,52,12747,81,64,0,2,8,13,5.mid,experiment,1
19,54,13033,81,64,0,2,8,13,5.mid,experiment,1
