RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,17,7841,79,63,1,2,2,1,16.mid,experiment,0
2,18,8112,78,76,1,2,2,1,16.mid,experiment,0
3,20,8406,79,85,1,2,2,1,16.mid,experiment,0
4,22,8657,76,84,1,2,2,1,16.mid,experiment,0
5,24,8955,72,79,1,2,2,1,16.mid,experiment,0
6,27,9240,67,57,1,2,2,1,16.mid,experiment,0
7,29,9533,67,46,1,2,2,1,16.mid,experiment,0
8,31,9805,67,56,1,2,2,1,16.mid,experiment,0
9,33,10077,79,67,1,2,2,1,16.mid,experiment,0
10,34,10345,78,77,1,2,2,1,16.mid,experiment,0
11,36,10629,79,80,1,2,2,1,16.mid,experiment,0
12,38,10902,76,79,1,2,2,1,16.mid,experiment,0
13,40,11172,72,81,1,2,2,1,16.mid,experiment,0
14,42,11448,76,85,1,2,2,1,16.mid,experiment,0
15,44,11705,79,81,1,2,2,1,16.mid,experiment,0
16,46,11977,84,89,1,2,2,1,16.mid,experiment,0
17,48,12241,83,81,1,2,2,1,16.mid,experiment,0
18,51,12545,81,58,1,2,2,1,16.mid,experiment,0
19,53,12825,81,55,1,2,2,1,16.mid,experiment,0
20,55,13115,81,53,1,2,2,1,16.mid,experiment,0
21,57,13404,83,73,1,2,2,1,16.mid,experiment,0
22,58,13679,81,79,1,2,2,1,16.mid,experiment,0
23,60,13948,84,78,1,2,2,1,16.mid,experiment,0
24,62,14209,81,86,1,2,2,1,16.mid,experiment,0
25,64,14493,78,78,1,2,2,1,16.mid,experiment,0
26,67,14780,79,65,1,2,2,1,16.mid,experiment,0
27,69,15073,79,68,1,2,2,1,16.mid,experiment,0
28,71,15685,79,66,1,2,2,1,16.mid,experiment,0
29,73,16870,77,50,1,2,2,1,16.mid,experiment,0
30,75,17157,77,55,1,2,2,1,16.mid,experiment,0
31,77,17442,76,51,1,2,2,1,16.mid,experiment,0
32,79,17711,76,55,1,2,2,1,16.mid,experiment,0
33,81,18039,74,46,1,2,2,1,16.mid,experiment,0
34,83,19222,79,59,1,2,2,1,16.mid,experiment,0
35,84,19799,77,62,1,2,2,1,16.mid,experiment,0
36,86,20377,76,51,1,2,2,1,16.mid,experiment,0
37,89,20658,76,56,1,2,2,1,16.mid,experiment,0
38,91,20930,76,55,1,2,2,1,16.mid,experiment,0
39,93,21197,76,57,1,2,2,1,16.mid,experiment,0
40,95,21513,81,70,1,2,2,1,16.mid,experiment,0
41,96,21798,77,76,1,2,2,1,16.mid,experiment,0
42,98,22094,76,81,1,2,2,1,16.mid,experiment,0
43,100,22366,74,83,1,2,2,1,16.mid,experiment,0
44,102,22643,76,79,1,2,2,1,16.mid,experiment,0
45,104,22911,79,82,1,2,2,1,16.mid,experiment,0
46,106,23193,74,81,1,2,2,1,16.mid,experiment,0
47,108,23479,71,76,1,2,2,1,16.mid,experiment,0
48,111,23782,72,63,1,2,2,1,16.mid,experiment,0
49,113,24062,72,56,1,2,2,1,16.mid,experiment,0
50,115,24334,74,53,1,2,2,1,16.mid,experiment,0
51,117,24600,74,52,1,2,2,1,16.mid,experiment,0
52,119,24928,76,40,1,2,2,1,16.mid,experiment,0
53,121,26118,65,53,1,2,2,1,16.mid,experiment,0
54,123,26398,65,58,1,2,2,1,16.mid,experiment,0
55,125,26972,64,57,1,2,2,1,16.mid,experiment,0
56,127,27232,64,57,1,2,2,1,16.mid,experiment,0
57,129,27551,62,53,1,2,2,1,16.mid,experiment,0
58,131,28693,67,54,1,2,2,1,16.mid,experiment,0
59,133,28973,67,58,1,2,2,1,16.mid,experiment,0
60,135,29255,71,60,1,2,2,1,16.mid,experiment,0
61,137,29531,71,70,1,2,2,1,16.mid,experiment,0
62,139,29811,72,71,1,2,2,1,16.mid,experiment,0
63,141,30086,72,70,1,2,2,1,16.mid,experiment,0
64,143,30360,73,74,1,2,2,1,16.mid,experiment,0
65,145,30635,73,73,1,2,2,1,16.mid,experiment,0
66,147,30955,74,81,1,2,2,1,16.mid,experiment,0
67,148,31528,77,86,1,2,2,1,16.mid,experiment,0
68,150,32071,76,85,1,2,2,1,16.mid,experiment,0
69,152,32616,74,91,1,2,2,1,16.mid,experiment,0
70,155,33187,72,85,1,2,2,1,16.mid,experiment,0
71,156,33721,84,87,1,2,2,1,16.mid,experiment,0
72,159,34321,84,93,1,2,2,1,16.mid,experiment,0
