SubNr,TrialNr,Reason,CorrectionNr
4,1,Missing Notes,1
4,4,Missing Notes,Check individually
4,5,Missing Notes,1
4,13,Missing Notes,1
4,15,Missing Notes,Check individually
5,1,Missing Notes,1
5,2,Missing Notes,1
5,7,Missing Notes,2
5,9,Missing Notes,1
5,15,Missing Notes,1
5,16,Missing Notes,1
6,1,Missing Notes,1
6,3,Missing Notes,1
6,4,Missing Notes,1
6,5,Missing Notes,1
6,7,Missing Notes,2
6,9,Missing Notes,3
6,13,Missing Notes,1
6,16,Missing Notes,1
7,1,Missing Notes,3
7,3,Missing Notes,2
7,8,Missing Notes,1
7,9,Missing Notes,1
7,11,Missing Notes,Check individually
7,16,Missing Notes,1
8,3,Missing Notes,3
8,4,Missing Notes,2
8,9,Missing Notes,2
8,11,Missing Notes,1
8,12,Missing Notes,2
8,16,Missing Notes,1
9,2,Missing Notes,2
9,7,Missing Notes,2
9,8,Missing Notes,2
9,16,Missing Notes,1
10,1,Missing Notes,2
10,3,Missing Notes,1
10,7,Missing Notes,1
10,8,Missing Notes,1
10,10,Missing Notes,Check individually
10,11,Missing Notes,1
11,4,Missing Notes,1
11,11,Missing Notes,1
11,15,Missing Notes,1
12,1,Missing Notes,1
12,5,Missing Notes,1
12,6,Missing Notes,1
12,15,Missing Notes,1
13,8,Missing Notes,1
15,1,Missing Notes,1
16,13,Missing Notes,1
17,1,Missing Notes,Check individually
17,2,Missing Notes,2
17,6,Missing Notes,Check individually
17,10,Missing Notes,2
17,11,Missing Notes,1
17,12,Missing Notes,1
17,14,Missing Notes,Check individually
18,1,Missing Notes,1
18,5,Missing Notes,1
18,9,Missing Notes,2
18,11,Missing Notes,1
18,12,Missing Notes,1
18,15,Missing Notes,1
18,16,Missing Notes,1
19,9,Missing Notes,1
20,1,Missing Notes,Check individually
20,5,Missing Notes,1
21,3,Missing Notes,1
21,5,Missing Notes,1
21,6,Missing Notes,2
21,7,Missing Notes,1
21,8,Missing Notes,1
21,9,Missing Notes,2
21,10,Missing Notes,2
21,11,Missing Notes,3
21,13,Missing Notes,1
21,15,Missing Notes,2
