SubNr,TrialNr,Reason,CorrectionNr
4,8,Substituted Notes - RowNr 25,2
4,16,Substituted Notes - RowNr 25,2
5,5,Substituted Notes - RowNr 47,2
5,13,Substituted Notes - RowNr 35,2
6,2,Substituted Notes - RowNr 9,Check individually
6,12,Substituted Notes - RowNr 8,Check individually
7,12,Substituted Notes - RowNr 4,2
8,6,Substituted Notes - RowNr 47,Check individually
8,10,Substituted Notes - RowNr 4,Check individually
11,7,Substituted Notes - RowNr 16,2
11,9,Substituted Notes - RowNr 16,2
11,10,Substituted Notes - RowNr 4,4
13,1,Substituted Notes - RowNr 8,Check individually
17,3,Substituted Notes - RowNr 23,2
17,5,Substituted Notes - RowNr 23,2
17,9,Substituted Notes - RowNr 23,2
