RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,19,10509,79,64,0,2,11,1,s,pre,1
2,21,10816,78,64,0,2,11,1,s,pre,1
3,23,11025,79,64,0,2,11,1,s,pre,1
4,25,11280,76,64,0,2,11,1,s,pre,1
5,26,11297,72,64,0,2,11,1,s,pre,1
6,28,11577,67,64,0,2,11,1,s,pre,1
7,30,11842,67,64,0,2,11,1,s,pre,1
8,32,12094,67,64,0,2,11,1,s,pre,1
9,35,12756,79,64,0,2,11,1,s,pre,1
10,37,12969,78,64,0,2,11,1,s,pre,1
11,39,13213,79,64,0,2,11,1,s,pre,1
12,40,13410,76,64,0,2,11,1,s,pre,1
13,43,13786,72,64,0,2,11,1,s,pre,1
14,45,14010,76,64,0,2,11,1,s,pre,1
15,47,14196,79,64,0,2,11,1,s,pre,1
16,49,,84,,0,2,11,1,s,pre,1
17,50,,83,,0,2,11,1,s,pre,1
18,52,14773,81,64,0,2,11,1,s,pre,1
19,54,15023,81,64,0,2,11,1,s,pre,1
20,56,15273,81,64,0,2,11,1,s,pre,1
21,59,15858,83,64,0,2,11,1,s,pre,1
22,61,16054,81,64,0,2,11,1,s,pre,1
23,65,16316,84,64,0,2,11,1,s,pre,1
24,67,16548,81,64,0,2,11,1,s,pre,1
25,69,16818,78,64,0,2,11,1,s,pre,1
26,70,16859,79,64,0,2,11,1,s,pre,1
27,72,17087,79,64,0,2,11,1,s,pre,1
28,74,17613,79,64,0,2,11,1,s,pre,1
29,76,18611,77,64,0,2,11,1,s,pre,1
30,78,18883,77,64,0,2,11,1,s,pre,1
31,80,19159,76,64,0,2,11,1,s,pre,1
32,82,19393,76,64,0,2,11,1,s,pre,1
33,84,20092,74,64,0,2,11,1,s,pre,1
34,86,20925,79,64,0,2,11,1,s,pre,1
35,88,21406,77,64,0,2,11,1,s,pre,1
36,90,21888,76,64,0,2,11,1,s,pre,1
37,92,22152,76,64,0,2,11,1,s,pre,1
38,94,22374,76,64,0,2,11,1,s,pre,1
39,96,22677,76,64,0,2,11,1,s,pre,1
40,99,23260,81,64,0,2,11,1,s,pre,1
41,101,23542,77,64,0,2,11,1,s,pre,1
42,103,23639,76,64,0,2,11,1,s,pre,1
43,105,23894,74,64,0,2,11,1,s,pre,1
44,107,24300,76,64,0,2,11,1,s,pre,1
45,109,24427,79,64,0,2,11,1,s,pre,1
46,111,24598,74,64,0,2,11,1,s,pre,1
47,113,24864,71,64,0,2,11,1,s,pre,1
48,114,24890,72,64,0,2,11,1,s,pre,1
49,116,25130,72,64,0,2,11,1,s,pre,1
50,118,25365,74,64,0,2,11,1,s,pre,1
51,120,25633,74,64,0,2,11,1,s,pre,1
52,122,26273,76,64,0,2,11,1,s,pre,1
53,124,26984,65,64,0,2,11,1,s,pre,1
54,126,27225,65,64,0,2,11,1,s,pre,1
55,128,27475,64,64,0,2,11,1,s,pre,1
56,130,27714,64,64,0,2,11,1,s,pre,1
57,132,28300,62,64,0,2,11,1,s,pre,1
58,134,29024,67,64,0,2,11,1,s,pre,1
59,136,29257,67,64,0,2,11,1,s,pre,1
60,138,29517,71,64,0,2,11,1,s,pre,1
61,140,29740,71,64,0,2,11,1,s,pre,1
62,142,30011,72,64,0,2,11,1,s,pre,1
63,144,30239,72,64,0,2,11,1,s,pre,1
64,146,30487,73,64,0,2,11,1,s,pre,1
65,148,30742,73,64,0,2,11,1,s,pre,1
66,150,31003,74,64,0,2,11,1,s,pre,1
67,152,31509,77,64,0,2,11,1,s,pre,1
68,154,32019,76,64,0,2,11,1,s,pre,1
70,158,32546,74,64,0,2,11,1,s,pre,1
71,160,33035,72,64,0,2,11,1,s,pre,1
