RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,17,7882,79,60,1,2,2,1,s,pre,0
2,18,8196,78,81,1,2,2,1,s,pre,0
3,20,8488,79,81,1,2,2,1,s,pre,0
4,22,8763,76,84,1,2,2,1,s,pre,0
5,24,9064,72,82,1,2,2,1,s,pre,0
6,27,9387,67,54,1,2,2,1,s,pre,0
7,29,9688,67,52,1,2,2,1,s,pre,0
8,31,9996,67,52,1,2,2,1,s,pre,0
9,33,10299,79,70,1,2,2,1,s,pre,0
10,34,10577,78,78,1,2,2,1,s,pre,0
11,36,10890,79,88,1,2,2,1,s,pre,0
12,38,11171,76,86,1,2,2,1,s,pre,0
13,40,11462,72,78,1,2,2,1,s,pre,0
14,42,11746,76,88,1,2,2,1,s,pre,0
15,44,12032,79,87,1,2,2,1,s,pre,0
16,46,12318,84,95,1,2,2,1,s,pre,0
17,48,12600,83,86,1,2,2,1,s,pre,0
18,51,12920,81,55,1,2,2,1,s,pre,0
19,53,13216,81,57,1,2,2,1,s,pre,0
20,55,13496,81,65,1,2,2,1,s,pre,0
21,57,13805,83,66,1,2,2,1,s,pre,0
22,58,14089,81,85,1,2,2,1,s,pre,0
23,60,14394,84,82,1,2,2,1,s,pre,0
24,62,14666,81,88,1,2,2,1,s,pre,0
25,64,14975,78,87,1,2,2,1,s,pre,0
26,66,15267,79,76,1,2,2,1,s,pre,0
27,69,15591,79,91,1,2,2,1,s,pre,0
28,71,16228,79,91,1,2,2,1,s,pre,0
29,73,17650,77,63,1,2,2,1,s,pre,0
30,75,17945,77,59,1,2,2,1,s,pre,0
31,77,18235,76,57,1,2,2,1,s,pre,0
32,79,18530,76,53,1,2,2,1,s,pre,0
33,81,18878,74,52,1,2,2,1,s,pre,0
34,83,20153,79,59,1,2,2,1,s,pre,0
35,84,20777,77,65,1,2,2,1,s,pre,0
36,86,21373,76,56,1,2,2,1,s,pre,0
37,89,21679,76,50,1,2,2,1,s,pre,0
38,91,21959,76,55,1,2,2,1,s,pre,0
39,93,22255,76,56,1,2,2,1,s,pre,0
40,95,22595,81,70,1,2,2,1,s,pre,0
41,96,22886,77,71,1,2,2,1,s,pre,0
42,98,23195,76,76,1,2,2,1,s,pre,0
43,100,23475,74,81,1,2,2,1,s,pre,0
44,102,23769,76,78,1,2,2,1,s,pre,0
45,104,24044,79,82,1,2,2,1,s,pre,0
46,106,24328,74,84,1,2,2,1,s,pre,0
47,108,24615,71,73,1,2,2,1,s,pre,0
48,111,24915,72,53,1,2,2,1,s,pre,0
49,113,25196,72,58,1,2,2,1,s,pre,0
50,115,25499,74,50,1,2,2,1,s,pre,0
51,117,25771,74,58,1,2,2,1,s,pre,0
52,119,26128,76,43,1,2,2,1,s,pre,0
53,121,27473,65,56,1,2,2,1,s,pre,0
54,123,27747,65,62,1,2,2,1,s,pre,0
55,125,28072,64,60,1,2,2,1,s,pre,0
56,127,28341,64,61,1,2,2,1,s,pre,0
57,129,28714,62,45,1,2,2,1,s,pre,0
58,131,30075,67,50,1,2,2,1,s,pre,0
59,133,30365,67,58,1,2,2,1,s,pre,0
60,135,30657,71,59,1,2,2,1,s,pre,0
61,137,30940,71,73,1,2,2,1,s,pre,0
62,139,31238,72,77,1,2,2,1,s,pre,0
63,141,31517,72,79,1,2,2,1,s,pre,0
