RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,KOT,Interval,Subcomponent1,Subcomponent2
2,18,8196,78,81,1,2,2,1,s,pre,0,69,1,Legato,Forte
3,20,8488,79,81,1,2,2,1,s,pre,0,85,2,Legato,Forte
4,22,8763,76,84,1,2,2,1,s,pre,0,25,3,Legato,Forte
5,24,9064,72,82,1,2,2,1,s,pre,0,53,4,Legato,Forte
10,34,10577,78,78,1,2,2,1,s,pre,0,69,9,Legato,Forte
11,36,10890,79,88,1,2,2,1,s,pre,0,30,10,Legato,Forte
12,38,11171,76,86,1,2,2,1,s,pre,0,28,11,Legato,Forte
13,40,11462,72,78,1,2,2,1,s,pre,0,56,12,Legato,Forte
14,42,11746,76,88,1,2,2,1,s,pre,0,73,13,Legato,Forte
15,44,12032,79,87,1,2,2,1,s,pre,0,84,14,Legato,Forte
16,46,12318,84,95,1,2,2,1,s,pre,0,36,15,Legato,Forte
17,48,12600,83,86,1,2,2,1,s,pre,0,51,16,Legato,Forte
22,58,14089,81,85,1,2,2,1,s,pre,0,46,21,Legato,Forte
23,60,14394,84,82,1,2,2,1,s,pre,0,36,22,Legato,Forte
24,62,14666,81,88,1,2,2,1,s,pre,0,19,23,Legato,Forte
25,64,14975,78,87,1,2,2,1,s,pre,0,54,24,Legato,Forte
41,96,22886,77,71,1,2,2,1,s,pre,0,164,40,Legato,Forte
42,98,23195,76,76,1,2,2,1,s,pre,0,83,41,Legato,Forte
43,100,23475,74,81,1,2,2,1,s,pre,0,40,42,Legato,Forte
44,102,23769,76,78,1,2,2,1,s,pre,0,33,43,Legato,Forte
45,104,24044,79,82,1,2,2,1,s,pre,0,19,44,Legato,Forte
46,106,24328,74,84,1,2,2,1,s,pre,0,61,45,Legato,Forte
47,108,24615,71,73,1,2,2,1,s,pre,0,19,46,Legato,Forte
2,18,8150,78,81,1,2,2,2,s,pre,0,68,1,Legato,Forte
3,20,8434,79,84,1,2,2,2,s,pre,0,66,2,Legato,Forte
4,22,8717,76,87,1,2,2,2,s,pre,0,50,3,Legato,Forte
5,24,9013,72,83,1,2,2,2,s,pre,0,47,4,Legato,Forte
10,34,10467,78,81,1,2,2,2,s,pre,0,62,9,Legato,Forte
11,36,10759,79,87,1,2,2,2,s,pre,0,48,10,Legato,Forte
12,38,11038,76,78,1,2,2,2,s,pre,0,31,11,Legato,Forte
13,40,11317,72,82,1,2,2,2,s,pre,0,37,12,Legato,Forte
14,42,11588,76,87,1,2,2,2,s,pre,0,76,13,Legato,Forte
15,44,11866,79,91,1,2,2,2,s,pre,0,88,14,Legato,Forte
16,46,12145,84,95,1,2,2,2,s,pre,0,37,15,Legato,Forte
17,48,12423,83,87,1,2,2,2,s,pre,0,36,16,Legato,Forte
22,58,13873,81,82,1,2,2,2,s,pre,0,75,21,Legato,Forte
23,60,14163,84,89,1,2,2,2,s,pre,0,64,22,Legato,Forte
24,62,14426,81,87,1,2,2,2,s,pre,0,42,23,Legato,Forte
25,64,14710,78,83,1,2,2,2,s,pre,0,61,24,Legato,Forte
41,96,22237,77,81,1,2,2,2,s,pre,0,109,40,Legato,Forte
42,98,22512,76,82,1,2,2,2,s,pre,0,46,41,Legato,Forte
43,100,22783,74,89,1,2,2,2,s,pre,0,23,42,Legato,Forte
44,102,23072,76,83,1,2,2,2,s,pre,0,47,43,Legato,Forte
45,104,23341,79,83,1,2,2,2,s,pre,0,15,44,Legato,Forte
46,106,23634,74,79,1,2,2,2,s,pre,0,46,45,Legato,Forte
47,108,23902,71,72,1,2,2,2,s,pre,0,18,46,Legato,Forte
2,18,8286,78,83,1,2,3,1,s,pre,0,58,1,Legato,Forte
3,20,8550,79,79,1,2,3,1,s,pre,0,74,2,Legato,Forte
4,22,8816,76,74,1,2,3,1,s,pre,0,63,3,Legato,Forte
5,24,9106,72,70,1,2,3,1,s,pre,0,66,4,Legato,Forte
10,34,10568,78,75,1,2,3,1,s,pre,0,26,9,Legato,Forte
11,36,10830,79,78,1,2,3,1,s,pre,0,38,10,Legato,Forte
12,38,11083,76,76,1,2,3,1,s,pre,0,23,11,Legato,Forte
13,40,11322,72,85,1,2,3,1,s,pre,0,11,12,Legato,Forte
14,42,11570,76,90,1,2,3,1,s,pre,0,56,13,Legato,Forte
15,44,11817,79,89,1,2,3,1,s,pre,0,57,14,Legato,Forte
16,46,12058,84,88,1,2,3,1,s,pre,0,29,15,Legato,Forte
17,48,12344,83,84,1,2,3,1,s,pre,0,86,16,Legato,Forte
22,58,13644,81,75,1,2,3,1,s,pre,0,14,21,Legato,Forte
23,60,13894,84,75,1,2,3,1,s,pre,0,27,22,Legato,Forte
24,62,14153,81,79,1,2,3,1,s,pre,0,59,23,Legato,Forte
25,64,14396,78,88,1,2,3,1,s,pre,0,29,24,Legato,Forte
41,96,21538,77,62,1,2,3,1,s,pre,0,60,40,Legato,Forte
42,98,21780,76,68,1,2,3,1,s,pre,0,44,41,Legato,Forte
43,100,22016,74,75,1,2,3,1,s,pre,0,2,42,Legato,Forte
44,102,22264,76,87,1,2,3,1,s,pre,0,30,43,Legato,Forte
45,104,22492,79,90,1,2,3,1,s,pre,0,60,44,Legato,Forte
46,106,22723,74,78,1,2,3,1,s,pre,0,113,45,Legato,Forte
47,108,22964,71,75,1,2,3,1,s,pre,0,22,46,Legato,Forte
2,18,8285,78,98,1,2,3,2,s,pre,0,52,1,Legato,Forte
3,20,8545,79,84,1,2,3,2,s,pre,0,47,2,Legato,Forte
4,22,8800,76,90,1,2,3,2,s,pre,0,57,3,Legato,Forte
5,24,9075,72,95,1,2,3,2,s,pre,0,57,4,Legato,Forte
10,34,10495,78,103,1,2,3,2,s,pre,0,52,9,Legato,Forte
11,36,10741,79,95,1,2,3,2,s,pre,0,58,10,Legato,Forte
12,38,10981,76,81,1,2,3,2,s,pre,0,19,11,Legato,Forte
13,40,11243,72,79,1,2,3,2,s,pre,0,3,12,Legato,Forte
14,42,11489,76,87,1,2,3,2,s,pre,0,192,13,Legato,Forte
15,44,11739,79,99,1,2,3,2,s,pre,0,69,14,Legato,Forte
16,46,11995,84,91,1,2,3,2,s,pre,0,48,15,Legato,Forte
17,48,12343,83,81,1,2,3,2,s,pre,0,70,16,Legato,Forte
22,58,13619,81,93,1,2,3,2,s,pre,0,54,21,Legato,Forte
23,60,13877,84,87,1,2,3,2,s,pre,0,29,22,Legato,Forte
24,62,14121,81,94,1,2,3,2,s,pre,0,90,23,Legato,Forte
25,64,14387,78,86,1,2,3,2,s,pre,0,48,24,Legato,Forte
41,96,21471,77,85,1,2,3,2,s,pre,0,108,40,Legato,Forte
42,98,21729,76,91,1,2,3,2,s,pre,0,50,41,Legato,Forte
43,101,21973,74,91,1,2,3,2,s,pre,0,-1,42,Legato,Forte
44,103,22206,76,95,1,2,3,2,s,pre,0,-6,43,Legato,Forte
45,104,22434,79,90,1,2,3,2,s,pre,0,55,44,Legato,Forte
46,106,22671,74,85,1,2,3,2,s,pre,0,74,45,Legato,Forte
47,108,22905,71,74,1,2,3,2,s,pre,0,1,46,Legato,Forte
2,18,8106,78,91,1,2,4,1,s,pre,1,43,1,Legato,Forte
3,20,8405,79,87,1,2,4,1,s,pre,1,16,2,Legato,Forte
4,22,8667,76,78,1,2,4,1,s,pre,1,30,3,Legato,Forte
5,24,8959,72,86,1,2,4,1,s,pre,1,63,4,Legato,Forte
10,34,10367,78,91,1,2,4,1,s,pre,1,62,9,Legato,Forte
11,36,10649,79,94,1,2,4,1,s,pre,1,85,10,Legato,Forte
12,38,10918,76,81,1,2,4,1,s,pre,1,27,11,Legato,Forte
13,40,11205,72,88,1,2,4,1,s,pre,1,3,12,Legato,Forte
14,42,11475,76,93,1,2,4,1,s,pre,1,38,13,Legato,Forte
15,44,11742,79,98,1,2,4,1,s,pre,1,38,14,Legato,Forte
16,46,11998,84,94,1,2,4,1,s,pre,1,8,15,Legato,Forte
17,48,12289,83,97,1,2,4,1,s,pre,1,99,16,Legato,Forte
22,58,13632,81,89,1,2,4,1,s,pre,1,64,21,Legato,Forte
23,60,13908,84,100,1,2,4,1,s,pre,1,36,22,Legato,Forte
24,62,14164,81,90,1,2,4,1,s,pre,1,178,23,Legato,Forte
25,64,14447,78,99,1,2,4,1,s,pre,1,90,24,Legato,Forte
42,98,21672,76,85,1,2,4,1,s,pre,1,80,41,Legato,Forte
43,100,21935,74,88,1,2,4,1,s,pre,1,29,42,Legato,Forte
44,102,22222,76,85,1,2,4,1,s,pre,1,81,43,Legato,Forte
45,104,22477,79,88,1,2,4,1,s,pre,1,73,44,Legato,Forte
46,106,22754,74,98,1,2,4,1,s,pre,1,72,45,Legato,Forte
47,108,23000,71,95,1,2,4,1,s,pre,1,19,46,Legato,Forte
2,18,8100,78,98,1,2,4,2,s,pre,0,59,1,Legato,Forte
3,20,8392,79,97,1,2,4,2,s,pre,0,22,2,Legato,Forte
4,22,8651,76,90,1,2,4,2,s,pre,0,49,3,Legato,Forte
5,24,8935,72,105,1,2,4,2,s,pre,0,68,4,Legato,Forte
10,34,10351,78,82,1,2,4,2,s,pre,0,35,9,Legato,Forte
11,36,10629,79,81,1,2,4,2,s,pre,0,66,10,Legato,Forte
12,38,10901,76,78,1,2,4,2,s,pre,0,32,11,Legato,Forte
13,40,11190,72,87,1,2,4,2,s,pre,0,8,12,Legato,Forte
14,42,11472,76,88,1,2,4,2,s,pre,0,78,13,Legato,Forte
15,44,11745,79,99,1,2,4,2,s,pre,0,47,14,Legato,Forte
16,46,12011,84,97,1,2,4,2,s,pre,0,11,15,Legato,Forte
17,48,12293,83,95,1,2,4,2,s,pre,0,85,16,Legato,Forte
22,58,13664,81,88,1,2,4,2,s,pre,0,55,21,Legato,Forte
23,60,13953,84,91,1,2,4,2,s,pre,0,21,22,Legato,Forte
24,62,14221,81,79,1,2,4,2,s,pre,0,91,23,Legato,Forte
25,64,14504,78,86,1,2,4,2,s,pre,0,62,24,Legato,Forte
42,98,21840,76,90,1,2,4,2,s,pre,0,77,41,Legato,Forte
43,100,22095,74,95,1,2,4,2,s,pre,0,33,42,Legato,Forte
44,102,22385,76,91,1,2,4,2,s,pre,0,73,43,Legato,Forte
45,104,22657,79,101,1,2,4,2,s,pre,0,36,44,Legato,Forte
46,106,22929,74,99,1,2,4,2,s,pre,0,112,45,Legato,Forte
47,108,23184,71,89,1,2,4,2,s,pre,0,31,46,Legato,Forte
2,18,9554,78,68,1,2,5,1,s,pre,1,50,1,Legato,Forte
3,20,9865,79,67,1,2,5,1,s,pre,1,5,2,Legato,Forte
4,22,10155,76,74,1,2,5,1,s,pre,1,26,3,Legato,Forte
5,24,10479,72,72,1,2,5,1,s,pre,1,69,4,Legato,Forte
10,32,11944,78,70,1,2,5,1,s,pre,1,40,9,Legato,Forte
11,34,12240,79,70,1,2,5,1,s,pre,1,16,10,Legato,Forte
12,36,12524,76,68,1,2,5,1,s,pre,1,76,11,Legato,Forte
13,38,12826,72,72,1,2,5,1,s,pre,1,61,12,Legato,Forte
14,40,13091,76,78,1,2,5,1,s,pre,1,77,13,Legato,Forte
15,42,13371,79,87,1,2,5,1,s,pre,1,64,14,Legato,Forte
16,44,13651,84,81,1,2,5,1,s,pre,1,15,15,Legato,Forte
17,46,13960,83,75,1,2,5,1,s,pre,1,48,16,Legato,Forte
22,54,15416,81,67,1,2,5,1,s,pre,1,53,21,Legato,Forte
23,56,15703,84,72,1,2,5,1,s,pre,1,14,22,Legato,Forte
24,58,15988,81,74,1,2,5,1,s,pre,1,77,23,Legato,Forte
25,60,16273,78,67,1,2,5,1,s,pre,1,46,24,Legato,Forte
41,92,24029,77,78,1,2,5,1,s,pre,1,67,40,Legato,Forte
42,94,24316,76,77,1,2,5,1,s,pre,1,62,41,Legato,Forte
43,96,24578,74,81,1,2,5,1,s,pre,1,47,42,Legato,Forte
44,98,24875,76,80,1,2,5,1,s,pre,1,70,43,Legato,Forte
46,102,25437,74,76,1,2,5,1,s,pre,1,11,45,Legato,Forte
47,104,25734,71,63,1,2,5,1,s,pre,1,9,46,Legato,Forte
2,18,8185,78,73,1,2,5,2,s,pre,1,26,1,Legato,Forte
3,20,8481,79,74,1,2,5,2,s,pre,1,40,2,Legato,Forte
4,22,8766,76,73,1,2,5,2,s,pre,1,2,3,Legato,Forte
5,24,9073,72,75,1,2,5,2,s,pre,1,81,4,Legato,Forte
10,32,10528,78,70,1,2,5,2,s,pre,1,13,9,Legato,Forte
11,34,10823,79,71,1,2,5,2,s,pre,1,46,10,Legato,Forte
12,36,11104,76,74,1,2,5,2,s,pre,1,100,11,Legato,Forte
13,38,11393,72,78,1,2,5,2,s,pre,1,49,12,Legato,Forte
14,40,11669,76,77,1,2,5,2,s,pre,1,86,13,Legato,Forte
15,42,11962,79,85,1,2,5,2,s,pre,1,67,14,Legato,Forte
16,44,12232,84,82,1,2,5,2,s,pre,1,29,15,Legato,Forte
17,46,12539,83,79,1,2,5,2,s,pre,1,74,16,Legato,Forte
22,56,13936,81,74,1,2,5,2,s,pre,1,68,21,Legato,Forte
23,58,14229,84,71,1,2,5,2,s,pre,1,20,22,Legato,Forte
24,60,14519,81,67,1,2,5,2,s,pre,1,55,23,Legato,Forte
25,62,14808,78,62,1,2,5,2,s,pre,1,69,24,Legato,Forte
41,92,22023,77,68,1,2,5,2,s,pre,1,89,40,Legato,Forte
