RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,Subcomponent1,Subcomponent2
1,17,7882,79,60,1,2,2,1,s,pre,0,Legato,Forte
2,18,8196,78,81,1,2,2,1,s,pre,0,Legato,Forte
3,20,8488,79,81,1,2,2,1,s,pre,0,Legato,Forte
4,22,8763,76,84,1,2,2,1,s,pre,0,Legato,Forte
5,24,9064,72,82,1,2,2,1,s,pre,0,Legato,Forte
9,33,10299,79,70,1,2,2,1,s,pre,0,Legato,Forte
10,34,10577,78,78,1,2,2,1,s,pre,0,Legato,Forte
11,36,10890,79,88,1,2,2,1,s,pre,0,Legato,Forte
12,38,11171,76,86,1,2,2,1,s,pre,0,Legato,Forte
13,40,11462,72,78,1,2,2,1,s,pre,0,Legato,Forte
14,42,11746,76,88,1,2,2,1,s,pre,0,Legato,Forte
15,44,12032,79,87,1,2,2,1,s,pre,0,Legato,Forte
16,46,12318,84,95,1,2,2,1,s,pre,0,Legato,Forte
17,48,12600,83,86,1,2,2,1,s,pre,0,Legato,Forte
21,57,13805,83,66,1,2,2,1,s,pre,0,Legato,Forte
22,58,14089,81,85,1,2,2,1,s,pre,0,Legato,Forte
23,60,14394,84,82,1,2,2,1,s,pre,0,Legato,Forte
24,62,14666,81,88,1,2,2,1,s,pre,0,Legato,Forte
25,64,14975,78,87,1,2,2,1,s,pre,0,Legato,Forte
26,66,15267,79,76,1,2,2,1,s,pre,0,Legato,Forte
40,95,22595,81,70,1,2,2,1,s,pre,0,Legato,Forte
41,96,22886,77,71,1,2,2,1,s,pre,0,Legato,Forte
42,98,23195,76,76,1,2,2,1,s,pre,0,Legato,Forte
43,100,23475,74,81,1,2,2,1,s,pre,0,Legato,Forte
44,102,23769,76,78,1,2,2,1,s,pre,0,Legato,Forte
45,104,24044,79,82,1,2,2,1,s,pre,0,Legato,Forte
46,106,24328,74,84,1,2,2,1,s,pre,0,Legato,Forte
47,108,24615,71,73,1,2,2,1,s,pre,0,Legato,Forte
1,17,7849,79,76,1,2,2,2,s,pre,0,Legato,Forte
2,18,8150,78,81,1,2,2,2,s,pre,0,Legato,Forte
3,20,8434,79,84,1,2,2,2,s,pre,0,Legato,Forte
4,22,8717,76,87,1,2,2,2,s,pre,0,Legato,Forte
5,24,9013,72,83,1,2,2,2,s,pre,0,Legato,Forte
9,33,10175,79,73,1,2,2,2,s,pre,0,Legato,Forte
10,34,10467,78,81,1,2,2,2,s,pre,0,Legato,Forte
11,36,10759,79,87,1,2,2,2,s,pre,0,Legato,Forte
12,38,11038,76,78,1,2,2,2,s,pre,0,Legato,Forte
13,40,11317,72,82,1,2,2,2,s,pre,0,Legato,Forte
14,42,11588,76,87,1,2,2,2,s,pre,0,Legato,Forte
