RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,17,7923,79,88,1,2,3,2,14.mid,experiment,1
2,18,8236,78,96,1,2,3,2,14.mid,experiment,1
3,20,8507,79,81,1,2,3,2,14.mid,experiment,1
4,22,8790,76,85,1,2,3,2,14.mid,experiment,1
5,24,9103,72,79,1,2,3,2,14.mid,experiment,1
6,27,9404,67,67,1,2,3,2,14.mid,experiment,1
7,29,9664,67,62,1,2,3,2,14.mid,experiment,1
8,31,9907,67,74,1,2,3,2,14.mid,experiment,1
9,33,10259,79,78,1,2,3,2,14.mid,experiment,1
10,34,10565,78,83,1,2,3,2,14.mid,experiment,1
11,36,10847,79,81,1,2,3,2,14.mid,experiment,1
12,38,11113,76,76,1,2,3,2,14.mid,experiment,1
13,40,11397,72,76,1,2,3,2,14.mid,experiment,1
14,42,11663,76,81,1,2,3,2,14.mid,experiment,1
15,44,11937,79,91,1,2,3,2,14.mid,experiment,1
16,46,12219,84,95,1,2,3,2,14.mid,experiment,1
17,48,12545,83,83,1,2,3,2,14.mid,experiment,1
18,51,12865,81,69,1,2,3,2,14.mid,experiment,1
19,53,13117,81,67,1,2,3,2,14.mid,experiment,1
20,55,13371,81,66,1,2,3,2,14.mid,experiment,1
21,57,13655,83,84,1,2,3,2,14.mid,experiment,1
22,58,13927,81,82,1,2,3,2,14.mid,experiment,1
23,60,14209,84,85,1,2,3,2,14.mid,experiment,1
24,62,14479,81,91,1,2,3,2,14.mid,experiment,1
25,64,14774,78,89,1,2,3,2,14.mid,experiment,1
26,66,15045,79,84,1,2,3,2,14.mid,experiment,1
27,69,15364,79,74,1,2,3,2,14.mid,experiment,1
28,71,15957,79,70,1,2,3,2,14.mid,experiment,1
29,73,17361,77,60,1,2,3,2,14.mid,experiment,1
30,75,17627,77,58,1,2,3,2,14.mid,experiment,1
31,77,17901,76,55,1,2,3,2,14.mid,experiment,1
32,79,18160,76,52,1,2,3,2,14.mid,experiment,1
33,81,18447,74,55,1,2,3,2,14.mid,experiment,1
34,83,19657,79,73,1,2,3,2,14.mid,experiment,1
35,85,20201,77,61,1,2,3,2,14.mid,experiment,1
36,87,20763,76,62,1,2,3,2,14.mid,experiment,1
37,89,21039,76,63,1,2,3,2,14.mid,experiment,1
38,91,21301,76,64,1,2,3,2,14.mid,experiment,1
39,93,21575,76,65,1,2,3,2,14.mid,experiment,1
