RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,19,8195,79,64,0,2,6,2,s,pre,1
2,21,8609,78,64,0,2,6,2,s,pre,1
3,23,8867,79,64,0,2,6,2,s,pre,1
4,25,9209,76,64,0,2,6,2,s,pre,1
5,26,9347,72,64,0,2,6,2,s,pre,1
6,28,9618,67,64,0,2,6,2,s,pre,1
7,30,9966,67,64,0,2,6,2,s,pre,1
8,32,10275,67,64,0,2,6,2,s,pre,1
9,35,10943,79,64,0,2,6,2,s,pre,1
10,37,11281,78,64,0,2,6,2,s,pre,1
11,39,11617,79,64,0,2,6,2,s,pre,1
12,41,11896,76,64,0,2,6,2,s,pre,1
13,43,12277,72,64,0,2,6,2,s,pre,1
14,45,12611,76,64,0,2,6,2,s,pre,1
15,47,12899,79,64,0,2,6,2,s,pre,1
16,49,13298,84,64,0,2,6,2,s,pre,1
17,50,13437,83,64,0,2,6,2,s,pre,1
18,52,13593,81,64,0,2,6,2,s,pre,1
19,54,13937,81,64,0,2,6,2,s,pre,1
20,56,14283,81,64,0,2,6,2,s,pre,1
21,59,14973,83,64,0,2,6,2,s,pre,1
22,61,15258,81,64,0,2,6,2,s,pre,1
23,63,15558,84,64,0,2,6,2,s,pre,1
24,65,15896,81,64,0,2,6,2,s,pre,1
25,67,16294,78,64,0,2,6,2,s,pre,1
26,68,16370,79,64,0,2,6,2,s,pre,1
27,70,17042,79,64,0,2,6,2,s,pre,1
28,72,17977,79,64,0,2,6,2,s,pre,1
29,74,18698,77,64,0,2,6,2,s,pre,1
30,76,19022,77,64,0,2,6,2,s,pre,1
31,78,19383,76,64,0,2,6,2,s,pre,1
32,80,19702,76,64,0,2,6,2,s,pre,1
33,82,20747,74,64,0,2,6,2,s,pre,1
34,85,22153,79,64,0,2,6,2,s,pre,1
35,87,22847,77,64,0,2,6,2,s,pre,1
36,88,22888,76,64,0,2,6,2,s,pre,1
37,90,23213,76,64,0,2,6,2,s,pre,1
38,92,23534,76,64,0,2,6,2,s,pre,1
39,94,23858,76,64,0,2,6,2,s,pre,1
40,97,24597,81,64,0,2,6,2,s,pre,1
41,99,24918,77,64,0,2,6,2,s,pre,1
43,103,25177,76,64,0,2,6,2,s,pre,1
44,105,25521,74,64,0,2,6,2,s,pre,1
45,107,25803,76,64,0,2,6,2,s,pre,1
46,109,26138,79,64,0,2,6,2,s,pre,1
47,111,26420,74,64,0,2,6,2,s,pre,1
48,113,26766,71,64,0,2,6,2,s,pre,1
49,114,26809,72,64,0,2,6,2,s,pre,1
50,116,27158,72,64,0,2,6,2,s,pre,1
51,118,27466,74,64,0,2,6,2,s,pre,1
52,120,27819,74,64,0,2,6,2,s,pre,1
53,122,28849,76,64,0,2,6,2,s,pre,1
54,124,29523,65,64,0,2,6,2,s,pre,1
55,126,29857,65,64,0,2,6,2,s,pre,1
56,128,30185,64,64,0,2,6,2,s,pre,1
57,130,30514,64,64,0,2,6,2,s,pre,1
58,132,31604,62,64,0,2,6,2,s,pre,1
59,134,32298,67,64,0,2,6,2,s,pre,1
60,136,32648,67,64,0,2,6,2,s,pre,1
61,138,32967,71,64,0,2,6,2,s,pre,1
62,140,33312,71,64,0,2,6,2,s,pre,1
63,142,33625,72,64,0,2,6,2,s,pre,1
64,144,33948,72,64,0,2,6,2,s,pre,1
65,146,34257,73,64,0,2,6,2,s,pre,1
66,148,34590,73,64,0,2,6,2,s,pre,1
67,151,35569,74,64,0,2,6,2,s,pre,1
68,153,36294,77,64,0,2,6,2,s,pre,1
69,155,36925,76,64,0,2,6,2,s,pre,1
70,157,37485,74,64,0,2,6,2,s,pre,1
71,159,38156,72,64,0,2,6,2,s,pre,1
72,160,38615,84,64,0,2,6,2,s,pre,1
73,162,39425,84,64,0,2,6,2,s,pre,1
1,19,8234,79,64,0,2,7,2,s,pre,1
2,21,8553,78,64,0,2,7,2,s,pre,1
3,22,8801,79,64,0,2,7,2,s,pre,1
4,25,9162,76,64,0,2,7,2,s,pre,1
5,26,9286,72,64,0,2,7,2,s,pre,1
6,28,9491,67,64,0,2,7,2,s,pre,1
7,30,9817,67,64,0,2,7,2,s,pre,1
8,32,10112,67,64,0,2,7,2,s,pre,1
9,35,10720,79,64,0,2,7,2,s,pre,1
10,37,11032,78,64,0,2,7,2,s,pre,1
11,39,11323,79,64,0,2,7,2,s,pre,1
12,40,11578,76,64,0,2,7,2,s,pre,1
13,43,11917,72,64,0,2,7,2,s,pre,1
14,45,12235,76,64,0,2,7,2,s,pre,1
15,46,12514,79,64,0,2,7,2,s,pre,1
16,48,12840,84,64,0,2,7,2,s,pre,1
17,50,13017,83,64,0,2,7,2,s,pre,1
18,52,13205,81,64,0,2,7,2,s,pre,1
19,54,13497,81,64,0,2,7,2,s,pre,1
20,56,13841,81,64,0,2,7,2,s,pre,1
21,59,14419,83,64,0,2,7,2,s,pre,1
22,61,14712,81,64,0,2,7,2,s,pre,1
23,62,14995,84,64,0,2,7,2,s,pre,1
24,64,15316,81,64,0,2,7,2,s,pre,1
25,66,15584,78,64,0,2,7,2,s,pre,1
26,68,15745,79,64,0,2,7,2,s,pre,1
27,70,16221,79,64,0,2,7,2,s,pre,1
28,72,17198,79,64,0,2,7,2,s,pre,1
29,74,17870,77,64,0,2,7,2,s,pre,1
30,76,18177,77,64,0,2,7,2,s,pre,1
31,78,18480,76,64,0,2,7,2,s,pre,1
32,80,18787,76,64,0,2,7,2,s,pre,1
33,82,19629,74,64,0,2,7,2,s,pre,1
34,84,20870,79,64,0,2,7,2,s,pre,1
35,86,21273,77,64,0,2,7,2,s,pre,1
36,88,21682,76,64,0,2,7,2,s,pre,1
37,90,21961,76,64,0,2,7,2,s,pre,1
38,92,22270,76,64,0,2,7,2,s,pre,1
39,94,22586,76,64,0,2,7,2,s,pre,1
40,97,23267,81,64,0,2,7,2,s,pre,1
41,99,23573,77,64,0,2,7,2,s,pre,1
42,101,23838,76,64,0,2,7,2,s,pre,1
43,103,24160,74,64,0,2,7,2,s,pre,1
44,105,24480,76,64,0,2,7,2,s,pre,1
45,107,24809,79,64,0,2,7,2,s,pre,1
46,108,25071,74,64,0,2,7,2,s,pre,1
47,110,25140,71,64,0,2,7,2,s,pre,1
48,112,25441,72,64,0,2,7,2,s,pre,1
49,114,25745,72,64,0,2,7,2,s,pre,1
50,116,26072,74,64,0,2,7,2,s,pre,1
51,118,26379,74,64,0,2,7,2,s,pre,1
52,120,27273,76,64,0,2,7,2,s,pre,1
53,122,27983,65,64,0,2,7,2,s,pre,1
54,124,28287,65,64,0,2,7,2,s,pre,1
55,126,28615,64,64,0,2,7,2,s,pre,1
56,128,28948,64,64,0,2,7,2,s,pre,1
57,130,29897,62,64,0,2,7,2,s,pre,1
58,132,30554,67,64,0,2,7,2,s,pre,1
59,134,30846,67,64,0,2,7,2,s,pre,1
60,136,31177,71,64,0,2,7,2,s,pre,1
61,138,31469,71,64,0,2,7,2,s,pre,1
