RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error
1,17,9851,79,55,1,2,20,2,s,pre,1
2,18,10195,78,72,1,2,20,2,s,pre,1
3,21,10481,79,76,1,2,20,2,s,pre,1
4,22,10758,76,72,1,2,20,2,s,pre,1
5,24,11089,72,68,1,2,20,2,s,pre,1
6,26,11386,67,64,1,2,20,2,s,pre,1
7,29,11710,67,58,1,2,20,2,s,pre,1
8,31,12034,67,48,1,2,20,2,s,pre,1
9,33,12418,79,54,1,2,20,2,s,pre,1
10,34,12713,78,66,1,2,20,2,s,pre,1
11,37,13018,79,59,1,2,20,2,s,pre,1
12,38,13307,76,62,1,2,20,2,s,pre,1
13,41,13600,72,66,1,2,20,2,s,pre,1
14,42,13903,76,72,1,2,20,2,s,pre,1
15,44,14194,79,84,1,2,20,2,s,pre,1
16,46,14464,84,85,1,2,20,2,s,pre,1
17,48,14780,83,74,1,2,20,2,s,pre,1
18,51,15093,81,55,1,2,20,2,s,pre,1
19,53,15392,81,57,1,2,20,2,s,pre,1
20,55,15708,81,45,1,2,20,2,s,pre,1
21,57,16056,83,53,1,2,20,2,s,pre,1
22,59,16325,81,73,1,2,20,2,s,pre,1
23,61,16626,84,74,1,2,20,2,s,pre,1
24,62,16939,81,73,1,2,20,2,s,pre,1
25,64,17252,78,70,1,2,20,2,s,pre,1
26,66,17562,79,75,1,2,20,2,s,pre,1
27,69,17900,79,84,1,2,20,2,s,pre,1
28,71,18595,79,73,1,2,20,2,s,pre,1
29,73,19997,77,51,1,2,20,2,s,pre,1
30,75,20329,77,59,1,2,20,2,s,pre,1
31,77,20653,76,39,1,2,20,2,s,pre,1
32,79,20951,76,57,1,2,20,2,s,pre,1
33,81,21343,74,53,1,2,20,2,s,pre,1
34,83,22672,79,57,1,2,20,2,s,pre,1
35,84,23343,77,65,1,2,20,2,s,pre,1
36,86,23984,76,51,1,2,20,2,s,pre,1
37,89,24325,76,47,1,2,20,2,s,pre,1
38,91,24620,76,62,1,2,20,2,s,pre,1
39,93,24928,76,57,1,2,20,2,s,pre,1
40,95,25329,81,63,1,2,20,2,s,pre,1
41,96,25643,77,63,1,2,20,2,s,pre,1
42,98,26012,76,57,1,2,20,2,s,pre,1
43,103,26738,74,68,1,2,20,2,s,pre,1
44,105,27383,76,42,1,2,20,2,s,pre,1
45,107,27631,79,61,1,2,20,2,s,pre,1
46,110,28226,74,66,1,2,20,2,s,pre,1
47,113,,71,,1,2,20,2,s,pre,1
48,114,,72,,1,2,20,2,s,pre,1
49,117,29168,72,85,1,2,20,2,s,pre,1
50,119,29466,74,67,1,2,20,2,s,pre,1
51,121,29774,74,78,1,2,20,2,s,pre,1
52,123,30138,76,66,1,2,20,2,s,pre,1
53,125,31416,65,57,1,2,20,2,s,pre,1
54,127,31746,65,57,1,2,20,2,s,pre,1
55,129,32050,64,54,1,2,20,2,s,pre,1
56,131,32360,64,53,1,2,20,2,s,pre,1
57,133,32732,62,45,1,2,20,2,s,pre,1
58,135,34160,67,43,1,2,20,2,s,pre,1
59,137,34481,67,53,1,2,20,2,s,pre,1
60,139,34801,71,45,1,2,20,2,s,pre,1
61,141,35085,71,63,1,2,20,2,s,pre,1
62,143,35379,72,70,1,2,20,2,s,pre,1
63,145,35683,72,74,1,2,20,2,s,pre,1
64,147,35987,73,80,1,2,20,2,s,pre,1
65,149,36267,73,75,1,2,20,2,s,pre,1
66,151,36653,74,81,1,2,20,2,s,pre,1
67,152,37288,77,81,1,2,20,2,s,pre,1
68,154,37859,76,74,1,2,20,2,s,pre,1
69,156,38457,74,76,1,2,20,2,s,pre,1
70,159,39110,72,76,1,2,20,2,s,pre,1
71,161,39755,84,97,1,2,20,2,s,pre,1
72,163,40486,84,86,1,2,20,2,s,pre,1
