RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,IOI,Interval,Subcomponent1,Subcomponent2,Boundary
2,18,8196,78,81,1,2,2,1,s,pre,0,314,1,Legato,Forte,No
3,20,8488,79,81,1,2,2,1,s,pre,0,292,2,Legato,Forte,No
4,22,8763,76,84,1,2,2,1,s,pre,0,275,3,Legato,Forte,No
5,24,9064,72,82,1,2,2,1,s,pre,0,301,4,Legato,Forte,No
7,29,9688,67,52,1,2,2,1,s,pre,0,301,6,Staccato,Piano,No
8,31,9996,67,52,1,2,2,1,s,pre,0,308,7,Staccato,Piano,No
10,34,10577,78,78,1,2,2,1,s,pre,0,278,9,Legato,Forte,No
11,36,10890,79,88,1,2,2,1,s,pre,0,313,10,Legato,Forte,No
12,38,11171,76,86,1,2,2,1,s,pre,0,281,11,Legato,Forte,No
13,40,11462,72,78,1,2,2,1,s,pre,0,291,12,Legato,Forte,No
14,42,11746,76,88,1,2,2,1,s,pre,0,284,13,Legato,Forte,No
15,44,12032,79,87,1,2,2,1,s,pre,0,286,14,Legato,Forte,No
16,46,12318,84,95,1,2,2,1,s,pre,0,286,15,Legato,Forte,No
17,48,12600,83,86,1,2,2,1,s,pre,0,282,16,Legato,Forte,No
19,53,13216,81,57,1,2,2,1,s,pre,0,296,18,Staccato,Piano,No
20,55,13496,81,65,1,2,2,1,s,pre,0,280,19,Staccato,Piano,No
22,58,14089,81,85,1,2,2,1,s,pre,0,284,21,Legato,Forte,No
23,60,14394,84,82,1,2,2,1,s,pre,0,305,22,Legato,Forte,No
24,62,14666,81,88,1,2,2,1,s,pre,0,272,23,Legato,Forte,No
25,64,14975,78,87,1,2,2,1,s,pre,0,309,24,Legato,Forte,No
30,75,17945,77,59,1,2,2,1,s,pre,0,295,29,Staccato,Piano,No
31,77,18235,76,57,1,2,2,1,s,pre,0,290,30,Staccato,Piano,No
32,79,18530,76,53,1,2,2,1,s,pre,0,295,31,Staccato,Piano,No
37,89,21679,76,50,1,2,2,1,s,pre,0,306,36,Staccato,Piano,No
38,91,21959,76,55,1,2,2,1,s,pre,0,280,37,Staccato,Piano,No
39,93,22255,76,56,1,2,2,1,s,pre,0,296,38,Staccato,Piano,No
41,96,22886,77,71,1,2,2,1,s,pre,0,291,40,Legato,Forte,No
42,98,23195,76,76,1,2,2,1,s,pre,0,309,41,Legato,Forte,No
43,100,23475,74,81,1,2,2,1,s,pre,0,280,42,Legato,Forte,No
44,102,23769,76,78,1,2,2,1,s,pre,0,294,43,Legato,Forte,No
45,104,24044,79,82,1,2,2,1,s,pre,0,275,44,Legato,Forte,No
46,106,24328,74,84,1,2,2,1,s,pre,0,284,45,Legato,Forte,No
47,108,24615,71,73,1,2,2,1,s,pre,0,287,46,Legato,Forte,No
49,113,25196,72,58,1,2,2,1,s,pre,0,281,48,Staccato,Piano,No
50,115,25499,74,50,1,2,2,1,s,pre,0,303,49,Staccato,Piano,No
51,117,25771,74,58,1,2,2,1,s,pre,0,272,50,Staccato,Piano,No
54,123,27747,65,62,1,2,2,1,s,pre,0,274,53,Staccato,Piano,No
55,125,28072,64,60,1,2,2,1,s,pre,0,325,54,Staccato,Piano,No
56,127,28341,64,61,1,2,2,1,s,pre,0,269,55,Staccato,Piano,No
59,133,30365,67,58,1,2,2,1,s,pre,0,290,58,Staccato,Piano,No
60,135,30657,71,59,1,2,2,1,s,pre,0,292,59,Staccato,Piano,No
61,137,30940,71,73,1,2,2,1,s,pre,0,283,60,Staccato,Piano,No
62,139,31238,72,77,1,2,2,1,s,pre,0,298,61,Staccato,Piano,No
63,141,31517,72,79,1,2,2,1,s,pre,0,279,62,Staccato,Piano,No
64,143,31797,73,81,1,2,2,1,s,pre,0,280,63,Staccato,Piano,No
65,145,32080,73,96,1,2,2,1,s,pre,0,283,64,Staccato,Piano,No
2,18,8150,78,81,1,2,2,2,s,pre,0,301,1,Legato,Forte,No
3,20,8434,79,84,1,2,2,2,s,pre,0,284,2,Legato,Forte,No
4,22,8717,76,87,1,2,2,2,s,pre,0,283,3,Legato,Forte,No
5,24,9013,72,83,1,2,2,2,s,pre,0,296,4,Legato,Forte,No
7,29,9593,67,47,1,2,2,2,s,pre,0,286,6,Staccato,Piano,No
8,31,9890,67,64,1,2,2,2,s,pre,0,297,7,Staccato,Piano,No
10,34,10467,78,81,1,2,2,2,s,pre,0,292,9,Legato,Forte,No
11,36,10759,79,87,1,2,2,2,s,pre,0,292,10,Legato,Forte,No
12,38,11038,76,78,1,2,2,2,s,pre,0,279,11,Legato,Forte,No
13,40,11317,72,82,1,2,2,2,s,pre,0,279,12,Legato,Forte,No
14,42,11588,76,87,1,2,2,2,s,pre,0,271,13,Legato,Forte,No
15,44,11866,79,91,1,2,2,2,s,pre,0,278,14,Legato,Forte,No
16,46,12145,84,95,1,2,2,2,s,pre,0,279,15,Legato,Forte,No
17,48,12423,83,87,1,2,2,2,s,pre,0,278,16,Legato,Forte,No
19,53,13022,81,50,1,2,2,2,s,pre,0,282,18,Staccato,Piano,No
20,55,13298,81,65,1,2,2,2,s,pre,0,276,19,Staccato,Piano,No
22,58,13873,81,82,1,2,2,2,s,pre,0,286,21,Legato,Forte,No
23,60,14163,84,89,1,2,2,2,s,pre,0,290,22,Legato,Forte,No
24,62,14426,81,87,1,2,2,2,s,pre,0,263,23,Legato,Forte,No
25,64,14710,78,83,1,2,2,2,s,pre,0,284,24,Legato,Forte,No
30,75,17470,77,61,1,2,2,2,s,pre,0,294,29,Staccato,Piano,No
31,77,17749,76,54,1,2,2,2,s,pre,0,279,30,Staccato,Piano,No
32,79,18026,76,54,1,2,2,2,s,pre,0,277,31,Staccato,Piano,No
37,89,21056,76,57,1,2,2,2,s,pre,0,285,36,Staccato,Piano,No
38,91,21335,76,59,1,2,2,2,s,pre,0,279,37,Staccato,Piano,No
39,93,21618,76,56,1,2,2,2,s,pre,0,283,38,Staccato,Piano,No
41,96,22237,77,81,1,2,2,2,s,pre,0,303,40,Legato,Forte,No
42,98,22512,76,82,1,2,2,2,s,pre,0,275,41,Legato,Forte,No
