RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,Articulation,Dynamics
1,17,7841,79,63,1,2,2,1,16.mid,experiment,0,Legato,Forte
2,18,8112,78,76,1,2,2,1,16.mid,experiment,0,Legato,Forte
3,20,8406,79,85,1,2,2,1,16.mid,experiment,0,Legato,Forte
4,22,8657,76,84,1,2,2,1,16.mid,experiment,0,Legato,Forte
5,24,8955,72,79,1,2,2,1,16.mid,experiment,0,Legato,Forte
9,33,10077,79,67,1,2,2,1,16.mid,experiment,0,Legato,Forte
10,34,10345,78,77,1,2,2,1,16.mid,experiment,0,Legato,Forte
11,36,10629,79,80,1,2,2,1,16.mid,experiment,0,Legato,Forte
12,38,10902,76,79,1,2,2,1,16.mid,experiment,0,Legato,Forte
13,40,11172,72,81,1,2,2,1,16.mid,experiment,0,Legato,Forte
14,42,11448,76,85,1,2,2,1,16.mid,experiment,0,Legato,Forte
15,44,11705,79,81,1,2,2,1,16.mid,experiment,0,Legato,Forte
16,46,11977,84,89,1,2,2,1,16.mid,experiment,0,Legato,Forte
17,48,12241,83,81,1,2,2,1,16.mid,experiment,0,Legato,Forte
21,57,13404,83,73,1,2,2,1,16.mid,experiment,0,Legato,Forte
22,58,13679,81,79,1,2,2,1,16.mid,experiment,0,Legato,Forte
23,60,13948,84,78,1,2,2,1,16.mid,experiment,0,Legato,Forte
24,62,14209,81,86,1,2,2,1,16.mid,experiment,0,Legato,Forte
25,64,14493,78,78,1,2,2,1,16.mid,experiment,0,Legato,Forte
26,67,14780,79,65,1,2,2,1,16.mid,experiment,0,Legato,Forte
40,95,21513,81,70,1,2,2,1,16.mid,experiment,0,Legato,Forte
41,96,21798,77,76,1,2,2,1,16.mid,experiment,0,Legato,Forte
42,98,22094,76,81,1,2,2,1,16.mid,experiment,0,Legato,Forte
43,100,22366,74,83,1,2,2,1,16.mid,experiment,0,Legato,Forte
44,102,22643,76,79,1,2,2,1,16.mid,experiment,0,Legato,Forte
45,104,22911,79,82,1,2,2,1,16.mid,experiment,0,Legato,Forte
46,106,23193,74,81,1,2,2,1,16.mid,experiment,0,Legato,Forte
47,108,23479,71,76,1,2,2,1,16.mid,experiment,0,Legato,Forte
1,17,7842,79,68,1,2,2,2,15.mid,experiment,0,Legato,Forte
2,18,8126,78,72,1,2,2,2,15.mid,experiment,0,Legato,Forte
3,20,8410,79,81,1,2,2,2,15.mid,experiment,0,Legato,Forte
4,22,8670,76,80,1,2,2,2,15.mid,experiment,0,Legato,Forte
5,24,8960,72,87,1,2,2,2,15.mid,experiment,0,Legato,Forte
9,33,10090,79,74,1,2,2,2,15.mid,experiment,0,Legato,Forte
10,34,10370,78,82,1,2,2,2,15.mid,experiment,0,Legato,Forte
11,36,10652,79,87,1,2,2,2,15.mid,experiment,0,Legato,Forte
12,38,10926,76,83,1,2,2,2,15.mid,experiment,0,Legato,Forte
13,40,11205,72,80,1,2,2,2,15.mid,experiment,0,Legato,Forte
14,42,11468,76,88,1,2,2,2,15.mid,experiment,0,Legato,Forte
15,44,11731,79,81,1,2,2,2,15.mid,experiment,0,Legato,Forte
16,46,12000,84,91,1,2,2,2,15.mid,experiment,0,Legato,Forte
17,48,12273,83,89,1,2,2,2,15.mid,experiment,0,Legato,Forte
21,57,13433,83,79,1,2,2,2,15.mid,experiment,0,Legato,Forte
22,58,13710,81,83,1,2,2,2,15.mid,experiment,0,Legato,Forte
23,60,13990,84,80,1,2,2,2,15.mid,experiment,0,Legato,Forte
24,62,14254,81,82,1,2,2,2,15.mid,experiment,0,Legato,Forte
25,64,14527,78,79,1,2,2,2,15.mid,experiment,0,Legato,Forte
26,66,14818,79,84,1,2,2,2,15.mid,experiment,0,Legato,Forte
40,95,21678,81,70,1,2,2,2,15.mid,experiment,0,Legato,Forte
41,96,21954,77,83,1,2,2,2,15.mid,experiment,0,Legato,Forte
42,98,22252,76,81,1,2,2,2,15.mid,experiment,0,Legato,Forte
43,100,22516,74,81,1,2,2,2,15.mid,experiment,0,Legato,Forte
44,102,22806,76,79,1,2,2,2,15.mid,experiment,0,Legato,Forte
45,104,23074,79,81,1,2,2,2,15.mid,experiment,0,Legato,Forte
46,106,23359,74,81,1,2,2,2,15.mid,experiment,0,Legato,Forte
47,108,23631,71,75,1,2,2,2,15.mid,experiment,0,Legato,Forte
1,17,7868,79,62,1,2,2,3,2.mid,experiment,0,Legato,Forte
2,18,8152,78,74,1,2,2,3,2.mid,experiment,0,Legato,Forte
3,20,8440,79,75,1,2,2,3,2.mid,experiment,0,Legato,Forte
4,22,8721,76,77,1,2,2,3,2.mid,experiment,0,Legato,Forte
5,24,9002,72,78,1,2,2,3,2.mid,experiment,0,Legato,Forte
9,33,10146,79,72,1,2,2,3,2.mid,experiment,0,Legato,Forte
10,34,10424,78,70,1,2,2,3,2.mid,experiment,0,Legato,Forte
11,36,10696,79,71,1,2,2,3,2.mid,experiment,0,Legato,Forte
12,38,10982,76,79,1,2,2,3,2.mid,experiment,0,Legato,Forte
13,40,11251,72,81,1,2,2,3,2.mid,experiment,0,Legato,Forte
14,42,11526,76,87,1,2,2,3,2.mid,experiment,0,Legato,Forte
15,44,11798,79,82,1,2,2,3,2.mid,experiment,0,Legato,Forte
16,46,12066,84,85,1,2,2,3,2.mid,experiment,0,Legato,Forte
17,48,12332,83,80,1,2,2,3,2.mid,experiment,0,Legato,Forte
21,57,13472,83,74,1,2,2,3,2.mid,experiment,0,Legato,Forte
22,58,13750,81,80,1,2,2,3,2.mid,experiment,0,Legato,Forte
23,60,14035,84,81,1,2,2,3,2.mid,experiment,0,Legato,Forte
24,62,14301,81,79,1,2,2,3,2.mid,experiment,0,Legato,Forte
25,64,14585,78,71,1,2,2,3,2.mid,experiment,0,Legato,Forte
26,67,14884,79,74,1,2,2,3,2.mid,experiment,0,Legato,Forte
40,95,21733,81,72,1,2,2,3,2.mid,experiment,0,Legato,Forte
41,96,22024,77,75,1,2,2,3,2.mid,experiment,0,Legato,Forte
42,98,22302,76,76,1,2,2,3,2.mid,experiment,0,Legato,Forte
43,100,22570,74,81,1,2,2,3,2.mid,experiment,0,Legato,Forte
44,102,22855,76,77,1,2,2,3,2.mid,experiment,0,Legato,Forte
45,104,23123,79,80,1,2,2,3,2.mid,experiment,0,Legato,Forte
46,106,23404,74,81,1,2,2,3,2.mid,experiment,0,Legato,Forte
47,108,23669,71,75,1,2,2,3,2.mid,experiment,0,Legato,Forte
1,17,7862,79,67,1,2,2,4,4.mid,experiment,0,Legato,Forte
2,18,8144,78,74,1,2,2,4,4.mid,experiment,0,Legato,Forte
3,20,8424,79,78,1,2,2,4,4.mid,experiment,0,Legato,Forte
4,22,8688,76,72,1,2,2,4,4.mid,experiment,0,Legato,Forte
5,24,8972,72,79,1,2,2,4,4.mid,experiment,0,Legato,Forte
9,33,10094,79,63,1,2,2,4,4.mid,experiment,0,Legato,Forte
10,34,10344,78,81,1,2,2,4,4.mid,experiment,0,Legato,Forte
11,36,10631,79,85,1,2,2,4,4.mid,experiment,0,Legato,Forte
12,38,10902,76,77,1,2,2,4,4.mid,experiment,0,Legato,Forte
13,40,11179,72,78,1,2,2,4,4.mid,experiment,0,Legato,Forte
14,42,11451,76,85,1,2,2,4,4.mid,experiment,0,Legato,Forte
15,44,11718,79,84,1,2,2,4,4.mid,experiment,0,Legato,Forte
16,46,11982,84,90,1,2,2,4,4.mid,experiment,0,Legato,Forte
17,48,12246,83,82,1,2,2,4,4.mid,experiment,0,Legato,Forte
21,57,13393,83,78,1,2,2,4,4.mid,experiment,0,Legato,Forte
22,58,13664,81,79,1,2,2,4,4.mid,experiment,0,Legato,Forte
23,60,13952,84,82,1,2,2,4,4.mid,experiment,0,Legato,Forte
24,62,14214,81,82,1,2,2,4,4.mid,experiment,0,Legato,Forte
25,64,14478,78,79,1,2,2,4,4.mid,experiment,0,Legato,Forte
26,67,14759,79,81,1,2,2,4,4.mid,experiment,0,Legato,Forte
40,95,21509,81,75,1,2,2,4,4.mid,experiment,0,Legato,Forte
41,96,21787,77,77,1,2,2,4,4.mid,experiment,0,Legato,Forte
42,98,22050,76,80,1,2,2,4,4.mid,experiment,0,Legato,Forte
43,100,22316,74,86,1,2,2,4,4.mid,experiment,0,Legato,Forte
44,102,22583,76,80,1,2,2,4,4.mid,experiment,0,Legato,Forte
45,104,22852,79,81,1,2,2,4,4.mid,experiment,0,Legato,Forte
46,106,23119,74,79,1,2,2,4,4.mid,experiment,0,Legato,Forte
47,108,23394,71,72,1,2,2,4,4.mid,experiment,0,Legato,Forte
1,17,7848,79,68,1,2,2,5,12.mid,experiment,0,Legato,Forte
2,18,8141,78,76,1,2,2,5,12.mid,experiment,0,Legato,Forte
3,20,8428,79,80,1,2,2,5,12.mid,experiment,0,Legato,Forte
4,22,8701,76,78,1,2,2,5,12.mid,experiment,0,Legato,Forte
5,24,8977,72,79,1,2,2,5,12.mid,experiment,0,Legato,Forte
9,33,10105,79,68,1,2,2,5,12.mid,experiment,0,Legato,Forte
10,34,10381,78,75,1,2,2,5,12.mid,experiment,0,Legato,Forte
11,36,10664,79,78,1,2,2,5,12.mid,experiment,0,Legato,Forte
12,38,10935,76,76,1,2,2,5,12.mid,experiment,0,Legato,Forte
13,40,11194,72,78,1,2,2,5,12.mid,experiment,0,Legato,Forte
14,42,11469,76,87,1,2,2,5,12.mid,experiment,0,Legato,Forte
15,44,11742,79,84,1,2,2,5,12.mid,experiment,0,Legato,Forte
16,46,12005,84,91,1,2,2,5,12.mid,experiment,0,Legato,Forte
17,48,12285,83,81,1,2,2,5,12.mid,experiment,0,Legato,Forte
21,57,13436,83,75,1,2,2,5,12.mid,experiment,0,Legato,Forte
22,58,13704,81,84,1,2,2,5,12.mid,experiment,0,Legato,Forte
23,60,13997,84,79,1,2,2,5,12.mid,experiment,0,Legato,Forte
24,62,14251,81,83,1,2,2,5,12.mid,experiment,0,Legato,Forte
25,64,14539,78,78,1,2,2,5,12.mid,experiment,0,Legato,Forte
26,66,14812,79,76,1,2,2,5,12.mid,experiment,0,Legato,Forte
40,95,21537,81,66,1,2,2,5,12.mid,experiment,0,Legato,Forte
41,96,21819,77,74,1,2,2,5,12.mid,experiment,0,Legato,Forte
42,98,22104,76,78,1,2,2,5,12.mid,experiment,0,Legato,Forte
43,100,22372,74,77,1,2,2,5,12.mid,experiment,0,Legato,Forte
44,102,22655,76,79,1,2,2,5,12.mid,experiment,0,Legato,Forte
45,104,22916,79,76,1,2,2,5,12.mid,experiment,0,Legato,Forte
46,106,23196,74,74,1,2,2,5,12.mid,experiment,0,Legato,Forte
47,108,23477,71,67,1,2,2,5,12.mid,experiment,0,Legato,Forte
1,17,7855,79,65,1,2,2,6,3.mid,experiment,0,Legato,Forte
2,18,8137,78,72,1,2,2,6,3.mid,experiment,0,Legato,Forte
3,20,8420,79,79,1,2,2,6,3.mid,experiment,0,Legato,Forte
4,22,8697,76,81,1,2,2,6,3.mid,experiment,0,Legato,Forte
5,24,8976,72,76,1,2,2,6,3.mid,experiment,0,Legato,Forte
9,33,10119,79,62,1,2,2,6,3.mid,experiment,0,Legato,Forte
10,34,10392,78,78,1,2,2,6,3.mid,experiment,0,Legato,Forte
11,36,10677,79,77,1,2,2,6,3.mid,experiment,0,Legato,Forte
12,38,10952,76,77,1,2,2,6,3.mid,experiment,0,Legato,Forte
13,40,11226,72,78,1,2,2,6,3.mid,experiment,0,Legato,Forte
14,42,11503,76,80,1,2,2,6,3.mid,experiment,0,Legato,Forte
15,44,11774,79,79,1,2,2,6,3.mid,experiment,0,Legato,Forte
16,46,12041,84,86,1,2,2,6,3.mid,experiment,0,Legato,Forte
17,48,12325,83,80,1,2,2,6,3.mid,experiment,0,Legato,Forte
21,57,13470,83,74,1,2,2,6,3.mid,experiment,0,Legato,Forte
22,58,13740,81,85,1,2,2,6,3.mid,experiment,0,Legato,Forte
23,60,14036,84,85,1,2,2,6,3.mid,experiment,0,Legato,Forte
24,62,14298,81,85,1,2,2,6,3.mid,experiment,0,Legato,Forte
25,64,14566,78,79,1,2,2,6,3.mid,experiment,0,Legato,Forte
26,67,14861,79,79,1,2,2,6,3.mid,experiment,0,Legato,Forte
40,95,21728,81,71,1,2,2,6,3.mid,experiment,0,Legato,Forte
41,96,22017,77,77,1,2,2,6,3.mid,experiment,0,Legato,Forte
42,98,22301,76,77,1,2,2,6,3.mid,experiment,0,Legato,Forte
43,100,22564,74,85,1,2,2,6,3.mid,experiment,0,Legato,Forte
44,102,22835,76,81,1,2,2,6,3.mid,experiment,0,Legato,Forte
45,104,23099,79,81,1,2,2,6,3.mid,experiment,0,Legato,Forte
46,106,23378,74,79,1,2,2,6,3.mid,experiment,0,Legato,Forte
47,108,23659,71,71,1,2,2,6,3.mid,experiment,0,Legato,Forte
1,17,7843,79,70,1,2,2,7,10.mid,experiment,0,Legato,Forte
2,18,8143,78,76,1,2,2,7,10.mid,experiment,0,Legato,Forte
3,20,8409,79,79,1,2,2,7,10.mid,experiment,0,Legato,Forte
4,22,8691,76,79,1,2,2,7,10.mid,experiment,0,Legato,Forte
5,24,8981,72,78,1,2,2,7,10.mid,experiment,0,Legato,Forte
9,33,10109,79,68,1,2,2,7,10.mid,experiment,0,Legato,Forte
10,34,10385,78,70,1,2,2,7,10.mid,experiment,0,Legato,Forte
11,36,10673,79,75,1,2,2,7,10.mid,experiment,0,Legato,Forte
12,38,10937,76,76,1,2,2,7,10.mid,experiment,0,Legato,Forte
13,40,11216,72,79,1,2,2,7,10.mid,experiment,0,Legato,Forte
14,42,11485,76,81,1,2,2,7,10.mid,experiment,0,Legato,Forte
15,44,11741,79,83,1,2,2,7,10.mid,experiment,0,Legato,Forte
16,46,12013,84,88,1,2,2,7,10.mid,experiment,0,Legato,Forte
17,48,12281,83,81,1,2,2,7,10.mid,experiment,0,Legato,Forte
21,57,13407,83,70,1,2,2,7,10.mid,experiment,0,Legato,Forte
22,58,13681,81,82,1,2,2,7,10.mid,experiment,0,Legato,Forte
23,60,13963,84,81,1,2,2,7,10.mid,experiment,0,Legato,Forte
24,62,14221,81,82,1,2,2,7,10.mid,experiment,0,Legato,Forte
25,64,14507,78,75,1,2,2,7,10.mid,experiment,0,Legato,Forte
26,67,14803,79,81,1,2,2,7,10.mid,experiment,0,Legato,Forte
40,95,21628,81,76,1,2,2,7,10.mid,experiment,0,Legato,Forte
41,96,21909,77,75,1,2,2,7,10.mid,experiment,0,Legato,Forte
42,98,22175,76,80,1,2,2,7,10.mid,experiment,0,Legato,Forte
43,100,22445,74,84,1,2,2,7,10.mid,experiment,0,Legato,Forte
44,102,22717,76,81,1,2,2,7,10.mid,experiment,0,Legato,Forte
45,104,22985,79,81,1,2,2,7,10.mid,experiment,0,Legato,Forte
46,106,23253,74,79,1,2,2,7,10.mid,experiment,0,Legato,Forte
47,108,23533,71,73,1,2,2,7,10.mid,experiment,0,Legato,Forte
1,17,7819,79,70,1,2,2,8,8.mid,experiment,0,Legato,Forte
2,18,8105,78,75,1,2,2,8,8.mid,experiment,0,Legato,Forte
3,20,8380,79,81,1,2,2,8,8.mid,experiment,0,Legato,Forte
4,22,8649,76,80,1,2,2,8,8.mid,experiment,0,Legato,Forte
5,24,8938,72,73,1,2,2,8,8.mid,experiment,0,Legato,Forte
9,33,10051,79,63,1,2,2,8,8.mid,experiment,0,Legato,Forte
10,34,10321,78,72,1,2,2,8,8.mid,experiment,0,Legato,Forte
11,36,10608,79,75,1,2,2,8,8.mid,experiment,0,Legato,Forte
12,38,10881,76,74,1,2,2,8,8.mid,experiment,0,Legato,Forte
13,40,11150,72,73,1,2,2,8,8.mid,experiment,0,Legato,Forte
14,42,11430,76,81,1,2,2,8,8.mid,experiment,0,Legato,Forte
15,44,11699,79,83,1,2,2,8,8.mid,experiment,0,Legato,Forte
16,46,11967,84,87,1,2,2,8,8.mid,experiment,0,Legato,Forte
17,48,12240,83,82,1,2,2,8,8.mid,experiment,0,Legato,Forte
21,57,13364,83,79,1,2,2,8,8.mid,experiment,0,Legato,Forte
22,58,13634,81,80,1,2,2,8,8.mid,experiment,0,Legato,Forte
23,60,13912,84,81,1,2,2,8,8.mid,experiment,0,Legato,Forte
24,62,14178,81,79,1,2,2,8,8.mid,experiment,0,Legato,Forte
25,64,14449,78,73,1,2,2,8,8.mid,experiment,0,Legato,Forte
26,67,14721,79,78,1,2,2,8,8.mid,experiment,0,Legato,Forte
40,95,21443,81,72,1,2,2,8,8.mid,experiment,0,Legato,Forte
41,96,21718,77,75,1,2,2,8,8.mid,experiment,0,Legato,Forte
42,98,21988,76,75,1,2,2,8,8.mid,experiment,0,Legato,Forte
43,100,22256,74,82,1,2,2,8,8.mid,experiment,0,Legato,Forte
44,102,22531,76,80,1,2,2,8,8.mid,experiment,0,Legato,Forte
45,104,22790,79,81,1,2,2,8,8.mid,experiment,0,Legato,Forte
46,106,23072,74,81,1,2,2,8,8.mid,experiment,0,Legato,Forte
47,108,23340,71,73,1,2,2,8,8.mid,experiment,0,Legato,Forte
1,17,7820,79,67,1,2,2,9,5.mid,experiment,0,Legato,Forte
2,18,8112,78,71,1,2,2,9,5.mid,experiment,0,Legato,Forte
3,20,8388,79,83,1,2,2,9,5.mid,experiment,0,Legato,Forte
4,22,8656,76,79,1,2,2,9,5.mid,experiment,0,Legato,Forte
5,24,8932,72,80,1,2,2,9,5.mid,experiment,0,Legato,Forte
9,33,10084,79,70,1,2,2,9,5.mid,experiment,0,Legato,Forte
10,34,10363,78,78,1,2,2,9,5.mid,experiment,0,Legato,Forte
11,36,10638,79,81,1,2,2,9,5.mid,experiment,0,Legato,Forte
12,38,10916,76,79,1,2,2,9,5.mid,experiment,0,Legato,Forte
13,40,11186,72,78,1,2,2,9,5.mid,experiment,0,Legato,Forte
14,42,11460,76,81,1,2,2,9,5.mid,experiment,0,Legato,Forte
15,44,11734,79,82,1,2,2,9,5.mid,experiment,0,Legato,Forte
16,46,11993,84,89,1,2,2,9,5.mid,experiment,0,Legato,Forte
17,48,12272,83,83,1,2,2,9,5.mid,experiment,0,Legato,Forte
21,57,13408,83,72,1,2,2,9,5.mid,experiment,0,Legato,Forte
22,58,13685,81,79,1,2,2,9,5.mid,experiment,0,Legato,Forte
