"NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","Error"
18,7946,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
20,8136,78,64,0,2,120,2,0,2,NA,NA,"black.png",0
22,8402,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
24,8604,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
26,8831,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
28,8902,67,64,0,2,120,2,0,2,NA,NA,"black.png",0
30,9108,67,64,0,2,120,2,0,2,NA,NA,"black.png",0
32,9370,67,64,0,2,120,2,0,2,NA,NA,"black.png",0
34,9710,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
36,9911,78,64,0,2,120,2,0,2,NA,NA,"black.png",0
39,10167,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
40,10329,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
43,10595,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
45,10793,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
46,10980,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
48,11197,84,64,0,2,120,2,0,2,NA,NA,"black.png",0
50,11424,83,64,0,2,120,2,0,2,NA,NA,"black.png",0
52,11483,81,64,0,2,120,2,0,2,NA,NA,"black.png",0
54,11677,81,64,0,2,120,2,0,2,NA,NA,"black.png",0
56,11886,81,64,0,2,120,2,0,2,NA,NA,"black.png",0
58,12265,83,64,0,2,120,2,0,2,NA,NA,"black.png",0
60,12488,81,64,0,2,120,2,0,2,NA,NA,"black.png",0
63,12708,84,64,0,2,120,2,0,2,NA,NA,"black.png",0
64,12911,81,64,0,2,120,2,0,2,NA,NA,"black.png",0
67,13153,78,64,0,2,120,2,0,2,NA,NA,"black.png",0
68,13213,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
70,13610,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
72,14210,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
74,14736,77,64,0,2,120,2,0,2,NA,NA,"black.png",0
76,14965,77,64,0,2,120,2,0,2,NA,NA,"black.png",0
78,15171,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
80,15385,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
82,16003,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
84,16754,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
86,17181,77,64,0,2,120,2,0,2,NA,NA,"black.png",0
88,17430,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
90,17640,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
92,17822,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
94,18039,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
97,18431,81,64,0,2,120,2,0,2,NA,NA,"black.png",0
99,18643,77,64,0,2,120,2,0,2,NA,NA,"black.png",0
101,18847,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
102,18984,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
104,19251,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
107,19487,79,64,0,2,120,2,0,2,NA,NA,"black.png",0
108,19694,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
110,19787,71,64,0,2,120,2,0,2,NA,NA,"black.png",0
112,19944,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
114,20135,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
116,20341,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
118,20555,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
120,21158,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
122,21651,65,64,0,2,120,2,0,2,NA,NA,"black.png",0
124,21888,65,64,0,2,120,2,0,2,NA,NA,"black.png",0
126,22076,64,64,0,2,120,2,0,2,NA,NA,"black.png",0
128,22309,64,64,0,2,120,2,0,2,NA,NA,"black.png",0
130,22891,62,64,0,2,120,2,0,2,NA,NA,"black.png",0
132,23366,67,64,0,2,120,2,0,2,NA,NA,"black.png",0
134,23598,67,64,0,2,120,2,0,2,NA,NA,"black.png",0
136,23803,71,64,0,2,120,2,0,2,NA,NA,"black.png",0
138,24038,71,64,0,2,120,2,0,2,NA,NA,"black.png",0
140,24231,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
142,24468,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
144,24655,73,64,0,2,120,2,0,2,NA,NA,"black.png",0
146,24864,73,64,0,2,120,2,0,2,NA,NA,"black.png",0
148,25335,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
150,25827,77,64,0,2,120,2,0,2,NA,NA,"black.png",0
152,26270,76,64,0,2,120,2,0,2,NA,NA,"black.png",0
154,26688,74,64,0,2,120,2,0,2,NA,NA,"black.png",0
156,27097,72,64,0,2,120,2,0,2,NA,NA,"black.png",0
158,27541,84,64,0,2,120,2,0,2,NA,NA,"black.png",0
160,28208,84,64,0,2,120,2,0,2,NA,NA,"black.png",0
18,8187,79,64,0,2,120,2,0,3,NA,NA,"black.png",0
20,8380,78,64,0,2,120,2,0,3,NA,NA,"black.png",0
22,8645,79,64,0,2,120,2,0,3,NA,NA,"black.png",0
24,8847,76,64,0,2,120,2,0,3,NA,NA,"black.png",0
27,9095,72,64,0,2,120,2,0,3,NA,NA,"black.png",0
28,9186,67,64,0,2,120,2,0,3,NA,NA,"black.png",0
30,9403,67,64,0,2,120,2,0,3,NA,NA,"black.png",0
32,9633,67,64,0,2,120,2,0,3,NA,NA,"black.png",0
34,9972,79,64,0,2,120,2,0,3,NA,NA,"black.png",0
36,10183,78,64,0,2,120,2,0,3,NA,NA,"black.png",0
39,10420,79,64,0,2,120,2,0,3,NA,NA,"black.png",0
40,10593,76,64,0,2,120,2,0,3,NA,NA,"black.png",0
43,10862,72,64,0,2,120,2,0,3,NA,NA,"black.png",0
