"NoteNr","TimeStamp","Pitch","Velocity","Key_OnOff","Device","Tempo","SubNr","BlockNr","TrialNr","Skill","Condition","Image","Error"
17,7032,79,57,1,2,120,1,0,1,NA,NA,"black.png",0
18,7259,78,72,1,2,120,1,0,1,NA,NA,"black.png",0
20,7514,79,72,1,2,120,1,0,1,NA,NA,"black.png",0
22,7750,76,79,1,2,120,1,0,1,NA,NA,"black.png",0
24,7998,72,81,1,2,120,1,0,1,NA,NA,"black.png",0
26,8245,67,78,1,2,120,1,0,1,NA,NA,"black.png",0
29,8495,67,78,1,2,120,1,0,1,NA,NA,"black.png",0
31,8739,67,81,1,2,120,1,0,1,NA,NA,"black.png",0
33,8998,79,75,1,2,120,1,0,1,NA,NA,"black.png",0
34,9242,78,71,1,2,120,1,0,1,NA,NA,"black.png",0
36,9510,79,74,1,2,120,1,0,1,NA,NA,"black.png",0
38,9762,76,70,1,2,120,1,0,1,NA,NA,"black.png",0
40,10019,72,74,1,2,120,1,0,1,NA,NA,"black.png",0
42,10269,76,76,1,2,120,1,0,1,NA,NA,"black.png",0
44,10528,79,80,1,2,120,1,0,1,NA,NA,"black.png",0
46,10772,84,76,1,2,120,1,0,1,NA,NA,"black.png",0
48,11020,83,77,1,2,120,1,0,1,NA,NA,"black.png",0
50,11269,81,75,1,2,120,1,0,1,NA,NA,"black.png",0
53,11519,81,70,1,2,120,1,0,1,NA,NA,"black.png",0
55,11760,81,79,1,2,120,1,0,1,NA,NA,"black.png",0
57,12018,83,78,1,2,120,1,0,1,NA,NA,"black.png",0
58,12269,81,78,1,2,120,1,0,1,NA,NA,"black.png",0
60,12528,84,78,1,2,120,1,0,1,NA,NA,"black.png",0
62,12778,81,82,1,2,120,1,0,1,NA,NA,"black.png",0
64,13025,78,80,1,2,120,1,0,1,NA,NA,"black.png",0
66,13270,79,79,1,2,120,1,0,1,NA,NA,"black.png",0
69,13531,79,74,1,2,120,1,0,1,NA,NA,"black.png",0
71,14059,79,68,1,2,120,1,0,1,NA,NA,"black.png",0
73,15128,77,67,1,2,120,1,0,1,NA,NA,"black.png",0
75,15373,77,66,1,2,120,1,0,1,NA,NA,"black.png",0
76,15608,76,67,1,2,120,1,0,1,NA,NA,"black.png",0
79,15848,76,67,1,2,120,1,0,1,NA,NA,"black.png",0
80,16134,74,74,1,2,120,1,0,1,NA,NA,"black.png",0
83,17170,79,71,1,2,120,1,0,1,NA,NA,"black.png",0
84,17677,77,72,1,2,120,1,0,1,NA,NA,"black.png",0
87,18207,76,63,1,2,120,1,0,1,NA,NA,"black.png",0
89,18468,76,62,1,2,120,1,0,1,NA,NA,"black.png",0
91,18711,76,66,1,2,120,1,0,1,NA,NA,"black.png",0
93,18962,76,69,1,2,120,1,0,1,NA,NA,"black.png",0
