Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
16,1,1,0,67,79
16,2,1,294,69,78
16,1,0,350,67,79
16,3,1,585,67,79
16,2,0,621,69,78
16,4,1,863,69,76
16,3,0,896,67,79
16,5,1,1152,73,72
16,4,0,1194,69,76
16,5,0,1425,73,72
16,6,1,1433,70,67
16,6,0,1489,70,67
16,7,1,1729,72,67
16,7,0,1791,72,67
16,8,1,2008,71,67
16,8,0,2069,71,67
16,9,1,2312,69,79
16,10,1,2600,75,78
16,9,0,2640,69,79
16,10,0,2888,75,78
16,11,1,2895,69,79
16,12,1,3172,67,76
16,11,0,3210,69,79
16,12,0,3451,67,76
16,13,1,3454,75,72
16,14,1,3732,71,76
16,13,0,3782,75,72
16,15,1,4021,74,79
16,14,0,4074,71,76
16,16,1,4297,75,84
16,15,0,4325,74,79
16,17,1,4596,74,83
16,16,0,4610,75,84
16,17,0,4850,74,83
16,18,1,4887,70,81
16,18,0,4954,70,81
16,19,1,5154,71,81
16,19,0,5207,71,81
16,20,1,5443,70,81
16,20,0,5504,70,81
16,21,1,5725,75,83
16,22,1,6002,72,81
16,21,0,6043,75,83
16,23,1,6278,72,84
16,22,0,6286,72,81
16,24,1,6554,72,81
16,23,0,6582,72,84
16,25,1,6842,73,78
16,24,0,6859,72,81
16,26,1,7123,76,79
16,25,0,7162,73,78
16,26,0,7233,76,79
16,27,1,7427,71,79
16,27,0,7745,71,79
16,28,1,7999,65,79
16,28,0,8501,65,79
16,29,1,9185,69,77
16,29,0,9263,69,77
16,30,1,9474,69,77
16,30,0,9529,69,77
16,31,1,9754,67,76
16,31,0,9819,67,76
16,32,1,10041,70,76
16,32,0,10129,70,76
16,33,1,10350,70,74
16,33,0,10906,70,74
16,34,1,11500,74,79
16,34,0,11936,74,79
16,35,1,12083,71,77
16,35,0,12477,71,77
16,36,1,12652,70,76
16,36,0,12743,70,76
16,37,1,12943,71,76
16,37,0,13035,71,76
16,38,1,13226,71,76
16,38,0,13303,71,76
16,39,1,13508,74,76
16,39,0,13701,74,76
16,40,1,13791,74,81
16,41,1,14075,69,77
16,40,0,14125,74,81
16,42,1,14354,68,76
16,41,0,14384,69,77
16,43,1,14634,69,74
16,42,0,14653,68,76
16,44,1,14905,72,76
16,43,0,14930,69,74
16,44,0,15164,72,76
16,45,1,15181,69,79
16,46,1,15459,67,74
16,45,0,15499,69,79
16,46,0,15740,67,74
16,47,1,15751,58,71
16,47,0,16000,58,71
16,48,1,16021,75,72
16,48,0,16086,75,72
16,49,1,16308,74,72
16,49,0,16383,74,72
16,50,1,16586,76,74
16,50,0,16644,76,74
16,51,1,16872,75,74
16,51,0,16942,75,74
16,52,1,17181,68,76
16,52,0,17749,68,76
16,53,1,18358,79,65
16,53,0,18416,79,65
16,54,1,18645,78,65
16,54,0,18706,78,65
16,55,1,18940,71,64
16,55,0,18999,71,64
16,56,1,19238,70,64
16,56,0,19317,70,64
16,57,1,19544,70,62
16,57,0,20068,70,62
16,58,1,20701,76,67
16,58,0,20770,76,67
16,59,1,20993,75,67
16,59,0,21105,75,67
16,60,1,21275,79,71
16,60,0,21373,79,71
16,61,1,21552,82,71
16,61,0,21656,82,71
16,62,1,21827,86,72
16,62,0,21924,86,72
16,63,1,22095,88,72
16,63,0,22215,88,72
16,64,1,22376,86,73
16,64,0,22486,86,73
16,65,1,22656,88,73
16,65,0,22784,88,73
16,66,1,22961,92,74
16,66,0,23461,92,74
16,67,1,23557,81,77
16,67,0,23987,81,77
16,68,1,24149,78,76
16,68,0,24596,78,76
16,69,1,24720,83,74
16,69,0,25139,83,74
16,70,1,25341,81,72
16,70,0,25812,81,72
16,71,1,25948,76,84
16,71,0,26354,76,84
16,72,1,26564,72,84
16,72,0,27177,72,84
