Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
2,1,1,0,60,79
2,1,0,67,60,79
2,2,1,301,63,78
2,2,0,365,63,78
2,3,1,591,64,79
2,3,0,634,64,79
2,4,1,890,60,76
2,4,0,933,60,76
2,5,1,1175,62,72
2,5,0,1248,62,72
2,6,1,1464,55,67
2,6,0,1540,55,67
2,7,1,1737,61,67
2,7,0,1790,61,67
2,8,1,2020,60,67
2,8,0,2085,60,67
2,9,1,2313,63,79
2,9,0,2375,63,79
2,10,1,2599,68,78
2,10,0,2668,68,78
2,11,1,2879,71,79
2,11,0,2931,71,79
2,12,1,3158,68,76
2,12,0,3217,68,76
2,13,1,3451,68,72
2,13,0,3502,68,72
2,14,1,3733,66,76
2,14,0,3793,66,76
2,15,1,4003,71,79
2,15,0,4045,71,79
2,16,1,4294,69,84
2,16,0,4340,69,84
2,17,1,4577,68,83
2,17,0,4626,68,83
2,18,1,4861,66,81
2,18,0,4908,66,81
2,19,1,5131,65,81
2,19,0,5180,65,81
2,20,1,5394,67,81
2,20,0,5435,67,81
2,21,1,5687,67,83
2,21,0,5735,67,83
2,22,1,5974,72,81
2,22,0,6023,72,81
2,23,1,6252,67,84
2,23,0,6304,67,84
2,24,1,6531,65,81
2,24,0,6575,65,81
2,25,1,6816,69,78
2,25,0,6921,69,78
2,26,1,7102,66,79
2,26,0,7146,66,79
2,27,1,7410,65,79
2,27,0,7488,65,79
2,28,1,8030,58,79
2,28,0,8166,58,79
2,29,1,9258,54,77
2,29,0,9313,54,77
2,30,1,9549,60,77
2,30,0,9604,60,77
2,31,1,9830,57,76
2,31,0,9895,57,76
2,32,1,10099,57,76
2,32,0,10155,57,76
2,33,1,10421,59,74
2,33,0,10884,59,74
2,34,1,11558,63,79
2,34,0,11735,63,79
2,35,1,12143,67,77
2,35,0,12305,67,77
2,36,1,12707,61,76
2,36,0,12783,61,76
2,37,1,12984,59,76
2,37,0,13044,59,76
2,38,1,13251,61,76
2,38,0,13343,61,76
2,39,1,13534,64,76
2,39,0,13626,64,76
2,40,1,13826,61,81
2,40,0,13871,61,81
2,41,1,14102,65,77
2,41,0,14149,65,77
2,42,1,14389,64,76
2,42,0,14440,64,76
2,43,1,14661,67,74
2,43,0,14710,67,74
2,44,1,14934,66,76
2,44,0,14994,66,76
2,45,1,15205,68,79
2,45,0,15286,68,79
2,46,1,15487,68,74
2,46,0,15552,68,74
2,47,1,15765,65,71
2,47,0,15821,65,71
2,48,1,16029,66,72
2,48,0,16113,66,72
2,49,1,16295,60,72
2,49,0,16341,60,72
2,50,1,16568,63,74
2,50,0,16605,63,74
2,51,1,16851,60,74
2,51,0,16906,60,74
2,52,1,17147,53,76
2,52,0,17633,53,76
2,53,1,18312,49,65
2,53,0,18422,49,65
2,54,1,18594,53,65
2,54,0,18663,53,65
2,55,1,18871,57,64
2,55,0,18927,57,64
2,56,1,19138,57,64
2,56,0,19196,57,64
2,57,1,19476,58,62
2,57,0,20033,58,62
2,58,1,20628,63,67
2,58,0,20721,63,67
2,59,1,20907,60,67
2,59,0,20978,60,67
2,60,1,21207,61,71
2,60,0,21269,61,71
2,61,1,21485,62,71
2,61,0,21580,62,71
2,62,1,21765,62,72
2,62,0,21833,62,72
2,63,1,22039,65,72
2,63,0,22125,65,72
2,64,1,22312,66,73
2,64,0,22393,66,73
2,65,1,22589,65,73
2,65,0,22687,65,73
2,66,1,22883,68,74
2,66,0,23203,68,74
2,67,1,23470,65,77
2,67,0,23640,65,77
2,68,1,24064,62,76
2,68,0,24239,62,76
2,69,1,24664,67,74
2,69,0,24859,67,74
2,70,1,25269,68,72
2,70,0,25627,68,72
2,71,1,25900,63,84
2,71,0,26024,63,84
2,72,1,26528,64,84
2,72,0,26801,64,84
