Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
1,1,1,0,66,79
1,1,0,142,66,79
1,2,1,284,74,78
1,2,0,352,74,78
1,3,1,562,73,79
1,3,0,684,73,79
1,4,1,849,70,76
1,4,0,919,70,76
1,5,1,1134,76,72
1,5,0,1306,76,72
1,6,1,1420,75,67
1,6,0,1505,75,67
1,7,1,1691,79,67
1,7,0,1764,79,67
1,8,1,1977,77,67
1,8,0,2062,77,67
1,9,1,2273,72,79
1,9,0,2403,72,79
1,10,1,2553,71,78
1,10,0,2678,71,78
1,11,1,2840,72,79
1,11,0,2967,72,79
1,12,1,3118,71,76
1,12,0,3183,71,76
1,13,1,3398,75,72
1,13,0,3584,75,72
1,14,1,3671,73,76
1,14,0,3765,73,76
1,15,1,3955,75,79
1,15,0,4044,75,79
1,16,1,4232,82,84
1,16,0,4358,82,84
1,17,1,4523,78,83
1,17,0,4746,78,83
1,18,1,4799,79,81
1,18,0,4849,79,81
1,19,1,5066,78,81
1,19,0,5114,78,81
1,20,1,5335,83,81
1,20,0,5406,83,81
1,21,1,5617,79,83
1,21,0,5753,79,83
1,22,1,5902,74,81
1,22,0,5960,74,81
1,23,1,6169,81,84
1,23,0,6306,81,84
1,24,1,6477,67,81
1,24,0,6555,67,81
1,25,1,6749,79,78
1,26,1,7039,77,79
1,25,0,7059,79,78
1,26,0,7100,77,79
1,27,1,7324,78,79
1,27,0,7457,78,79
1,28,1,7907,75,79
1,28,0,8039,75,79
1,29,1,9140,78,77
1,29,0,9234,78,77
1,30,1,9434,77,77
1,30,0,9508,77,77
1,31,1,9709,81,76
1,31,0,9773,81,76
1,32,1,9979,81,76
1,32,0,10077,81,76
1,33,1,10278,84,74
1,33,0,10441,84,74
1,34,1,11432,79,79
1,34,0,11662,79,79
1,35,1,12019,73,77
1,35,0,12240,73,77
1,36,1,12580,76,76
1,36,0,12681,76,76
1,37,1,12863,76,76
1,37,0,12935,76,76
1,38,1,13136,76,76
1,38,0,13222,76,76
1,39,1,13402,79,76
1,39,0,13478,79,76
1,40,1,13696,75,81
1,40,0,13896,75,81
1,41,1,13980,72,77
1,41,0,14042,72,77
1,42,1,14252,73,76
1,42,0,14320,73,76
1,43,1,14532,79,74
1,43,0,14585,79,74
1,44,1,14812,77,76
1,44,0,14957,77,76
1,45,1,15087,76,79
1,45,0,15141,76,79
1,46,1,15366,75,74
1,46,0,15436,75,74
1,47,1,15644,77,71
1,47,0,15705,77,71
1,48,1,15914,83,72
1,48,0,15986,83,72
1,49,1,16182,83,72
1,49,0,16284,83,72
1,50,1,16454,84,74
1,50,0,16506,84,74
1,51,1,16734,85,74
1,51,0,16823,85,74
1,52,1,17023,77,76
1,52,0,17221,77,76
1,53,1,18167,84,65
1,53,0,18245,84,65
1,54,1,18451,82,65
1,54,0,18558,82,65
1,55,1,18733,78,64
1,55,0,18789,78,64
1,56,1,19002,83,64
1,56,0,19096,83,64
1,57,1,19308,78,62
1,57,0,19500,78,62
1,58,1,20463,83,67
1,58,0,20527,83,67
1,59,1,20742,84,67
1,59,0,20826,84,67
1,60,1,21015,84,71
1,60,0,21076,84,71
1,61,1,21289,85,71
1,61,0,21361,85,71
1,62,1,21561,84,72
1,62,0,21603,84,72
1,63,1,21828,83,72
1,63,0,21886,83,72
1,64,1,22102,90,73
1,64,0,22196,90,73
1,65,1,22369,88,73
1,65,0,22452,88,73
1,66,1,22659,86,74
1,66,0,22905,86,74
1,67,1,23228,82,77
1,67,0,23484,82,77
1,68,1,23795,77,76
1,68,0,24040,77,76
1,69,1,24363,82,74
1,69,0,24619,82,74
1,70,1,24951,83,72
1,70,0,25243,83,72
1,71,1,25536,87,84
1,71,0,25733,87,84
1,72,1,26135,88,84
1,72,0,26368,88,84
