Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
3,1,1,0,64,79
3,2,1,288,63,78
3,1,0,303,64,79
3,2,0,574,63,78
3,3,1,595,65,79
3,3,0,870,65,79
3,4,1,883,63,76
3,4,0,1154,63,76
3,5,1,1166,68,72
3,6,1,1450,66,67
3,5,0,1458,68,72
3,6,0,1542,66,67
3,7,1,1743,66,67
3,7,0,1812,66,67
3,8,1,2035,71,67
3,8,0,2134,71,67
3,9,1,2337,67,79
3,10,1,2632,68,78
3,9,0,2641,67,79
3,10,0,2910,68,78
3,11,1,2918,65,79
3,11,0,3207,65,79
3,12,1,3208,65,76
3,12,0,3471,65,76
3,13,1,3488,69,72
3,14,1,3774,66,76
3,13,0,3779,69,72
3,15,1,4057,68,79
3,14,0,4068,66,76
3,15,0,4333,68,79
3,16,1,4350,69,84
3,17,1,4633,71,83
3,16,0,4658,69,84
3,18,1,4923,65,81
3,17,0,4925,71,83
3,18,0,4980,65,81
3,19,1,5193,68,81
3,19,0,5241,68,81
3,20,1,5467,64,81
3,20,0,5607,64,81
3,21,1,5746,68,83
3,21,0,6034,68,83
3,22,1,6041,64,81
3,23,1,6324,68,84
3,22,0,6327,64,81
3,24,1,6612,65,81
3,23,0,6613,68,84
3,24,0,6885,65,81
3,25,1,6902,65,78
3,26,1,7176,66,79
3,25,0,7206,65,78
3,26,0,7267,66,79
3,27,1,7479,59,79
3,27,0,7854,59,79
3,28,1,8085,59,79
3,28,0,8599,59,79
3,29,1,9232,67,77
3,29,0,9309,67,77
3,30,1,9515,65,77
3,30,0,9664,65,77
3,31,1,9794,62,76
3,31,0,9869,62,76
3,32,1,10075,63,76
3,32,0,10232,63,76
3,33,1,10387,63,74
3,33,0,10968,63,74
3,34,1,11570,65,79
3,34,0,12109,65,79
3,35,1,12156,65,77
3,35,0,12625,65,77
3,36,1,12702,65,76
3,36,0,12788,65,76
3,37,1,12987,63,76
3,37,0,13077,63,76
3,38,1,13270,61,76
3,38,0,13358,61,76
3,39,1,13547,60,76
3,39,0,13649,60,76
3,40,1,13832,69,81
3,41,1,14128,65,77
3,40,0,14139,69,81
3,42,1,14396,66,76
3,41,0,14425,65,77
3,43,1,14675,66,74
3,42,0,14693,66,76
3,43,0,14936,66,74
3,44,1,14953,67,76
3,44,0,15236,67,76
3,45,1,15239,66,79
3,46,1,15522,67,74
3,45,0,15544,66,79
3,47,1,15809,64,71
3,46,0,15809,67,74
3,47,0,16043,64,71
3,48,1,16081,65,72
3,48,0,16153,65,72
3,49,1,16359,67,72
3,49,0,16586,67,72
3,50,1,16633,62,74
3,50,0,16711,62,74
3,51,1,16918,66,74
3,51,0,17142,66,74
3,52,1,17231,57,76
3,52,0,17805,57,76
3,53,1,18386,62,65
3,53,0,18442,62,65
3,54,1,18662,68,65
3,54,0,18821,68,65
3,55,1,18944,67,64
3,55,0,19021,67,64
3,56,1,19231,65,64
3,56,0,19391,65,64
3,57,1,19547,64,62
3,57,0,20094,64,62
3,58,1,20656,67,67
3,58,0,20724,67,67
3,59,1,20941,68,67
3,59,0,21101,68,67
3,60,1,21222,68,71
3,60,0,21279,68,71
3,61,1,21496,70,71
3,61,0,21665,70,71
3,62,1,21774,71,72
3,62,0,21856,71,72
3,63,1,22041,76,72
3,63,0,22218,76,72
3,64,1,22314,74,73
3,64,0,22411,74,73
3,65,1,22604,73,73
3,65,0,22772,73,73
3,66,1,22892,72,74
3,66,0,23436,72,74
3,67,1,23472,71,77
3,67,0,24060,71,77
3,68,1,24073,66,76
3,68,0,24654,66,76
3,69,1,24662,69,74
3,69,0,25223,69,74
3,70,1,25257,70,72
3,70,0,25844,70,72
3,71,1,25883,67,84
3,71,0,26237,67,84
3,72,1,26529,68,84
3,72,0,27024,68,84
