NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,70,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
18,287,78,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
19,294,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
20,557,78,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
21,562,79,58,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
22,838,76,60,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
23,843,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
24,1107,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
25,1112,72,65,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
26,1241,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
27,1425,67,47,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
28,1475,67,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
29,1684,67,67,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
30,1733,67,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
31,1964,67,67,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
32,2017,67,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
33,2258,79,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
34,2509,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
35,2523,78,69,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
36,2802,79,64,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
37,2808,78,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
38,3062,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
39,3071,76,64,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
40,3340,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
41,3366,72,59,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
42,3611,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
43,3623,76,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
44,3901,79,63,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
45,3907,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
46,4166,84,73,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
47,4176,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
48,4459,83,76,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
49,4474,84,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
50,4723,83,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
51,4732,81,64,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
52,4807,81,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
53,4980,81,72,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
54,5061,81,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
55,5264,81,66,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
56,5306,81,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
57,5533,83,72,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
58,5804,81,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
59,5816,83,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
60,6069,84,65,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
61,6075,81,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
62,6351,81,63,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
63,6381,84,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
64,6464,81,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
65,6611,78,70,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
66,6840,78,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
67,6893,79,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
68,6988,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
69,7176,79,62,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
70,7297,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
71,7745,79,57,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
72,8387,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
73,8911,77,67,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
74,9005,77,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
75,9189,77,70,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
76,9276,77,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
77,9456,76,70,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
78,9524,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
79,9719,76,70,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
80,9809,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
81,10005,74,75,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
82,10658,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
83,11144,79,74,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
84,11693,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
85,11702,77,69,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
87,12294,76,62,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
86,12294,77,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
88,12352,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
89,12558,76,67,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
90,12640,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
91,12823,76,66,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
92,12921,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
93,13104,76,56,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
94,13187,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
95,13384,81,60,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
96,13663,81,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
97,13683,77,60,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
98,13958,76,58,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
99,13979,77,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
100,14217,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
101,14230,74,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
102,14501,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
103,14513,76,57,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
104,14774,79,60,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
105,14784,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
106,15048,74,65,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
107,15081,79,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
108,15297,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
109,15313,71,69,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
110,15556,71,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
111,15596,72,65,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
112,15665,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
113,15861,72,63,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
114,15959,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
115,16133,74,65,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
116,16185,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
117,16403,74,65,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
118,16455,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
119,16787,76,26,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
120,17342,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
121,17931,65,75,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
122,18001,65,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
123,18217,65,72,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
124,18325,65,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
125,18489,64,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
126,18539,64,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
127,18763,64,61,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
128,18822,64,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
129,19073,62,68,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
130,19724,62,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
131,20184,67,74,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
132,20251,67,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
133,20447,67,66,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
134,20557,67,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
135,20715,71,69,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
136,20787,71,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
137,20989,71,67,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
138,21073,71,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
139,21251,72,72,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
140,21346,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
141,21515,72,72,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
142,21623,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
143,21792,73,70,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
144,21873,73,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
145,22068,73,74,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
146,22139,73,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
147,22368,74,71,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
148,22932,77,74,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
149,22942,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
150,23492,76,67,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
151,23499,77,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
152,24043,76,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
153,24048,74,75,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
154,24607,72,75,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
155,24614,74,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
156,24787,72,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
157,25171,84,74,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
158,25301,84,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
159,25737,84,72,1,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
160,26288,84,64,0,2,100,10,1,4,articulation,performing,4_p_stim_a.png,0
