Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
10,1,1,0,80,60
10,1,0,150,64,60
10,2,1,284,80,60
10,2,0,434,64,60
10,3,1,573,80,60
10,3,0,723,64,60
10,4,1,868,80,60
10,4,0,1018,64,60
10,5,1,1170,80,60
10,5,0,1320,64,60
10,6,1,1447,80,60
10,6,0,1597,64,60
10,7,1,1746,80,60
10,7,0,1896,64,60
10,8,1,2041,80,60
10,8,0,2191,64,60
10,9,1,2342,80,60
10,9,0,2492,64,60
10,10,1,2624,80,60
10,10,0,2774,64,60
10,11,1,2920,80,60
10,11,0,3070,64,60
10,12,1,3216,80,60
10,12,0,3366,64,60
10,13,1,3494,80,60
10,13,0,3644,64,60
10,14,1,3778,80,60
10,14,0,3928,64,60
10,15,1,4060,80,60
10,15,0,4210,64,60
10,16,1,4343,80,60
10,16,0,4493,64,60
10,17,1,4641,80,60
10,17,0,4791,64,60
10,18,1,4923,80,60
10,18,0,5073,64,60
10,19,1,5215,80,60
10,19,0,5365,64,60
10,20,1,5492,80,60
10,20,0,5642,64,60
10,21,1,5784,80,60
10,21,0,5934,64,60
10,22,1,6073,80,60
10,22,0,6223,64,60
10,23,1,6347,80,60
10,23,0,6497,64,60
10,24,1,6653,80,60
10,24,0,6803,64,60
10,25,1,6940,80,60
10,25,0,7090,64,60
10,26,1,7217,80,60
10,26,0,7367,64,60
10,27,1,7519,80,60
10,27,0,7669,64,60
10,28,1,8115,80,60
10,28,0,8265,64,60
10,29,1,9322,80,60
10,29,0,9472,64,60
10,30,1,9611,80,60
10,30,0,9761,64,60
10,31,1,9892,80,60
10,31,0,10042,64,60
10,32,1,10173,80,60
10,32,0,10323,64,60
10,33,1,10482,80,60
10,33,0,10632,64,60
10,34,1,11614,80,60
10,34,0,11764,64,60
10,35,1,12214,80,60
10,35,0,12364,64,60
10,36,1,12792,80,60
10,36,0,12942,64,60
10,37,1,13092,80,60
10,37,0,13242,64,60
10,38,1,13375,80,60
10,38,0,13525,64,60
10,39,1,13657,80,60
10,39,0,13807,64,60
10,40,1,13952,80,60
10,40,0,14102,64,60
10,41,1,14244,80,60
10,41,0,14394,64,60
10,42,1,14534,80,60
10,42,0,14684,64,60
10,43,1,14825,80,60
10,43,0,14975,64,60
10,44,1,15112,80,60
10,44,0,15262,64,60
10,45,1,15396,80,60
10,45,0,15546,64,60
10,46,1,15676,80,60
10,46,0,15826,64,60
10,47,1,15960,80,60
10,47,0,16110,64,60
10,48,1,16234,80,60
10,48,0,16384,64,60
10,49,1,16522,80,60
10,49,0,16672,64,60
10,50,1,16794,80,60
10,50,0,16944,64,60
10,51,1,17093,80,60
10,51,0,17243,64,60
10,52,1,17395,80,60
10,52,0,17545,64,60
10,53,1,18549,80,60
10,53,0,18699,64,60
10,54,1,18843,80,60
10,54,0,18993,64,60
10,55,1,19127,80,60
10,55,0,19277,64,60
10,56,1,19421,80,60
10,56,0,19571,64,60
10,57,1,19737,80,60
10,57,0,19887,64,60
10,58,1,20858,80,60
10,58,0,21008,64,60
10,59,1,21159,80,60
10,59,0,21309,64,60
10,60,1,21442,80,60
10,60,0,21592,64,60
10,61,1,21727,80,60
10,61,0,21877,64,60
10,62,1,21997,80,60
10,62,0,22147,64,60
10,63,1,22282,80,60
10,63,0,22432,64,60
10,64,1,22557,80,60
10,64,0,22707,64,60
10,65,1,22848,80,60
10,65,0,22998,64,60
10,66,1,23154,80,60
10,66,0,23304,64,60
10,67,1,23743,80,60
10,67,0,23893,64,60
10,68,1,24344,80,60
10,68,0,24494,64,60
10,69,1,24940,80,60
10,69,0,25090,64,60
10,70,1,25541,80,60
10,70,0,25691,64,60
10,71,1,26168,80,60
10,71,0,26318,64,60
10,72,1,26822,80,60
10,72,0,26972,64,60
