RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,3,1,3,0,79,68,Art_only
2,3,1,3,306,78,67,Art_only
1,3,0,3,336,79,0,Art_only
3,3,1,3,603,79,70,Art_only
2,3,0,3,614,78,0,Art_only
4,3,1,3,904,76,67,Art_only
3,3,0,3,909,79,0,Art_only
5,3,1,3,1199,72,71,Art_only
4,3,0,3,1254,76,0,Art_only
5,3,0,3,1453,72,0,Art_only
6,3,1,3,1501,67,70,Art_only
6,3,0,3,1559,67,0,Art_only
7,3,1,3,1793,67,72,Art_only
7,3,0,3,1842,67,0,Art_only
8,3,1,3,2089,67,73,Art_only
8,3,0,3,2134,67,0,Art_only
9,3,1,3,2400,79,74,Art_only
10,3,1,3,2705,78,68,Art_only
9,3,0,3,2730,79,0,Art_only
11,3,1,3,3005,79,71,Art_only
10,3,0,3,3017,78,0,Art_only
12,3,1,3,3301,76,68,Art_only
11,3,0,3,3339,79,0,Art_only
13,3,1,3,3603,72,72,Art_only
12,3,0,3,3626,76,0,Art_only
14,3,1,3,3892,76,74,Art_only
13,3,0,3,3956,72,0,Art_only
15,3,1,3,4186,79,73,Art_only
14,3,0,3,4234,76,0,Art_only
15,3,0,3,4474,79,0,Art_only
16,3,1,3,4483,84,78,Art_only
17,3,1,3,4784,83,74,Art_only
16,3,0,3,4826,84,0,Art_only
17,3,0,3,5030,83,0,Art_only
18,3,1,3,5081,81,70,Art_only
18,3,0,3,5140,81,0,Art_only
19,3,1,3,5368,81,70,Art_only
19,3,0,3,5429,81,0,Art_only
20,3,1,3,5659,81,67,Art_only
20,3,0,3,5735,81,0,Art_only
21,3,1,3,5949,83,70,Art_only
22,3,1,3,6251,81,69,Art_only
21,3,0,3,6270,83,0,Art_only
23,3,1,3,6539,84,74,Art_only
22,3,0,3,6559,81,0,Art_only
24,3,1,3,6840,81,71,Art_only
23,3,0,3,6862,84,0,Art_only
25,3,1,3,7135,78,70,Art_only
24,3,0,3,7150,81,0,Art_only
25,3,0,3,7412,78,0,Art_only
26,3,1,3,7431,79,72,Art_only
26,3,0,3,7593,79,0,Art_only
27,3,1,3,7738,79,69,Art_only
27,3,0,3,8180,79,0,Art_only
28,3,1,3,8345,79,68,Art_only
28,3,0,3,8995,79,0,Art_only
29,3,1,3,9609,77,76,Art_only
