RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,6,1,2,0,79,84,Dyn_only
1,9,0,2,73,79,0,Dyn_only
2,6,1,2,296,78,85,Dyn_only
2,9,0,2,366,78,0,Dyn_only
3,6,1,2,589,79,82,Dyn_only
3,9,0,2,638,79,0,Dyn_only
4,6,1,2,879,76,81,Dyn_only
4,9,0,2,922,76,0,Dyn_only
5,6,1,2,1179,72,79,Dyn_only
5,9,0,2,1225,72,0,Dyn_only
6,6,1,2,1471,67,55,Dyn_only
6,9,0,2,1528,67,0,Dyn_only
7,6,1,2,1765,67,56,Dyn_only
7,9,0,2,1833,67,0,Dyn_only
8,6,1,2,2066,67,59,Dyn_only
8,9,0,2,2140,67,0,Dyn_only
9,6,1,2,2376,79,81,Dyn_only
9,9,0,2,2452,79,0,Dyn_only
10,6,1,2,2666,78,85,Dyn_only
10,9,0,2,2764,78,0,Dyn_only
11,6,1,2,2951,79,85,Dyn_only
11,9,0,2,3048,79,0,Dyn_only
12,6,1,2,3242,76,82,Dyn_only
12,9,0,2,3322,76,0,Dyn_only
13,6,1,2,3526,72,86,Dyn_only
13,9,0,2,3652,72,0,Dyn_only
14,6,1,2,3816,76,82,Dyn_only
14,9,0,2,3908,76,0,Dyn_only
15,6,1,2,4105,79,87,Dyn_only
15,9,0,2,4171,79,0,Dyn_only
16,6,1,2,4385,84,80,Dyn_only
16,9,0,2,4478,84,0,Dyn_only
17,6,1,2,4683,83,89,Dyn_only
17,9,0,2,4751,83,0,Dyn_only
18,6,1,2,4969,81,64,Dyn_only
18,9,0,2,5020,81,0,Dyn_only
19,6,1,2,5256,81,57,Dyn_only
19,9,0,2,5314,81,0,Dyn_only
20,6,1,2,5533,81,60,Dyn_only
20,9,0,2,5596,81,0,Dyn_only
21,6,1,2,5825,83,76,Dyn_only
21,9,0,2,5902,83,0,Dyn_only
22,6,1,2,6118,81,82,Dyn_only
22,9,0,2,6176,81,0,Dyn_only
23,6,1,2,6393,84,88,Dyn_only
23,9,0,2,6478,84,0,Dyn_only
24,6,1,2,6687,81,80,Dyn_only
24,9,0,2,6741,81,0,Dyn_only
25,6,1,2,6971,78,81,Dyn_only
25,9,0,2,7082,78,0,Dyn_only
26,6,1,2,7247,79,81,Dyn_only
26,9,0,2,7333,79,0,Dyn_only
27,6,1,2,7540,79,75,Dyn_only
27,9,0,2,7650,79,0,Dyn_only
28,6,1,2,8137,79,72,Dyn_only
28,9,0,2,8326,79,0,Dyn_only
29,6,1,2,9293,77,58,Dyn_only
29,9,0,2,9392,77,0,Dyn_only
30,6,1,2,9581,77,56,Dyn_only
30,9,0,2,9661,77,0,Dyn_only
31,6,1,2,9861,76,51,Dyn_only
31,9,0,2,9917,76,0,Dyn_only
32,6,1,2,10139,76,56,Dyn_only
32,9,0,2,10217,76,0,Dyn_only
33,6,1,2,10456,74,52,Dyn_only
33,9,0,2,10902,74,0,Dyn_only
34,6,1,2,11587,79,60,Dyn_only
34,9,0,2,11777,79,0,Dyn_only
35,6,1,2,12190,77,58,Dyn_only
35,9,0,2,12355,77,0,Dyn_only
36,6,1,2,12755,76,55,Dyn_only
36,9,0,2,12852,76,0,Dyn_only
37,6,1,2,13050,76,57,Dyn_only
37,9,0,2,13105,76,0,Dyn_only
38,6,1,2,13339,76,58,Dyn_only
38,9,0,2,13395,76,0,Dyn_only
39,6,1,2,13629,76,63,Dyn_only
39,9,0,2,13711,76,0,Dyn_only
40,6,1,2,13920,81,82,Dyn_only
40,9,0,2,13993,81,0,Dyn_only
41,6,1,2,14222,77,86,Dyn_only
41,9,0,2,14275,77,0,Dyn_only
42,6,1,2,14499,76,89,Dyn_only
42,9,0,2,14558,76,0,Dyn_only
43,6,1,2,14788,74,86,Dyn_only
43,9,0,2,14868,74,0,Dyn_only
44,6,1,2,15071,76,87,Dyn_only
44,9,0,2,15146,76,0,Dyn_only
45,6,1,2,15347,79,86,Dyn_only
45,9,0,2,15436,79,0,Dyn_only
46,6,1,2,15638,74,87,Dyn_only
46,9,0,2,15717,74,0,Dyn_only
47,6,1,2,15931,71,74,Dyn_only
47,9,0,2,15998,71,0,Dyn_only
48,6,1,2,16207,72,74,Dyn_only
48,9,0,2,16262,72,0,Dyn_only
49,6,1,2,16497,72,61,Dyn_only
49,9,0,2,16554,72,0,Dyn_only
50,6,1,2,16766,74,60,Dyn_only
50,9,0,2,16824,74,0,Dyn_only
51,6,1,2,17061,74,60,Dyn_only
51,9,0,2,17117,74,0,Dyn_only
52,6,1,2,17377,76,46,Dyn_only
52,9,0,2,17822,76,0,Dyn_only
53,6,1,2,18497,65,57,Dyn_only
53,9,0,2,18590,65,0,Dyn_only
54,6,1,2,18784,65,53,Dyn_only
54,9,0,2,18879,65,0,Dyn_only
55,6,1,2,19064,64,56,Dyn_only
55,9,0,2,19122,64,0,Dyn_only
56,6,1,2,19359,64,57,Dyn_only
56,9,0,2,19426,64,0,Dyn_only
57,6,1,2,19681,62,56,Dyn_only
57,9,0,2,20263,62,0,Dyn_only
58,6,1,2,20762,67,53,Dyn_only
58,9,0,2,20862,67,0,Dyn_only
59,6,1,2,21049,67,57,Dyn_only
59,9,0,2,21136,67,0,Dyn_only
60,6,1,2,21341,71,62,Dyn_only
60,9,0,2,21405,71,0,Dyn_only
61,6,1,2,21616,71,66,Dyn_only
61,9,0,2,21719,71,0,Dyn_only
62,6,1,2,21892,72,73,Dyn_only
62,9,0,2,21968,72,0,Dyn_only
63,6,1,2,22163,72,72,Dyn_only
63,9,0,2,22265,72,0,Dyn_only
64,6,1,2,22448,73,76,Dyn_only
64,9,0,2,22544,73,0,Dyn_only
65,6,1,2,22742,73,79,Dyn_only
65,9,0,2,22830,73,0,Dyn_only
66,6,1,2,23048,74,96,Dyn_only
66,9,0,2,23405,74,0,Dyn_only
67,6,1,2,23637,77,93,Dyn_only
67,9,0,2,23892,77,0,Dyn_only
