RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,3,1,3,0,79,83,High
2,3,1,3,306,78,89,High
1,11,0,3,340,79,0,High
3,3,1,3,603,79,87,High
2,11,0,3,628,78,0,High
4,3,1,3,904,76,85,High
3,11,0,3,915,79,0,High
5,3,1,3,1199,72,74,High
4,11,0,3,1220,76,0,High
5,11,0,3,1450,72,0,High
6,3,1,3,1501,67,61,High
6,11,0,3,1570,67,0,High
7,3,1,3,1793,67,60,High
7,11,0,3,1857,67,0,High
8,3,1,3,2089,67,68,High
8,11,0,3,2157,67,0,High
9,3,1,3,2400,79,87,High
10,3,1,3,2705,78,83,High
9,11,0,3,2722,79,0,High
11,3,1,3,3005,79,90,High
10,11,0,3,3013,78,0,High
12,3,1,3,3301,76,86,High
11,11,0,3,3319,79,0,High
13,3,1,3,3603,72,84,High
12,11,0,3,3610,76,0,High
14,3,1,3,3892,76,86,High
13,11,0,3,3943,72,0,High
15,3,1,3,4186,79,91,High
14,11,0,3,4214,76,0,High
16,3,1,3,4483,84,90,High
15,11,0,3,4485,79,0,High
17,3,1,3,4784,83,81,High
16,11,0,3,4847,84,0,High
17,11,0,3,5078,83,0,High
18,3,1,3,5081,81,60,High
18,11,0,3,5143,81,0,High
19,3,1,3,5368,81,56,High
19,11,0,3,5427,81,0,High
20,3,1,3,5659,81,61,High
20,11,0,3,5816,81,0,High
21,3,1,3,5949,83,90,High
22,3,1,3,6251,81,86,High
21,11,0,3,6294,83,0,High
23,3,1,3,6539,84,93,High
22,11,0,3,6587,81,0,High
24,3,1,3,6840,81,86,High
23,11,0,3,6867,84,0,High
25,3,1,3,7135,78,84,High
24,11,0,3,7162,81,0,High
26,3,1,3,7431,79,80,High
25,11,0,3,7450,78,0,High
26,11,0,3,7564,79,0,High
27,3,1,3,7738,79,73,High
27,11,0,3,8167,79,0,High
28,3,1,3,8345,79,68,High
28,11,0,3,8914,79,0,High
29,3,1,3,9609,77,54,High
29,11,0,3,9680,77,0,High
30,3,1,3,9915,77,54,High
30,11,0,3,9983,77,0,High
31,3,1,3,10205,76,56,High
31,11,0,3,10273,76,0,High
32,3,1,3,10494,76,57,High
32,11,0,3,10587,76,0,High
33,3,1,3,10807,74,54,High
33,11,0,3,11424,74,0,High
34,3,1,3,12058,79,57,High
34,11,0,3,12578,79,0,High
35,3,1,3,12673,77,61,High
35,11,0,3,13170,77,0,High
36,3,1,3,13254,76,57,High
36,11,0,3,13346,76,0,High
37,3,1,3,13552,76,56,High
37,11,0,3,13632,76,0,High
38,3,1,3,13843,76,60,High
38,11,0,3,13925,76,0,High
39,3,1,3,14123,76,63,High
39,11,0,3,14231,76,0,High
40,3,1,3,14431,81,85,High
41,3,1,3,14734,77,82,High
40,11,0,3,14791,81,0,High
42,3,1,3,15016,76,88,High
41,11,0,3,15060,77,0,High
43,3,1,3,15306,74,87,High
42,11,0,3,15339,76,0,High
44,3,1,3,15602,76,90,High
43,11,0,3,15622,74,0,High
45,3,1,3,15894,79,92,High
44,11,0,3,15908,76,0,High
46,3,1,3,16184,74,91,High
45,11,0,3,16217,79,0,High
47,3,1,3,16483,71,82,High
46,11,0,3,16490,74,0,High
47,11,0,3,16760,71,0,High
48,3,1,3,16776,72,67,High
48,11,0,3,16831,72,0,High
49,3,1,3,17064,72,65,High
49,11,0,3,17129,72,0,High
50,3,1,3,17364,74,65,High
50,11,0,3,17415,74,0,High
51,3,1,3,17647,74,59,High
51,11,0,3,17722,74,0,High
52,3,1,3,17962,76,57,High
52,11,0,3,18548,76,0,High
53,3,1,3,19216,65,47,High
53,11,0,3,19290,65,0,High
54,3,1,3,19512,65,53,High
54,11,0,3,19598,65,0,High
55,3,1,3,19808,64,54,High
55,11,0,3,19876,64,0,High
56,3,1,3,20100,64,60,High
56,11,0,3,20178,64,0,High
57,3,1,3,20404,62,59,High
57,11,0,3,21004,62,0,High
58,3,1,3,21592,67,52,High
58,11,0,3,21658,67,0,High
59,3,1,3,21886,67,59,High
59,11,0,3,21959,67,0,High
60,3,1,3,22177,71,66,High
60,11,0,3,22247,71,0,High
61,3,1,3,22454,71,66,High
61,11,0,3,22540,71,0,High
62,3,1,3,22745,72,70,High
62,11,0,3,22821,72,0,High
63,3,1,3,23026,72,68,High
63,11,0,3,23126,72,0,High
64,3,1,3,23313,73,71,High
64,11,0,3,23419,73,0,High
65,3,1,3,23608,73,72,High
65,11,0,3,23718,73,0,High
66,3,1,3,23908,74,94,High
66,11,0,3,24481,74,0,High
67,3,1,3,24511,77,92,High
68,3,1,3,25109,76,89,High
67,11,0,3,25111,77,0,High
68,11,0,3,25681,76,0,High
69,3,1,3,25698,74,93,High
69,11,0,3,26263,74,0,High
70,3,1,3,26327,72,94,High
70,11,0,3,26835,72,0,High
71,3,1,3,26962,84,94,High
71,11,0,3,27337,84,0,High
72,3,1,3,27629,84,93,High
72,11,0,3,28209,84,0,High
