RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,11,1,1,0,79,64,Low
1,13,0,1,142,79,0,Low
2,11,1,1,296,78,66,Low
2,13,0,1,364,78,0,Low
3,11,1,1,579,79,65,Low
3,13,0,1,701,79,0,Low
4,11,1,1,871,76,63,Low
4,13,0,1,941,76,0,Low
5,11,1,1,1162,72,70,Low
5,13,0,1,1334,72,0,Low
6,11,1,1,1450,67,70,Low
6,13,0,1,1535,67,0,Low
7,11,1,1,1738,67,68,Low
7,13,0,1,1811,67,0,Low
8,11,1,1,2027,67,67,Low
8,13,0,1,2112,67,0,Low
9,11,1,1,2332,79,63,Low
9,13,0,1,2462,79,0,Low
10,11,1,1,2619,78,64,Low
10,13,0,1,2744,78,0,Low
11,11,1,1,2896,79,62,Low
11,13,0,1,3023,79,0,Low
12,11,1,1,3181,76,64,Low
12,13,0,1,3246,76,0,Low
13,11,1,1,3474,72,67,Low
13,13,0,1,3660,72,0,Low
14,11,1,1,3755,76,66,Low
14,13,0,1,3849,76,0,Low
15,11,1,1,4035,79,67,Low
15,13,0,1,4124,79,0,Low
16,11,1,1,4313,84,71,Low
16,13,0,1,4439,84,0,Low
17,11,1,1,4616,83,70,Low
17,13,0,1,4839,83,0,Low
18,11,1,1,4909,81,71,Low
18,13,0,1,4959,81,0,Low
19,11,1,1,5178,81,71,Low
19,13,0,1,5226,81,0,Low
20,11,1,1,5452,81,73,Low
20,13,0,1,5523,81,0,Low
21,11,1,1,5736,83,67,Low
21,13,0,1,5872,83,0,Low
22,11,1,1,6027,81,63,Low
22,13,0,1,6085,81,0,Low
23,11,1,1,6308,84,69,Low
23,13,0,1,6445,84,0,Low
24,11,1,1,6585,81,57,Low
24,13,0,1,6663,81,0,Low
25,11,1,1,6871,78,72,Low
26,11,1,1,7158,79,69,Low
25,13,0,1,7181,78,0,Low
26,13,0,1,7219,79,0,Low
27,11,1,1,7445,79,67,Low
27,13,0,1,7578,79,0,Low
28,11,1,1,8059,79,64,Low
28,13,0,1,8191,79,0,Low
29,11,1,1,9301,77,68,Low
29,13,0,1,9395,77,0,Low
30,11,1,1,9593,77,68,Low
30,13,0,1,9667,77,0,Low
31,11,1,1,9870,76,66,Low
31,13,0,1,9934,76,0,Low
32,11,1,1,10148,76,64,Low
32,13,0,1,10246,76,0,Low
33,11,1,1,10468,74,69,Low
33,13,0,1,10631,74,0,Low
34,11,1,1,11570,79,70,Low
34,13,0,1,11800,79,0,Low
35,11,1,1,12168,77,64,Low
35,13,0,1,12389,77,0,Low
36,11,1,1,12768,76,67,Low
36,13,0,1,12869,76,0,Low
37,11,1,1,13051,76,69,Low
37,13,0,1,13123,76,0,Low
38,11,1,1,13321,76,66,Low
38,13,0,1,13407,76,0,Low
39,11,1,1,13590,76,67,Low
39,13,0,1,13666,76,0,Low
40,11,1,1,13883,81,65,Low
40,13,0,1,14083,81,0,Low
41,11,1,1,14161,77,64,Low
41,13,0,1,14223,77,0,Low
42,11,1,1,14448,76,65,Low
42,13,0,1,14516,76,0,Low
43,11,1,1,14726,74,67,Low
43,13,0,1,14779,74,0,Low
44,11,1,1,15011,76,67,Low
44,13,0,1,15156,76,0,Low
45,11,1,1,15289,79,68,Low
45,13,0,1,15343,79,0,Low
46,11,1,1,15567,74,69,Low
46,13,0,1,15637,74,0,Low
47,11,1,1,15853,71,67,Low
47,13,0,1,15914,71,0,Low
48,11,1,1,16137,72,73,Low
48,13,0,1,16209,72,0,Low
49,11,1,1,16407,72,72,Low
49,13,0,1,16509,72,0,Low
50,11,1,1,16690,74,71,Low
50,13,0,1,16742,74,0,Low
51,11,1,1,16960,74,69,Low
51,13,0,1,17049,74,0,Low
52,11,1,1,17273,76,64,Low
52,13,0,1,17471,76,0,Low
53,11,1,1,18419,65,74,Low
53,13,0,1,18497,65,0,Low
54,11,1,1,18701,65,69,Low
54,13,0,1,18808,65,0,Low
55,11,1,1,18995,64,64,Low
55,13,0,1,19051,64,0,Low
56,11,1,1,19270,64,64,Low
56,13,0,1,19364,64,0,Low
57,11,1,1,19581,62,61,Low
57,13,0,1,19773,62,0,Low
58,11,1,1,20747,67,73,Low
58,13,0,1,20811,67,0,Low
59,11,1,1,21037,67,69,Low
59,13,0,1,21121,67,0,Low
60,11,1,1,21336,71,74,Low
60,13,0,1,21397,71,0,Low
61,11,1,1,21605,71,73,Low
61,13,0,1,21677,71,0,Low
62,11,1,1,21877,72,74,Low
62,13,0,1,21919,72,0,Low
63,11,1,1,22146,72,72,Low
63,13,0,1,22204,72,0,Low
64,11,1,1,22424,73,78,Low
64,13,0,1,22518,73,0,Low
65,11,1,1,22702,73,76,Low
65,13,0,1,22785,73,0,Low
66,11,1,1,23019,74,75,Low
66,13,0,1,23265,74,0,Low
67,11,1,1,23605,77,73,Low
67,13,0,1,23861,77,0,Low
68,11,1,1,24195,76,68,Low
68,13,0,1,24440,76,0,Low
69,11,1,1,24785,74,68,Low
69,13,0,1,25041,74,0,Low
70,11,1,1,25403,72,71,Low
70,13,0,1,25695,72,0,Low
71,11,1,1,26019,84,68,Low
71,13,0,1,26216,84,0,Low
72,11,1,1,26666,84,66,Low
72,13,0,1,26899,84,0,Low
