time,event,Pitch,Velocity,MidFile,NoteNr,SubArt,SubDyn,MidFileShort,timeFixed,KeyOnOff
2880,Note On,79,70,art_only_4,1,NA,NA,a_4,2880,1
3160,Note On,78,69,art_only_4,2,NA,NA,a_4,3160,1
3162,Note Off,79,0,art_only_4,3,NA,NA,a_4,3162,0
3429,Note On,79,68,art_only_4,4,NA,NA,a_4,3429,1
3433,Note Off,78,0,art_only_4,5,NA,NA,a_4,3433,0
3703,Note On,76,69,art_only_4,6,NA,NA,a_4,3703,1
3734,Note Off,79,0,art_only_4,7,NA,NA,a_4,3734,0
3971,Note On,72,70,art_only_4,8,NA,NA,a_4,3971,1
4026,Note Off,76,0,art_only_4,9,NA,NA,a_4,4026,0
4128,Note Off,72,0,art_only_4,10,NA,NA,a_4,4128,0
4244,Note On,67,67,art_only_4,11,NA,NA,a_4,4244,1
4305,Note Off,67,0,art_only_4,12,NA,NA,a_4,4305,0
4528,Note On,67,66,art_only_4,13,NA,NA,a_4,4528,1
4576,Note Off,67,0,art_only_4,14,NA,NA,a_4,4576,0
4807,Note On,67,71,art_only_4,15,NA,NA,a_4,4807,1
4863,Note Off,67,0,art_only_4,16,NA,NA,a_4,4863,0
5088,Note On,79,73,art_only_4,17,NA,NA,a_4,5088,1
5361,Note On,78,69,art_only_4,18,NA,NA,a_4,5361,1
5378,Note Off,79,0,art_only_4,19,NA,NA,a_4,5378,0
5641,Note On,79,68,art_only_4,20,NA,NA,a_4,5641,1
5655,Note Off,78,0,art_only_4,21,NA,NA,a_4,5655,0
5914,Note On,76,66,art_only_4,22,NA,NA,a_4,5914,1
5939,Note Off,79,0,art_only_4,23,NA,NA,a_4,5939,0
6189,Note On,72,67,art_only_4,24,NA,NA,a_4,6189,1
6209,Note Off,76,0,art_only_4,25,NA,NA,a_4,6209,0
6457,Note On,76,71,art_only_4,26,NA,NA,a_4,6457,1
6472,Note Off,72,0,art_only_4,27,NA,NA,a_4,6472,0
6721,Note On,79,66,art_only_4,28,NA,NA,a_4,6721,1
6782,Note Off,76,0,art_only_4,29,NA,NA,a_4,6782,0
6990,Note On,84,76,art_only_4,30,NA,NA,a_4,6990,1
6998,Note Off,79,0,art_only_4,31,NA,NA,a_4,6998,0
7270,Note On,83,79,art_only_4,32,NA,NA,a_4,7270,1
7307,Note Off,84,0,art_only_4,33,NA,NA,a_4,7307,0
7431,Note Off,83,0,art_only_4,34,NA,NA,a_4,7431,0
7535,Note On,81,76,art_only_4,35,NA,NA,a_4,7535,1
7587,Note Off,81,0,art_only_4,36,NA,NA,a_4,7587,0
7811,Note On,81,80,art_only_4,37,NA,NA,a_4,7811,1
7866,Note Off,81,0,art_only_4,38,NA,NA,a_4,7866,0
8075,Note On,81,74,art_only_4,39,NA,NA,a_4,8075,1
8143,Note Off,81,0,art_only_4,40,NA,NA,a_4,8143,0
8353,Note On,83,73,art_only_4,41,NA,NA,a_4,8353,1
8623,Note On,81,67,art_only_4,42,NA,NA,a_4,8623,1
8653,Note Off,83,0,art_only_4,43,NA,NA,a_4,8653,0
8882,Note On,84,69,art_only_4,44,NA,NA,a_4,8882,1
8903,Note Off,81,0,art_only_4,45,NA,NA,a_4,8903,0
9161,Note On,81,70,art_only_4,46,NA,NA,a_4,9161,1
9202,Note Off,84,0,art_only_4,47,NA,NA,a_4,9202,0
9431,Note On,78,69,art_only_4,48,NA,NA,a_4,9431,1
9435,Note Off,81,0,art_only_4,49,NA,NA,a_4,9435,0
9691,Note On,79,70,art_only_4,50,NA,NA,a_4,9691,1
9696,Note Off,78,0,art_only_4,51,NA,NA,a_4,9696,0
9800,Note Off,79,0,art_only_4,52,NA,NA,a_4,9800,0
9984,Note On,79,68,art_only_4,53,NA,NA,a_4,9984,1
10314,Note Off,79,0,art_only_4,54,NA,NA,a_4,10314,0
10527,Note On,79,68,art_only_4,55,NA,NA,a_4,10527,1
11131,Note Off,79,0,art_only_4,56,NA,NA,a_4,11131,0
11637,Note On,77,73,art_only_4,57,NA,NA,a_4,11637,1
11695,Note Off,77,0,art_only_4,58,NA,NA,a_4,11695,0
11915,Note On,77,69,art_only_4,59,NA,NA,a_4,11915,1
11980,Note Off,77,0,art_only_4,60,NA,NA,a_4,11980,0
12168,Note On,76,67,art_only_4,61,NA,NA,a_4,12168,1
12235,Note Off,76,0,art_only_4,62,NA,NA,a_4,12235,0
12433,Note On,76,66,art_only_4,63,NA,NA,a_4,12433,1
12504,Note Off,76,0,art_only_4,64,NA,NA,a_4,12504,0
12736,Note On,74,69,art_only_4,65,NA,NA,a_4,12736,1
13432,Note Off,74,0,art_only_4,66,NA,NA,a_4,13432,0
13806,Note On,79,78,art_only_4,67,NA,NA,a_4,13806,1
14276,Note Off,79,0,art_only_4,68,NA,NA,a_4,14276,0
14362,Note On,77,77,art_only_4,69,NA,NA,a_4,14362,1
14800,Note Off,77,0,art_only_4,70,NA,NA,a_4,14800,0
14918,Note On,76,69,art_only_4,71,NA,NA,a_4,14918,1
14987,Note Off,76,0,art_only_4,72,NA,NA,a_4,14987,0
15186,Note On,76,70,art_only_4,73,NA,NA,a_4,15186,1
15248,Note Off,76,0,art_only_4,74,NA,NA,a_4,15248,0
15452,Note On,76,71,art_only_4,75,NA,NA,a_4,15452,1
15519,Note Off,76,0,art_only_4,76,NA,NA,a_4,15519,0
15721,Note On,76,67,art_only_4,77,NA,NA,a_4,15721,1
15796,Note Off,76,0,art_only_4,78,NA,NA,a_4,15796,0
15988,Note On,81,71,art_only_4,79,NA,NA,a_4,15988,1
16268,Note On,77,70,art_only_4,80,NA,NA,a_4,16268,1
