time,event,Pitch,Velocity,MidFile,NoteNr,SubArt,SubDyn,MidFileShort,timeFixed,KeyOnOff
2880,Note On,79,75,dyn_only_3,1,NA,NA,d_3,2880,1
2944,Note Off,79,0,dyn_only_3,2,NA,NA,d_3,3109,0
3173,Note On,78,79,dyn_only_3,3,NA,NA,d_3,3173,1
3235,Note Off,78,0,dyn_only_3,4,NA,NA,d_3,3400,0
3458,Note On,79,78,dyn_only_3,5,NA,NA,d_3,3458,1
3500,Note Off,79,0,dyn_only_3,6,NA,NA,d_3,3665,0
3747,Note On,76,78,dyn_only_3,7,NA,NA,d_3,3747,1
3789,Note Off,76,0,dyn_only_3,8,NA,NA,d_3,3954,0
4031,Note On,72,78,dyn_only_3,9,NA,NA,d_3,4031,1
4101,Note Off,72,0,dyn_only_3,10,NA,NA,d_3,4266,0
4320,Note On,67,61,dyn_only_3,11,NA,NA,d_3,4320,1
4393,Note Off,67,0,dyn_only_3,12,NA,NA,d_3,4558,0
4601,Note On,67,57,dyn_only_3,13,NA,NA,d_3,4601,1
4652,Note Off,67,0,dyn_only_3,14,NA,NA,d_3,4817,0
4885,Note On,67,60,dyn_only_3,15,NA,NA,d_3,4885,1
4947,Note Off,67,0,dyn_only_3,16,NA,NA,d_3,5112,0
5184,Note On,79,78,dyn_only_3,17,NA,NA,d_3,5184,1
5243,Note Off,79,0,dyn_only_3,18,NA,NA,d_3,5408,0
5476,Note On,78,80,dyn_only_3,19,NA,NA,d_3,5476,1
5543,Note Off,78,0,dyn_only_3,20,NA,NA,d_3,5708,0
5764,Note On,79,78,dyn_only_3,21,NA,NA,d_3,5764,1
5814,Note Off,79,0,dyn_only_3,22,NA,NA,d_3,5979,0
6048,Note On,76,80,dyn_only_3,23,NA,NA,d_3,6048,1
6105,Note Off,76,0,dyn_only_3,24,NA,NA,d_3,6270,0
6338,Note On,72,80,dyn_only_3,25,NA,NA,d_3,6338,1
6387,Note Off,72,0,dyn_only_3,26,NA,NA,d_3,6552,0
6616,Note On,76,82,dyn_only_3,27,NA,NA,d_3,6616,1
6673,Note Off,76,0,dyn_only_3,28,NA,NA,d_3,6838,0
6898,Note On,79,84,dyn_only_3,29,NA,NA,d_3,6898,1
6938,Note Off,79,0,dyn_only_3,30,NA,NA,d_3,7103,0
7183,Note On,84,82,dyn_only_3,31,NA,NA,d_3,7183,1
7227,Note Off,84,0,dyn_only_3,32,NA,NA,d_3,7392,0
7472,Note On,83,84,dyn_only_3,33,NA,NA,d_3,7472,1
7519,Note Off,83,0,dyn_only_3,34,NA,NA,d_3,7684,0
7757,Note On,81,56,dyn_only_3,35,NA,NA,d_3,7757,1
7802,Note Off,81,0,dyn_only_3,36,NA,NA,d_3,7967,0
8033,Note On,81,60,dyn_only_3,37,NA,NA,d_3,8033,1
8080,Note Off,81,0,dyn_only_3,38,NA,NA,d_3,8245,0
8312,Note On,81,64,dyn_only_3,39,NA,NA,d_3,8312,1
8352,Note Off,81,0,dyn_only_3,40,NA,NA,d_3,8517,0
8591,Note On,83,79,dyn_only_3,41,NA,NA,d_3,8591,1
