time,event,Pitch,Velocity,MidFile,NoteNr,SubArt,SubDyn,MidFileShort,timeFixed,KeyOnOff
2880,Note On,79,75,high_1,1,NA,NA,h_1,2880,1
3164,Note On,78,79,high_1,2,NA,NA,h_1,3164,1
3202,Note Off,79,0,high_1,3,NA,NA,h_1,3202,0
3435,Note On,79,78,high_1,4,NA,NA,h_1,3435,1
3459,Note Off,78,0,high_1,5,NA,NA,h_1,3459,0
3716,Note On,76,78,high_1,6,NA,NA,h_1,3716,1
3729,Note Off,79,0,high_1,7,NA,NA,h_1,3729,0
3995,Note On,72,78,high_1,8,NA,NA,h_1,3995,1
4052,Note Off,76,0,high_1,9,NA,NA,h_1,4052,0
4239,Note Off,72,0,high_1,10,NA,NA,h_1,4239,0
4272,Note On,67,61,high_1,11,NA,NA,h_1,4272,1
4327,Note Off,67,0,high_1,12,NA,NA,h_1,4327,0
4548,Note On,67,57,high_1,13,NA,NA,h_1,4548,1
4595,Note Off,67,0,high_1,14,NA,NA,h_1,4595,0
4825,Note On,67,60,high_1,15,NA,NA,h_1,4825,1
4869,Note Off,67,0,high_1,16,NA,NA,h_1,4869,0
5118,Note On,79,78,high_1,17,NA,NA,h_1,5118,1
5394,Note On,78,80,high_1,18,NA,NA,h_1,5394,1
5435,Note Off,79,0,high_1,19,NA,NA,h_1,5435,0
5660,Note On,79,78,high_1,20,NA,NA,h_1,5660,1
5693,Note Off,78,0,high_1,21,NA,NA,h_1,5693,0
5933,Note On,76,80,high_1,22,NA,NA,h_1,5933,1
5980,Note Off,79,0,high_1,23,NA,NA,h_1,5980,0
6215,Note On,72,80,high_1,24,NA,NA,h_1,6215,1
6245,Note Off,76,0,high_1,25,NA,NA,h_1,6245,0
6484,Note On,76,82,high_1,26,NA,NA,h_1,6484,1
6553,Note Off,72,0,high_1,27,NA,NA,h_1,6553,0
6753,Note On,79,84,high_1,28,NA,NA,h_1,6753,1
6813,Note Off,76,0,high_1,29,NA,NA,h_1,6813,0
7020,Note On,84,82,high_1,30,NA,NA,h_1,7020,1
7030,Note Off,79,0,high_1,31,NA,NA,h_1,7030,0
7311,Note On,83,84,high_1,32,NA,NA,h_1,7311,1
7349,Note Off,84,0,high_1,33,NA,NA,h_1,7349,0
7547,Note Off,83,0,high_1,34,NA,NA,h_1,7547,0
7592,Note On,81,56,high_1,35,NA,NA,h_1,7592,1
7649,Note Off,81,0,high_1,36,NA,NA,h_1,7649,0
7850,Note On,81,60,high_1,37,NA,NA,h_1,7850,1
7909,Note Off,81,0,high_1,38,NA,NA,h_1,7909,0
8113,Note On,81,64,high_1,39,NA,NA,h_1,8113,1
8186,Note Off,81,0,high_1,40,NA,NA,h_1,8186,0
8386,Note On,83,79,high_1,41,NA,NA,h_1,8386,1
8665,Note On,81,81,high_1,42,NA,NA,h_1,8665,1
8694,Note Off,83,0,high_1,43,NA,NA,h_1,8694,0
8935,Note On,84,82,high_1,44,NA,NA,h_1,8935,1
8961,Note Off,81,0,high_1,45,NA,NA,h_1,8961,0
9201,Note On,81,85,high_1,46,NA,NA,h_1,9201,1
9245,Note Off,84,0,high_1,47,NA,NA,h_1,9245,0
9476,Note On,78,81,high_1,48,NA,NA,h_1,9476,1
9499,Note Off,81,0,high_1,49,NA,NA,h_1,9499,0
9742,Note Off,78,0,high_1,50,NA,NA,h_1,9742,0
9751,Note On,79,78,high_1,51,NA,NA,h_1,9751,1
9907,Note Off,79,0,high_1,52,NA,NA,h_1,9907,0
10027,Note On,79,75,high_1,53,NA,NA,h_1,10027,1
10451,Note Off,79,0,high_1,54,NA,NA,h_1,10451,0
10616,Note On,79,74,high_1,55,NA,NA,h_1,10616,1
11240,Note Off,79,0,high_1,56,NA,NA,h_1,11240,0
11808,Note On,77,53,high_1,57,NA,NA,h_1,11808,1
11851,Note Off,77,0,high_1,58,NA,NA,h_1,11851,0
12089,Note On,77,57,high_1,59,NA,NA,h_1,12089,1
12138,Note Off,77,0,high_1,60,NA,NA,h_1,12138,0
12355,Note On,76,55,high_1,61,NA,NA,h_1,12355,1
12408,Note Off,76,0,high_1,62,NA,NA,h_1,12408,0
12622,Note On,76,55,high_1,63,NA,NA,h_1,12622,1
12693,Note Off,76,0,high_1,64,NA,NA,h_1,12693,0
12929,Note On,74,56,high_1,65,NA,NA,h_1,12929,1
13560,Note Off,74,0,high_1,66,NA,NA,h_1,13560,0
13987,Note On,79,58,high_1,67,NA,NA,h_1,13987,1
14436,Note Off,79,0,high_1,68,NA,NA,h_1,14436,0
14561,Note On,77,64,high_1,69,NA,NA,h_1,14561,1
15015,Note Off,77,0,high_1,70,NA,NA,h_1,15015,0
15137,Note On,76,57,high_1,71,NA,NA,h_1,15137,1
15188,Note Off,76,0,high_1,72,NA,NA,h_1,15188,0
15408,Note On,76,60,high_1,73,NA,NA,h_1,15408,1
15456,Note Off,76,0,high_1,74,NA,NA,h_1,15456,0
15668,Note On,76,60,high_1,75,NA,NA,h_1,15668,1
15716,Note Off,76,0,high_1,76,NA,NA,h_1,15716,0
15926,Note On,76,62,high_1,77,NA,NA,h_1,15926,1
16004,Note Off,76,0,high_1,78,NA,NA,h_1,16004,0
16207,Note On,81,75,high_1,79,NA,NA,h_1,16207,1
16474,Note On,77,80,high_1,80,NA,NA,h_1,16474,1
16506,Note Off,81,0,high_1,81,NA,NA,h_1,16506,0
16750,Note On,76,76,high_1,82,NA,NA,h_1,16750,1
16777,Note Off,77,0,high_1,83,NA,NA,h_1,16777,0
17016,Note On,74,78,high_1,84,NA,NA,h_1,17016,1
17039,Note Off,76,0,high_1,85,NA,NA,h_1,17039,0
17290,Note On,76,77,high_1,86,NA,NA,h_1,17290,1
17314,Note Off,74,0,high_1,87,NA,NA,h_1,17314,0
17557,Note On,79,80,high_1,88,NA,NA,h_1,17557,1
17580,Note Off,76,0,high_1,89,NA,NA,h_1,17580,0
17824,Note On,74,81,high_1,90,NA,NA,h_1,17824,1
17877,Note Off,79,0,high_1,91,NA,NA,h_1,17877,0
18098,Note On,71,74,high_1,92,NA,NA,h_1,18098,1
18121,Note Off,74,0,high_1,93,NA,NA,h_1,18121,0
18355,Note Off,71,0,high_1,94,NA,NA,h_1,18355,0
18371,Note On,72,63,high_1,95,NA,NA,h_1,18371,1
18411,Note Off,72,0,high_1,96,NA,NA,h_1,18411,0
18630,Note On,72,58,high_1,97,NA,NA,h_1,18630,1
18673,Note Off,72,0,high_1,98,NA,NA,h_1,18673,0
18902,Note On,74,58,high_1,99,NA,NA,h_1,18902,1
18941,Note Off,74,0,high_1,100,NA,NA,h_1,18941,0
19161,Note On,74,54,high_1,101,NA,NA,h_1,19161,1
19207,Note Off,74,0,high_1,102,NA,NA,h_1,19207,0
19462,Note On,76,50,high_1,103,NA,NA,h_1,19462,1
20035,Note Off,76,0,high_1,104,NA,NA,h_1,20035,0
20562,Note On,65,57,high_1,105,NA,NA,h_1,20562,1
20605,Note Off,65,0,high_1,106,NA,NA,h_1,20605,0
20832,Note On,65,59,high_1,107,NA,NA,h_1,20832,1
20879,Note Off,65,0,high_1,108,NA,NA,h_1,20879,0
21115,Note On,64,52,high_1,109,NA,NA,h_1,21115,1
21162,Note Off,64,0,high_1,110,NA,NA,h_1,21162,0
21379,Note On,64,53,high_1,111,NA,NA,h_1,21379,1
21441,Note Off,64,0,high_1,112,NA,NA,h_1,21441,0
21677,Note On,62,53,high_1,113,NA,NA,h_1,21677,1
22261,Note Off,62,0,high_1,114,NA,NA,h_1,22261,0
22797,Note On,67,56,high_1,115,NA,NA,h_1,22797,1
22839,Note Off,67,0,high_1,116,NA,NA,h_1,22839,0
23075,Note On,67,61,high_1,117,NA,NA,h_1,23075,1
23128,Note Off,67,0,high_1,118,NA,NA,h_1,23128,0
23362,Note On,71,63,high_1,119,NA,NA,h_1,23362,1
23422,Note Off,71,0,high_1,120,NA,NA,h_1,23422,0
23620,Note On,71,64,high_1,121,NA,NA,h_1,23620,1
23693,Note Off,71,0,high_1,122,NA,NA,h_1,23693,0
23881,Note On,72,71,high_1,123,NA,NA,h_1,23881,1
23948,Note Off,72,0,high_1,124,NA,NA,h_1,23948,0
24140,Note On,72,68,high_1,125,NA,NA,h_1,24140,1
24220,Note Off,72,0,high_1,126,NA,NA,h_1,24220,0
24407,Note On,73,71,high_1,127,NA,NA,h_1,24407,1
24490,Note Off,73,0,high_1,128,NA,NA,h_1,24490,0
24673,Note On,73,73,high_1,129,NA,NA,h_1,24673,1
24763,Note Off,73,0,high_1,130,NA,NA,h_1,24763,0
24978,Note On,74,91,high_1,131,NA,NA,h_1,24978,1
25471,Note Off,74,0,high_1,132,NA,NA,h_1,25471,0
25540,Note On,77,86,high_1,133,NA,NA,h_1,25540,1
26026,Note Off,77,0,high_1,134,NA,NA,h_1,26026,0
26107,Note On,76,83,high_1,135,NA,NA,h_1,26107,1
26586,Note Off,76,0,high_1,136,NA,NA,h_1,26586,0
26673,Note On,74,85,high_1,137,NA,NA,h_1,26673,1
27118,Note Off,74,0,high_1,138,NA,NA,h_1,27118,0
27266,Note On,72,85,high_1,139,NA,NA,h_1,27266,1
27698,Note Off,72,0,high_1,140,NA,NA,h_1,27698,0
27858,Note On,84,84,high_1,141,NA,NA,h_1,27858,1
28264,Note Off,84,0,high_1,142,NA,NA,h_1,28264,0
28479,Note On,84,80,high_1,143,NA,NA,h_1,28479,1
29126,Note Off,84,0,high_1,144,NA,NA,h_1,29126,0
