time,event,Pitch,Velocity,MidFile,NoteNr,SubArt,SubDyn,MidFileShort,timeFixed,KeyOnOff
2880,Note On,79,56,low_4,1,NA,NA,l_4,2880,1
2950,Note Off,79,0,low_4,2,NA,NA,l_4,3035,0
3160,Note On,78,71,low_4,3,NA,NA,l_4,3160,1
3227,Note Off,78,0,low_4,4,NA,NA,l_4,3312,0
3429,Note On,79,66,low_4,5,NA,NA,l_4,3429,1
3476,Note Off,79,0,low_4,6,NA,NA,l_4,3561,0
3703,Note On,76,68,low_4,7,NA,NA,l_4,3703,1
3744,Note Off,76,0,low_4,8,NA,NA,l_4,3829,0
3971,Note On,72,73,low_4,9,NA,NA,l_4,3971,1
4015,Note Off,72,0,low_4,10,NA,NA,l_4,4100,0
4244,Note On,67,60,low_4,11,NA,NA,l_4,4244,1
4298,Note Off,67,0,low_4,12,NA,NA,l_4,4383,0
4528,Note On,67,60,low_4,13,NA,NA,l_4,4528,1
4593,Note Off,67,0,low_4,14,NA,NA,l_4,4678,0
4807,Note On,67,62,low_4,15,NA,NA,l_4,4807,1
4878,Note Off,67,0,low_4,16,NA,NA,l_4,4963,0
5088,Note On,79,65,low_4,17,NA,NA,l_4,5088,1
5161,Note Off,79,0,low_4,18,NA,NA,l_4,5246,0
5361,Note On,78,71,low_4,19,NA,NA,l_4,5361,1
5455,Note Off,78,0,low_4,20,NA,NA,l_4,5540,0
5641,Note On,79,71,low_4,21,NA,NA,l_4,5641,1
5735,Note Off,79,0,low_4,22,NA,NA,l_4,5820,0
5914,Note On,76,69,low_4,23,NA,NA,l_4,5914,1
5991,Note Off,76,0,low_4,24,NA,NA,l_4,6076,0
6189,Note On,72,71,low_4,25,NA,NA,l_4,6189,1
6310,Note Off,72,0,low_4,26,NA,NA,l_4,6395,0
6457,Note On,76,75,low_4,27,NA,NA,l_4,6457,1
6546,Note Off,76,0,low_4,28,NA,NA,l_4,6631,0
6721,Note On,79,76,low_4,29,NA,NA,l_4,6721,1
6785,Note Off,79,0,low_4,30,NA,NA,l_4,6870,0
6990,Note On,84,74,low_4,31,NA,NA,l_4,6990,1
7080,Note Off,84,0,low_4,32,NA,NA,l_4,7165,0
7270,Note On,83,72,low_4,33,NA,NA,l_4,7270,1
7335,Note Off,83,0,low_4,34,NA,NA,l_4,7420,0
7535,Note On,81,67,low_4,35,NA,NA,l_4,7535,1
7584,Note Off,81,0,low_4,36,NA,NA,l_4,7669,0
7811,Note On,81,74,low_4,37,NA,NA,l_4,7811,1
7867,Note Off,81,0,low_4,38,NA,NA,l_4,7952,0
8075,Note On,81,71,low_4,39,NA,NA,l_4,8075,1
8136,Note Off,81,0,low_4,40,NA,NA,l_4,8221,0
8353,Note On,83,74,low_4,41,NA,NA,l_4,8353,1
8427,Note Off,83,0,low_4,42,NA,NA,l_4,8512,0
8623,Note On,81,77,low_4,43,NA,NA,l_4,8623,1
8679,Note Off,81,0,low_4,44,NA,NA,l_4,8764,0
8882,Note On,84,74,low_4,45,NA,NA,l_4,8882,1
8964,Note Off,84,0,low_4,46,NA,NA,l_4,9049,0
9161,Note On,81,77,low_4,47,NA,NA,l_4,9161,1
9213,Note Off,81,0,low_4,48,NA,NA,l_4,9298,0
9431,Note On,78,72,low_4,49,NA,NA,l_4,9431,1
9537,Note Off,78,0,low_4,50,NA,NA,l_4,9622,0
9691,Note On,79,74,low_4,51,NA,NA,l_4,9691,1
9773,Note Off,79,0,low_4,52,NA,NA,l_4,9858,0
9984,Note On,79,71,low_4,53,NA,NA,l_4,9984,1
10090,Note Off,79,0,low_4,54,NA,NA,l_4,10175,0
10527,Note On,79,62,low_4,55,NA,NA,l_4,10527,1
10708,Note Off,79,0,low_4,56,NA,NA,l_4,10793,0
11637,Note On,77,66,low_4,57,NA,NA,l_4,11637,1
11732,Note Off,77,0,low_4,58,NA,NA,l_4,11817,0
11915,Note On,77,67,low_4,59,NA,NA,l_4,11915,1
11992,Note Off,77,0,low_4,60,NA,NA,l_4,12077,0
12168,Note On,76,70,low_4,61,NA,NA,l_4,12168,1
12222,Note Off,76,0,low_4,62,NA,NA,l_4,12307,0
12433,Note On,76,66,low_4,63,NA,NA,l_4,12433,1
12508,Note Off,76,0,low_4,64,NA,NA,l_4,12593,0
12736,Note On,74,64,low_4,65,NA,NA,l_4,12736,1
13164,Note Off,74,0,low_4,66,NA,NA,l_4,13249,0
13806,Note On,79,68,low_4,67,NA,NA,l_4,13806,1
13989,Note Off,79,0,low_4,68,NA,NA,l_4,14074,0
14362,Note On,77,68,low_4,69,NA,NA,l_4,14362,1
14520,Note Off,77,0,low_4,70,NA,NA,l_4,14605,0
14918,Note On,76,64,low_4,71,NA,NA,l_4,14918,1
15011,Note Off,76,0,low_4,72,NA,NA,l_4,15096,0
15186,Note On,76,67,low_4,73,NA,NA,l_4,15186,1
15239,Note Off,76,0,low_4,74,NA,NA,l_4,15324,0
15452,Note On,76,68,low_4,75,NA,NA,l_4,15452,1
15505,Note Off,76,0,low_4,76,NA,NA,l_4,15590,0
15721,Note On,76,68,low_4,77,NA,NA,l_4,15721,1
15800,Note Off,76,0,low_4,78,NA,NA,l_4,15885,0
15988,Note On,81,64,low_4,79,NA,NA,l_4,15988,1
16058,Note Off,81,0,low_4,80,NA,NA,l_4,16143,0
16268,Note On,77,69,low_4,81,NA,NA,l_4,16268,1
16319,Note Off,77,0,low_4,82,NA,NA,l_4,16404,0
16537,Note On,76,70,low_4,83,NA,NA,l_4,16537,1
16594,Note Off,76,0,low_4,84,NA,NA,l_4,16679,0
16804,Note On,74,74,low_4,85,NA,NA,l_4,16804,1
16881,Note Off,74,0,low_4,86,NA,NA,l_4,16966,0
17080,Note On,76,74,low_4,87,NA,NA,l_4,17080,1
17152,Note Off,76,0,low_4,88,NA,NA,l_4,17237,0
17336,Note On,79,76,low_4,89,NA,NA,l_4,17336,1
17422,Note Off,79,0,low_4,90,NA,NA,l_4,17507,0
17610,Note On,74,73,low_4,91,NA,NA,l_4,17610,1
17686,Note Off,74,0,low_4,92,NA,NA,l_4,17771,0
17886,Note On,71,69,low_4,93,NA,NA,l_4,17886,1
17951,Note Off,71,0,low_4,94,NA,NA,l_4,18036,0
18139,Note On,72,76,low_4,95,NA,NA,l_4,18139,1
18192,Note Off,72,0,low_4,96,NA,NA,l_4,18277,0
18413,Note On,72,74,low_4,97,NA,NA,l_4,18413,1
18468,Note Off,72,0,low_4,98,NA,NA,l_4,18553,0
18672,Note On,74,74,low_4,99,NA,NA,l_4,18672,1
18728,Note Off,74,0,low_4,100,NA,NA,l_4,18813,0
18941,Note On,74,69,low_4,101,NA,NA,l_4,18941,1
18995,Note Off,74,0,low_4,102,NA,NA,l_4,19080,0
19248,Note On,76,60,low_4,103,NA,NA,l_4,19248,1
19676,Note Off,76,0,low_4,104,NA,NA,l_4,19761,0
20368,Note On,65,65,low_4,105,NA,NA,l_4,20368,1
20457,Note Off,65,0,low_4,106,NA,NA,l_4,20542,0
20643,Note On,65,66,low_4,107,NA,NA,l_4,20643,1
20735,Note Off,65,0,low_4,108,NA,NA,l_4,20820,0
20905,Note On,64,65,low_4,109,NA,NA,l_4,20905,1
20961,Note Off,64,0,low_4,110,NA,NA,l_4,21046,0
21169,Note On,64,59,low_4,111,NA,NA,l_4,21169,1
21234,Note Off,64,0,low_4,112,NA,NA,l_4,21319,0
21465,Note On,62,58,low_4,113,NA,NA,l_4,21465,1
22024,Note Off,62,0,low_4,114,NA,NA,l_4,22109,0
22505,Note On,67,57,low_4,115,NA,NA,l_4,22505,1
22601,Note Off,67,0,low_4,116,NA,NA,l_4,22686,0
22776,Note On,67,67,low_4,117,NA,NA,l_4,22776,1
22860,Note Off,67,0,low_4,118,NA,NA,l_4,22945,0
23044,Note On,71,67,low_4,119,NA,NA,l_4,23044,1
23106,Note Off,71,0,low_4,120,NA,NA,l_4,23191,0
23302,Note On,71,71,low_4,121,NA,NA,l_4,23302,1
23400,Note Off,71,0,low_4,122,NA,NA,l_4,23485,0
23558,Note On,72,75,low_4,123,NA,NA,l_4,23558,1
23631,Note Off,72,0,low_4,124,NA,NA,l_4,23716,0
23828,Note On,72,75,low_4,125,NA,NA,l_4,23828,1
23926,Note Off,72,0,low_4,126,NA,NA,l_4,24011,0
24088,Note On,73,74,low_4,127,NA,NA,l_4,24088,1
24180,Note Off,73,0,low_4,128,NA,NA,l_4,24265,0
24362,Note On,73,73,low_4,129,NA,NA,l_4,24362,1
24447,Note Off,73,0,low_4,130,NA,NA,l_4,24532,0
24648,Note On,74,73,low_4,131,NA,NA,l_4,24648,1
24991,Note Off,74,0,low_4,132,NA,NA,l_4,25076,0
25200,Note On,77,72,low_4,133,NA,NA,l_4,25200,1
25445,Note Off,77,0,low_4,134,NA,NA,l_4,25530,0
25764,Note On,76,67,low_4,135,NA,NA,l_4,25764,1
26024,Note Off,76,0,low_4,136,NA,NA,l_4,26109,0
26334,Note On,74,70,low_4,137,NA,NA,l_4,26334,1
26673,Note Off,74,0,low_4,138,NA,NA,l_4,26758,0
26894,Note On,72,71,low_4,139,NA,NA,l_4,26894,1
27239,Note Off,72,0,low_4,140,NA,NA,l_4,27324,0
27471,Note On,84,69,low_4,141,NA,NA,l_4,27471,1
27610,Note Off,84,0,low_4,142,NA,NA,l_4,27695,0
28073,Note On,84,65,low_4,143,NA,NA,l_4,28073,1
28443,Note Off,84,0,low_4,144,NA,NA,l_4,28443,0
