Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
14,1,1,0,72,79
14,2,1,292,71,78
14,1,0,306,72,79
14,3,1,572,72,79
14,2,0,577,71,78
14,4,1,858,69,76
14,3,0,864,72,79
14,5,1,1137,76,72
14,4,0,1173,69,76
14,6,1,1422,70,67
14,5,0,1444,76,72
14,6,0,1503,70,67
14,7,1,1718,66,67
14,7,0,1798,66,67
14,8,1,2009,69,67
14,8,0,2076,69,67
14,9,1,2301,76,79
14,10,1,2585,71,78
14,9,0,2597,76,79
14,11,1,2877,70,79
14,10,0,2881,71,78
14,12,1,3160,65,76
14,11,0,3183,70,79
14,12,0,3420,65,76
14,13,1,3447,67,72
14,14,1,3727,72,76
14,13,0,3751,67,72
14,15,1,4002,72,79
14,14,0,4054,72,76
14,16,1,4282,79,84
14,15,0,4289,72,79
14,17,1,4572,80,83
14,16,0,4649,79,84
14,17,0,4839,80,83
14,18,1,4848,74,81
14,18,0,4927,74,81
14,19,1,5136,78,81
14,19,0,5207,78,81
14,20,1,5412,79,81
14,20,0,5500,79,81
14,21,1,5702,77,83
14,22,1,5983,69,81
14,21,0,5991,77,83
14,23,1,6253,68,84
14,22,0,6272,69,81
14,24,1,6543,72,81
14,23,0,6566,68,84
14,25,1,6824,68,78
14,24,0,6856,72,81
14,25,0,7088,68,78
14,26,1,7095,68,79
14,26,0,7261,68,79
14,27,1,7401,69,79
14,27,0,7769,69,79
14,28,1,7966,72,79
14,28,0,8616,72,79
14,29,1,9121,73,77
14,29,0,9219,73,77
14,30,1,9411,71,77
14,30,0,9493,71,77
14,31,1,9675,70,76
14,31,0,9743,70,76
14,32,1,9951,73,76
14,32,0,10034,73,76
14,33,1,10266,75,74
14,33,0,10972,75,74
14,34,1,11381,79,79
14,34,0,11806,79,79
14,35,1,11959,76,77
14,35,0,12392,76,77
14,36,1,12539,69,76
14,36,0,12614,69,76
14,37,1,12818,68,76
14,37,0,12884,68,76
14,38,1,13095,69,76
14,38,0,13178,69,76
14,39,1,13376,63,76
14,39,0,13476,63,76
14,40,1,13653,72,81
14,41,1,13945,71,77
14,40,0,14009,72,81
14,42,1,14226,63,76
14,41,0,14264,71,77
14,43,1,14505,75,74
14,42,0,14510,63,76
14,44,1,14792,69,76
14,43,0,14801,75,74
14,45,1,15058,74,79
14,44,0,15092,69,76
14,46,1,15344,73,74
14,45,0,15371,74,79
14,47,1,15632,69,71
14,46,0,15643,73,74
14,47,0,15861,69,71
14,48,1,15895,74,72
14,48,0,15958,74,72
14,49,1,16181,77,72
14,49,0,16237,77,72
14,50,1,16451,78,74
14,50,0,16505,78,74
14,51,1,16731,78,74
14,51,0,16791,78,74
14,52,1,17052,68,76
14,52,0,17658,68,76
14,53,1,18218,76,65
14,53,0,18270,76,65
14,54,1,18505,73,65
14,54,0,18557,73,65
14,55,1,18777,74,64
14,55,0,18823,74,64
14,56,1,19052,69,64
14,56,0,19115,69,64
14,57,1,19360,72,62
14,57,0,19982,72,62
14,58,1,20443,72,67
14,58,0,20504,72,67
14,59,1,20726,76,67
14,59,0,20786,76,67
14,60,1,21005,71,71
14,60,0,21049,71,71
14,61,1,21273,78,71
14,61,0,21332,78,71
14,62,1,21539,79,72
14,62,0,21611,79,72
14,63,1,21820,80,72
14,63,0,21890,80,72
14,64,1,22091,77,73
14,64,0,22159,77,73
14,65,1,22377,83,73
14,65,0,22454,83,73
14,66,1,22675,82,74
14,66,0,23205,82,74
14,67,1,23250,78,77
14,67,0,23791,78,77
14,68,1,23837,77,76
14,68,0,24369,77,76
14,69,1,24431,81,74
14,69,0,24995,81,74
14,70,1,25014,79,72
14,70,0,25554,79,72
14,71,1,25615,82,84
14,71,0,26066,82,84
14,72,1,26241,83,84
14,72,0,27142,83,84
