Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
8,1,1,0,72,79
8,1,0,308,72,79
8,2,1,310,78,78
8,3,1,597,82,79
8,2,0,606,78,78
8,4,1,888,76,76
8,3,0,919,82,79
8,5,1,1189,75,72
8,4,0,1216,76,76
8,5,0,1449,75,72
8,6,1,1483,60,67
8,6,0,1533,60,67
8,7,1,1761,63,67
8,7,0,1811,63,67
8,8,1,2061,65,67
8,8,0,2126,65,67
8,9,1,2367,79,79
8,10,1,2663,80,78
8,9,0,2670,79,79
8,11,1,2943,82,79
8,10,0,2943,80,78
8,12,1,3242,79,76
8,11,0,3251,82,79
8,13,1,3536,79,72
8,12,0,3536,79,76
8,14,1,3822,82,76
8,13,0,3830,79,72
8,15,1,4111,84,79
8,14,0,4150,82,76
8,16,1,4390,86,84
8,15,0,4448,84,79
8,17,1,4685,76,83
8,16,0,4742,86,84
8,17,0,4944,76,83
8,18,1,4986,65,81
8,18,0,5053,65,81
8,19,1,5259,66,81
8,19,0,5321,66,81
8,20,1,5541,66,81
8,20,0,5600,66,81
8,21,1,5840,74,83
8,22,1,6129,77,81
8,21,0,6146,74,83
8,23,1,6418,83,84
8,22,0,6432,77,81
8,24,1,6717,80,81
8,23,0,6737,83,84
8,24,0,6986,80,81
8,25,1,6988,82,78
8,26,1,7289,79,79
8,25,0,7306,82,78
8,26,0,7427,79,79
8,27,1,7582,76,79
8,27,0,7829,76,79
8,28,1,8163,68,79
8,28,0,8813,68,79
8,29,1,9345,63,77
8,29,0,9399,63,77
8,30,1,9637,65,77
8,30,0,9719,65,77
8,31,1,9924,67,76
8,31,0,9990,67,76
8,32,1,10196,66,76
8,32,0,10276,66,76
8,33,1,10518,61,74
8,33,0,11134,61,74
8,34,1,11706,63,79
8,35,1,12303,58,77
8,34,0,12313,63,79
8,35,0,12744,58,77
8,36,1,12880,57,76
8,36,0,12936,57,76
8,37,1,13159,64,76
8,37,0,13225,64,76
8,38,1,13444,68,76
8,38,0,13491,68,76
8,39,1,13721,67,76
8,39,0,13778,67,76
8,40,1,14020,80,81
8,41,1,14312,79,77
8,40,0,14363,80,81
8,42,1,14594,79,76
8,41,0,14642,79,77
8,43,1,14872,78,74
8,42,0,14898,79,76
8,44,1,15158,80,76
8,43,0,15179,78,74
8,45,1,15436,81,79
8,44,0,15464,80,76
8,46,1,15726,81,74
8,45,0,15765,81,79
8,46,0,16004,81,74
8,47,1,16008,72,71
8,47,0,16210,72,71
8,48,1,16284,67,72
8,48,0,16355,67,72
8,49,1,16566,70,72
8,49,0,16702,70,72
8,50,1,16851,73,74
8,50,0,16919,73,74
8,51,1,17130,72,74
8,51,0,17215,72,74
8,52,1,17448,63,76
8,52,0,18011,63,76
8,53,1,18626,68,65
8,53,0,18693,68,65
8,54,1,18914,75,65
8,54,0,18981,75,65
8,55,1,19199,70,64
8,55,0,19247,70,64
8,56,1,19478,70,64
8,56,0,19548,70,64
8,57,1,19795,60,62
8,57,0,20433,60,62
8,58,1,20932,69,67
8,58,0,20985,69,67
8,59,1,21219,65,67
8,59,0,21283,65,67
8,60,1,21501,74,71
8,60,0,21560,74,71
8,61,1,21778,74,71
8,61,0,21857,74,71
8,62,1,22063,74,72
8,62,0,22137,74,72
8,63,1,22341,80,72
8,63,0,22434,80,72
8,64,1,22623,82,73
8,64,0,22721,82,73
8,65,1,22910,86,73
8,65,0,23022,86,73
8,66,1,23215,85,74
8,66,0,23732,85,74
8,67,1,23823,82,77
8,67,0,24314,82,77
8,68,1,24433,81,76
8,68,0,24934,81,76
8,69,1,25013,83,74
8,69,0,25465,83,74
8,70,1,25629,83,72
8,70,0,26016,83,72
8,71,1,26225,89,84
8,71,0,26398,89,84
8,72,1,26838,89,84
8,72,0,27374,89,84
