RowNr,N,Mean,SD,Instance
1,1,0.472,,1
2,1,0.228,,1
3,1,0.408,,1
4,1,0.232,,1
5,1,0.572,,1
6,1,0.284,,1
7,1,0.244,,1
8,1,0.284,,1
9,1,0.432,,1
10,1,0.416,,1
11,1,0.424,,1
12,1,0.216,,1
13,1,0.62,,1
14,1,0.312,,1
15,1,0.296,,1
16,1,0.42,,1
17,1,0.744,,1
18,1,0.168,,1
19,1,0.16,,1
20,1,0.236,,1
21,1,0.452,,1
22,1,0.192,,1
23,1,0.456,,1
24,1,0.26,,1
25,1,1.032,,1
26,1,0.204,,1
27,1,0.444,,1
28,1,0.44,,1
29,1,0.312,,1
30,1,0.248,,1
31,1,0.212,,1
32,1,0.328,,1
33,1,0.544,,1
34,1,0.768,,1
35,1,0.736,,1
36,1,0.336,,1
37,1,0.24,,1
38,1,0.288,,1
39,1,0.252,,1
40,1,0.668,,1
41,1,0.208,,1
42,1,0.228,,1
43,1,0.176,,1
44,1,0.484,,1
45,1,0.18,,1
46,1,0.232,,1
47,1,0.204,,1
48,1,0.24,,1
49,1,0.34,,1
50,1,0.172,,1
51,1,0.296,,1
52,1,0.66,,1
53,1,0.26,,1
54,1,0.356,,1
55,1,0.188,,1
56,1,0.312,,1
57,1,0.64,,1
58,1,0.212,,1
59,1,0.28,,1
60,1,0.204,,1
61,1,0.24,,1
62,1,0.14,,1
63,1,0.192,,1
64,1,0.312,,1
65,1,0.276,,1
66,1,0.82,,1
67,1,0.852,,1
68,1,0.816,,1
69,1,0.852,,1
70,1,0.972,,1
71,1,0.656,,1
72,1,0.776,,1
1,1,0.223443223443223,,2
2,1,0.212454212454212,,2
3,1,0.142857142857143,,2
4,1,0.142857142857143,,2
5,1,0.241758241758242,,2
6,1,0.252747252747253,,2
7,1,0.175824175824176,,2
8,1,0.216117216117216,,2
9,1,0.205128205128205,,2
10,1,0.230769230769231,,2
11,1,0.172161172161172,,2
12,1,0.197802197802198,,2
13,1,0.168498168498169,,2
14,1,0.201465201465201,,2
15,1,0.139194139194139,,2
16,1,0.153846153846154,,2
17,1,0.164835164835165,,2
18,1,0.157509157509158,,2
19,1,0.164835164835165,,2
20,1,0.135531135531136,,2
21,1,0.161172161172161,,2
22,1,0.164835164835165,,2
23,1,0.172161172161172,,2
24,1,0.146520146520147,,2
25,1,0.351648351648352,,2
26,1,0.146520146520147,,2
27,1,0.26007326007326,,2
28,1,0.454212454212454,,2
29,1,0.183150183150183,,2
30,1,0.183150183150183,,2
31,1,0.216117216117216,,2
32,1,0.186813186813187,,2
33,1,1.54212454212454,,2
34,1,0.58974358974359,,2
35,1,0.538461538461538,,2
36,1,0.252747252747253,,2
37,1,0.201465201465201,,2
38,1,0.307692307692308,,2
39,1,0.307692307692308,,2
40,1,0.15018315018315,,2
41,1,0.157509157509158,,2
42,1,0.168498168498169,,2
43,1,0.164835164835165,,2
44,1,0.201465201465201,,2
45,1,0.271062271062271,,2
46,1,0.216117216117216,,2
47,1,0.186813186813187,,2
48,1,0.278388278388278,,2
49,1,0.153846153846154,,2
50,1,0.124542124542125,,2
51,1,0.183150183150183,,2
52,1,1.61904761904762,,2
53,1,0.366300366300366,,2
54,1,0.230769230769231,,2
55,1,0.186813186813187,,2
56,1,0.194139194139194,,2
57,1,1.85714285714286,,2
58,1,0.311355311355311,,2
59,1,0.238095238095238,,2
60,1,0.205128205128205,,2
61,1,0.315018315018315,,2
62,1,0.227106227106227,,2
63,1,0.285714285714286,,2
64,1,0.271062271062271,,2
65,1,0.326007326007326,,2
66,1,1.06593406593407,,2
67,1,0.567765567765568,,2
68,1,0.582417582417583,,2
69,1,0.648351648351648,,2
70,1,1.19413919413919,,2
71,1,0.413919413919414,,2
72,1,0.908424908424908,,2
1,1,0.472,,3
2,1,0.228,,3
3,1,0.408,,3
4,1,0.232,,3
5,1,0.572,,3
6,1,0.284,,3
7,1,0.244,,3
8,1,0.284,,3
9,1,0.432,,3
10,1,0.416,,3
11,1,0.424,,3
12,1,0.216,,3
13,1,0.62,,3
14,1,0.312,,3
15,1,0.296,,3
16,1,0.42,,3
17,1,0.744,,3
18,1,0.168,,3
19,1,0.16,,3
20,1,0.236,,3
21,1,0.452,,3
22,1,0.192,,3
23,1,0.456,,3
24,1,0.26,,3
25,1,1.032,,3
26,1,0.204,,3
27,1,0.444,,3
28,1,0.44,,3
29,1,0.312,,3
30,1,0.248,,3
31,1,0.212,,3
32,1,0.328,,3
33,1,0.544,,3
34,1,0.768,,3
35,1,0.736,,3
36,1,0.336,,3
37,1,0.24,,3
38,1,0.288,,3
39,1,0.252,,3
40,1,0.668,,3
41,1,0.208,,3
42,1,0.228,,3
43,1,0.176,,3
44,1,0.484,,3
45,1,0.18,,3
46,1,0.232,,3
47,1,0.204,,3
48,1,0.24,,3
49,1,0.34,,3
50,1,0.172,,3
51,1,0.296,,3
52,1,0.66,,3
53,1,0.26,,3
54,1,0.356,,3
55,1,0.188,,3
56,1,0.312,,3
57,1,0.64,,3
58,1,0.212,,3
59,1,0.28,,3
60,1,0.204,,3
61,1,0.24,,3
62,1,0.14,,3
63,1,0.192,,3
64,1,0.312,,3
65,1,0.276,,3
66,1,0.82,,3
67,1,0.852,,3
68,1,0.816,,3
69,1,0.852,,3
70,1,0.972,,3
71,1,0.656,,3
72,1,0.776,,3
1,1,0.223443223443223,,4
2,1,0.212454212454212,,4
3,1,0.142857142857143,,4
4,1,0.142857142857143,,4
5,1,0.241758241758242,,4
6,1,0.252747252747253,,4
7,1,0.175824175824176,,4
8,1,0.216117216117216,,4
9,1,0.205128205128205,,4
10,1,0.230769230769231,,4
11,1,0.172161172161172,,4
12,1,0.197802197802198,,4
13,1,0.168498168498169,,4
14,1,0.201465201465201,,4
15,1,0.139194139194139,,4
16,1,0.153846153846154,,4
17,1,0.164835164835165,,4
18,1,0.157509157509158,,4
19,1,0.164835164835165,,4
20,1,0.135531135531136,,4
21,1,0.161172161172161,,4
22,1,0.164835164835165,,4
23,1,0.172161172161172,,4
24,1,0.146520146520147,,4
25,1,0.351648351648352,,4
26,1,0.146520146520147,,4
27,1,0.26007326007326,,4
28,1,0.454212454212454,,4
29,1,0.183150183150183,,4
30,1,0.183150183150183,,4
31,1,0.216117216117216,,4
32,1,0.186813186813187,,4
33,1,1.54212454212454,,4
34,1,0.58974358974359,,4
35,1,0.538461538461538,,4
36,1,0.252747252747253,,4
37,1,0.201465201465201,,4
38,1,0.307692307692308,,4
39,1,0.307692307692308,,4
40,1,0.15018315018315,,4
41,1,0.157509157509158,,4
42,1,0.168498168498169,,4
43,1,0.164835164835165,,4
44,1,0.201465201465201,,4
45,1,0.271062271062271,,4
46,1,0.216117216117216,,4
47,1,0.186813186813187,,4
48,1,0.278388278388278,,4
49,1,0.153846153846154,,4
50,1,0.124542124542125,,4
51,1,0.183150183150183,,4
52,1,1.61904761904762,,4
53,1,0.366300366300366,,4
54,1,0.230769230769231,,4
55,1,0.186813186813187,,4
56,1,0.194139194139194,,4
57,1,1.85714285714286,,4
58,1,0.311355311355311,,4
59,1,0.238095238095238,,4
60,1,0.205128205128205,,4
61,1,0.315018315018315,,4
62,1,0.227106227106227,,4
63,1,0.285714285714286,,4
64,1,0.271062271062271,,4
65,1,0.326007326007326,,4
66,1,1.06593406593407,,4
67,1,0.567765567765568,,4
68,1,0.582417582417583,,4
69,1,0.648351648351648,,4
70,1,1.19413919413919,,4
