Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
6,1,1,0,62,79
6,1,0,182,62,79
6,2,1,298,66,78
6,2,0,441,66,78
6,3,1,590,68,79
6,3,0,773,68,79
6,4,1,887,68,76
6,4,0,1052,68,76
6,5,1,1191,72,72
6,5,0,1377,72,72
6,6,1,1485,66,67
6,6,0,1573,66,67
6,7,1,1788,66,67
6,7,0,1867,66,67
6,8,1,2080,66,67
6,8,0,2167,66,67
6,9,1,2386,72,79
6,9,0,2551,72,79
6,10,1,2676,69,78
6,10,0,2844,69,78
6,11,1,2966,71,79
6,11,0,3125,71,79
6,12,1,3257,68,76
6,12,0,3399,68,76
6,13,1,3550,70,72
6,13,0,3737,70,72
6,14,1,3841,74,76
6,14,0,4006,74,76
6,15,1,4122,74,79
6,15,0,4272,74,79
6,16,1,4405,75,84
6,16,0,4608,75,84
6,17,1,4709,74,83
6,17,0,4913,74,83
6,18,1,4998,71,81
6,18,0,5079,71,81
6,19,1,5292,76,81
6,19,0,5358,76,81
6,20,1,5575,74,81
6,20,0,5652,74,81
6,21,1,5868,72,83
6,21,0,6026,72,83
6,22,1,6153,75,81
6,22,0,6291,75,81
6,23,1,6434,73,84
6,23,0,6613,73,84
6,24,1,6717,74,81
6,24,0,6876,74,81
6,25,1,7007,71,78
6,25,0,7250,71,78
6,26,1,7285,72,79
6,26,0,7379,72,79
6,27,1,7588,70,79
6,27,0,7765,70,79
6,28,1,8174,65,79
6,28,0,8502,65,79
6,29,1,9363,73,77
6,29,0,9431,73,77
6,30,1,9658,69,77
6,30,0,9793,69,77
6,31,1,9941,73,76
6,31,0,10020,73,76
6,32,1,10222,71,76
6,32,0,10380,71,76
6,33,1,10541,66,74
6,33,0,10990,66,74
6,34,1,11695,77,79
6,34,0,12041,77,79
6,35,1,12308,74,77
6,35,0,12630,74,77
6,36,1,12899,72,76
6,36,0,13001,72,76
6,37,1,13201,76,76
6,37,0,13281,76,76
6,38,1,13485,77,76
6,38,0,13584,77,76
6,39,1,13772,74,76
6,39,0,13869,74,76
6,40,1,14077,73,81
6,40,0,14275,73,81
6,41,1,14368,70,77
6,41,0,14520,70,77
6,42,1,14644,70,76
6,42,0,14792,70,76
6,43,1,14935,74,74
6,43,0,15075,74,74
6,44,1,15219,74,76
6,44,0,15399,74,76
6,45,1,15505,72,79
6,45,0,15674,72,79
6,46,1,15781,73,74
6,46,0,15926,73,74
6,47,1,16076,71,71
6,47,0,16219,71,71
6,48,1,16362,77,72
6,48,0,16449,77,72
6,49,1,16647,75,72
6,49,0,16805,75,72
6,50,1,16933,77,74
6,50,0,17017,77,74
6,51,1,17222,76,74
6,51,0,17380,76,74
6,52,1,17535,62,76
6,52,0,17953,62,76
6,53,1,18703,76,65
6,53,0,18796,76,65
6,54,1,18999,75,65
6,54,0,19152,75,65
6,55,1,19291,74,64
6,55,0,19364,74,64
6,56,1,19581,70,64
6,56,0,19732,70,64
6,57,1,19900,65,62
6,57,0,20381,65,62
6,58,1,21018,74,67
6,58,0,21105,74,67
6,59,1,21315,73,67
6,59,0,21462,73,67
6,60,1,21603,70,71
6,60,0,21663,70,71
6,61,1,21878,77,71
6,61,0,22014,77,71
6,62,1,22157,81,72
6,62,0,22229,81,72
6,63,1,22445,83,72
6,63,0,22603,83,72
6,64,1,22719,81,73
6,64,0,22830,81,73
6,65,1,23013,81,73
6,65,0,23201,81,73
6,66,1,23326,78,74
6,66,0,23641,78,74
6,67,1,23929,74,77
6,67,0,24293,74,77
6,68,1,24525,71,76
6,68,0,24878,71,76
6,69,1,25116,71,74
6,69,0,25468,71,74
6,70,1,25735,72,72
6,70,0,26172,72,72
6,71,1,26373,71,84
6,71,0,26587,71,84
6,72,1,27032,70,84
6,72,0,27418,70,84
