Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
10,1,1,0,87,79
10,1,0,114,87,79
10,2,1,284,90,78
10,2,0,362,90,78
10,3,1,573,88,79
10,3,0,689,88,79
10,4,1,868,85,76
10,4,0,936,85,76
10,5,1,1170,83,72
10,5,0,1308,83,72
10,6,1,1447,71,67
10,6,0,1533,71,67
10,7,1,1746,71,67
10,7,0,1835,71,67
10,8,1,2041,70,67
10,8,0,2129,70,67
10,9,1,2342,83,79
10,9,0,2478,83,79
10,10,1,2624,83,78
10,10,0,2726,83,78
10,11,1,2920,85,79
10,11,0,3040,85,79
10,12,1,3216,83,76
10,12,0,3272,83,76
10,13,1,3494,83,72
10,13,0,3673,83,72
10,14,1,3778,88,76
10,14,0,3873,88,76
10,15,1,4060,89,79
10,15,0,4113,89,79
10,16,1,4343,91,84
10,16,0,4451,91,84
10,17,1,4641,83,83
10,17,0,4839,83,83
10,18,1,4923,60,81
10,18,0,4982,60,81
10,19,1,5215,60,81
10,19,0,5271,60,81
10,20,1,5492,70,81
10,20,0,5547,70,81
10,21,1,5784,91,83
10,21,0,5880,91,83
10,22,1,6073,93,81
10,22,0,6131,93,81
10,23,1,6347,92,84
10,23,0,6475,92,84
10,24,1,6653,87,81
10,24,0,6712,87,81
10,25,1,6940,88,78
10,25,0,7131,88,78
10,26,1,7217,79,79
10,26,0,7293,79,79
10,27,1,7519,82,79
10,27,0,7631,82,79
10,28,1,8115,76,79
10,28,0,8245,76,79
10,29,1,9322,53,77
10,29,0,9422,53,77
10,30,1,9611,58,77
10,30,0,9682,58,77
10,31,1,9892,57,76
10,31,0,9960,57,76
10,32,1,10173,57,76
10,32,0,10252,57,76
10,33,1,10482,56,74
10,33,0,10625,56,74
10,34,1,11614,65,79
10,34,0,11826,65,79
10,35,1,12214,65,77
10,35,0,12456,65,77
10,36,1,12792,59,76
10,36,0,12896,59,76
10,37,1,13092,60,76
10,37,0,13165,60,76
10,38,1,13375,61,76
10,38,0,13433,61,76
10,39,1,13657,68,76
10,39,0,13751,68,76
10,40,1,13952,87,81
10,40,0,14079,87,81
10,41,1,14244,88,77
10,41,0,14332,88,77
10,42,1,14534,87,76
10,42,0,14598,87,76
10,43,1,14825,85,74
10,43,0,14872,85,74
10,44,1,15112,85,76
10,44,0,15250,85,76
10,45,1,15396,83,79
10,45,0,15446,83,79
10,46,1,15676,83,74
10,46,0,15725,83,74
10,47,1,15960,69,71
10,47,0,16008,69,71
10,48,1,16234,72,72
10,48,0,16295,72,72
10,49,1,16522,63,72
10,49,0,16613,63,72
10,50,1,16794,60,74
10,50,0,16843,60,74
10,51,1,17093,55,74
10,51,0,17159,55,74
10,52,1,17395,51,76
10,52,0,17557,51,76
10,53,1,18549,67,65
10,53,0,18621,67,65
10,54,1,18843,57,65
10,54,0,18947,57,65
10,55,1,19127,65,64
10,55,0,19176,65,64
10,56,1,19421,55,64
10,56,0,19468,55,64
10,57,1,19737,59,62
10,57,0,19897,59,62
10,58,1,20858,62,67
10,58,0,20908,62,67
10,59,1,21159,68,67
10,59,0,21209,68,67
10,60,1,21442,70,71
10,60,0,21496,70,71
10,61,1,21727,66,71
10,61,0,21780,66,71
10,62,1,21997,75,72
10,62,0,22039,75,72
10,63,1,22282,80,72
10,63,0,22320,80,72
10,64,1,22557,84,73
10,64,0,22617,84,73
10,65,1,22848,89,73
10,65,0,22889,89,73
10,66,1,23154,91,74
10,66,0,23416,91,74
10,67,1,23743,92,77
10,67,0,24007,92,77
10,68,1,24344,90,76
10,68,0,24586,90,76
10,69,1,24940,94,74
10,69,0,25149,94,74
10,70,1,25541,88,72
10,70,0,25822,88,72
10,71,1,26168,88,84
10,71,0,26365,88,84
10,72,1,26822,83,84
10,72,0,27051,83,84
