Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
3,1,1,0,75,79
3,2,1,306,79,78
3,1,0,336,75,79
3,3,1,603,78,79
3,2,0,614,79,78
3,4,1,904,78,76
3,3,0,909,78,79
3,5,1,1200,78,72
3,4,0,1254,78,76
3,5,0,1454,78,72
3,6,1,1502,61,67
3,6,0,1560,61,67
3,7,1,1794,57,67
3,7,0,1843,57,67
3,8,1,2090,60,67
3,8,0,2135,60,67
3,9,1,2400,78,79
3,10,1,2706,80,78
3,9,0,2730,78,79
3,11,1,3006,78,79
3,10,0,3018,80,78
3,12,1,3301,80,76
3,11,0,3340,78,79
3,13,1,3603,80,72
3,12,0,3626,80,76
3,14,1,3892,82,76
3,13,0,3956,80,72
3,15,1,4186,84,79
3,14,0,4234,82,76
3,15,0,4474,84,79
3,16,1,4483,82,84
3,17,1,4784,84,83
3,16,0,4826,82,84
3,17,0,5030,84,83
3,18,1,5081,56,81
3,18,0,5140,56,81
3,19,1,5368,60,81
3,19,0,5429,60,81
3,20,1,5659,64,81
3,20,0,5735,64,81
3,21,1,5949,79,83
3,22,1,6251,81,81
3,21,0,6270,79,83
3,23,1,6539,82,84
3,22,0,6559,81,81
3,24,1,6840,85,81
3,23,0,6862,82,84
3,25,1,7135,81,78
3,24,0,7150,85,81
3,25,0,7412,81,78
3,26,1,7431,78,79
3,26,0,7593,78,79
3,27,1,7738,75,79
3,27,0,8180,75,79
3,28,1,8346,74,79
3,28,0,8996,74,79
3,29,1,9609,53,77
3,29,0,9653,53,77
3,30,1,9916,57,77
3,30,0,9967,57,77
3,31,1,10206,55,76
3,31,0,10262,55,76
3,32,1,10495,55,76
3,32,0,10569,55,76
3,33,1,10809,56,74
3,33,0,11467,56,74
3,34,1,12059,58,79
3,34,0,12527,58,79
3,35,1,12674,64,77
3,35,0,13147,64,77
3,36,1,13255,57,76
3,36,0,13308,57,76
3,37,1,13553,60,76
3,37,0,13602,60,76
3,38,1,13844,60,76
3,38,0,13894,60,76
3,39,1,14124,62,76
3,39,0,14205,62,76
3,40,1,14432,75,81
3,41,1,14735,80,77
3,40,0,14743,75,81
3,42,1,15017,76,76
3,41,0,15051,80,77
3,43,1,15307,78,74
3,42,0,15318,76,76
3,44,1,15602,77,76
3,43,0,15617,78,74
3,45,1,15894,80,79
3,44,0,15904,77,76
3,46,1,16184,81,74
3,45,0,16227,80,79
3,47,1,16483,74,71
3,46,0,16494,81,74
3,47,0,16750,74,71
3,48,1,16776,63,72
3,48,0,16818,63,72
3,49,1,17064,58,72
3,49,0,17109,58,72
3,50,1,17364,58,74
3,50,0,17405,58,74
3,51,1,17648,54,74
3,51,0,17696,54,74
3,52,1,17963,50,76
3,52,0,18560,50,76
3,53,1,19217,57,65
3,53,0,19262,57,65
3,54,1,19512,59,65
3,54,0,19560,59,65
3,55,1,19808,52,64
3,55,0,19857,52,64
3,56,1,20100,53,64
3,56,0,20165,53,64
3,57,1,20404,53,62
3,57,0,21012,53,62
3,58,1,21592,56,67
3,58,0,21636,56,67
3,59,1,21885,61,67
3,59,0,21940,61,67
3,60,1,22176,63,71
3,60,0,22238,63,71
3,61,1,22453,64,71
3,61,0,22529,64,71
3,62,1,22744,71,72
3,62,0,22813,71,72
3,63,1,23025,68,72
3,63,0,23109,68,72
3,64,1,23312,71,73
3,64,0,23399,71,73
3,65,1,23608,73,73
3,65,0,23701,73,73
3,66,1,23908,91,74
3,66,0,24422,91,74
3,67,1,24510,86,77
3,67,0,25016,86,77
3,68,1,25108,83,76
3,68,0,25607,83,76
3,69,1,25697,85,74
3,69,0,26160,85,74
3,70,1,26326,85,72
3,70,0,26776,85,72
3,71,1,26961,84,84
3,71,0,27384,84,84
3,72,1,27628,80,84
3,72,0,28302,80,84
