Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
15,1,1,0,67,79
15,1,0,73,67,79
15,2,1,312,65,78
15,2,0,382,65,78
15,3,1,626,69,79
15,3,0,675,69,79
15,4,1,934,65,76
15,4,0,977,65,76
15,5,1,1233,70,72
15,5,0,1279,70,72
15,6,1,1533,66,67
15,6,0,1590,66,67
15,7,1,1843,69,67
15,7,0,1911,69,67
15,8,1,2151,67,67
15,8,0,2225,67,67
15,9,1,2472,71,79
15,9,0,2548,71,79
15,10,1,2787,67,78
15,10,0,2885,67,78
15,11,1,3090,67,79
15,11,0,3187,67,79
15,12,1,3395,66,76
15,12,0,3475,66,76
15,13,1,3690,70,72
15,13,0,3816,70,72
15,14,1,4000,71,76
15,14,0,4092,71,76
15,15,1,4295,72,79
15,15,0,4361,72,79
15,16,1,4601,76,84
15,16,0,4694,76,84
15,17,1,4915,74,83
15,17,0,4983,74,83
15,18,1,5213,70,81
15,18,0,5264,70,81
15,19,1,5510,71,81
15,19,0,5568,71,81
15,20,1,5807,65,81
15,20,0,5870,65,81
15,21,1,6107,68,83
15,21,0,6184,68,83
15,22,1,6408,67,81
15,22,0,6466,67,81
15,23,1,6711,67,84
15,23,0,6796,67,84
15,24,1,7007,70,81
15,24,0,7061,70,81
15,25,1,7308,70,78
15,25,0,7419,70,78
15,26,1,7592,70,79
15,26,0,7678,70,79
15,27,1,7905,72,79
15,27,0,8015,72,79
15,28,1,8525,66,79
15,28,0,8714,66,79
15,29,1,9748,76,77
15,29,0,9847,76,77
15,30,1,10051,73,77
15,30,0,10131,73,77
15,31,1,10335,71,76
15,31,0,10391,71,76
15,32,1,10643,71,76
15,32,0,10721,71,76
15,33,1,10973,65,74
15,33,0,11419,65,74
15,34,1,12206,73,79
15,34,0,12396,73,79
15,35,1,12803,70,77
15,35,0,12968,70,77
15,36,1,13399,71,76
15,36,0,13496,71,76
15,37,1,13712,70,76
15,37,0,13767,70,76
15,38,1,14000,68,76
15,38,0,14056,68,76
15,39,1,14282,67,76
15,39,0,14364,67,76
15,40,1,14601,70,81
15,40,0,14674,70,81
15,41,1,14903,64,77
15,41,0,14956,64,77
15,42,1,15191,63,76
15,42,0,15250,63,76
15,43,1,15496,65,74
15,43,0,15576,65,74
15,44,1,15788,66,76
15,44,0,15863,66,76
15,45,1,16089,67,79
15,45,0,16178,67,79
15,46,1,16383,67,74
15,46,0,16462,67,74
15,47,1,16687,63,71
15,47,0,16754,63,71
15,48,1,16981,68,72
15,48,0,17036,68,72
15,49,1,17266,69,72
15,49,0,17323,69,72
15,50,1,17564,71,74
15,50,0,17622,71,74
15,51,1,17861,74,74
15,51,0,17917,74,74
15,52,1,18181,65,76
15,52,0,18626,65,76
15,53,1,19420,68,65
15,53,0,19513,68,65
15,54,1,19714,70,65
15,54,0,19809,70,65
15,55,1,20015,71,64
15,55,0,20073,71,64
15,56,1,20315,68,64
15,56,0,20382,68,64
15,57,1,20629,68,62
15,57,0,21211,68,62
15,58,1,21834,71,67
15,58,0,21934,71,67
15,59,1,22135,73,67
15,59,0,22222,73,67
15,60,1,22429,69,71
15,60,0,22493,69,71
15,61,1,22718,72,71
15,61,0,22821,72,71
15,62,1,23001,77,72
15,62,0,23077,77,72
15,63,1,23287,79,72
15,63,0,23389,79,72
15,64,1,23572,78,73
15,64,0,23668,78,73
15,65,1,23871,75,73
15,65,0,23959,75,73
15,66,1,24182,77,74
15,66,0,24539,77,74
15,67,1,24787,74,77
15,67,0,25042,74,77
15,68,1,25401,68,76
15,68,0,25672,68,76
15,69,1,26021,71,74
15,69,0,26374,71,74
15,70,1,26652,72,72
15,70,0,27011,72,72
15,71,1,27303,72,84
15,71,0,27448,72,84
15,72,1,27980,73,84
15,72,0,28366,73,84
