NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,83,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
18,299,78,80,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
19,369,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
20,597,79,77,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
21,626,78,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
22,876,76,76,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
23,906,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
24,1170,72,75,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
25,1218,76,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
26,1442,72,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
27,1469,67,56,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
28,1527,67,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
29,1749,67,54,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
30,1817,67,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
31,2049,67,56,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
32,2096,67,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
33,2367,79,74,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
34,2644,78,76,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
35,2696,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
36,2922,79,76,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
37,2955,78,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
38,3199,76,81,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
39,3218,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
40,3485,72,81,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
41,3517,76,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
42,3765,76,77,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
43,3837,72,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
44,4056,79,80,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
45,4092,76,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
46,4338,84,78,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
47,4348,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
48,4654,83,70,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
49,4669,84,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
50,4953,83,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
51,4959,81,63,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
52,5019,81,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
53,5261,81,49,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
54,5317,81,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
55,5551,81,56,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
56,5612,81,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
57,5817,83,81,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
58,6116,81,83,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
59,6166,83,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
60,6401,84,82,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
61,6440,81,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
62,6685,81,81,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
63,6745,84,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
64,6973,78,81,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
65,6998,81,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
66,7256,79,72,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
67,7314,78,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
68,7367,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
69,7545,79,68,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
70,7901,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
71,8179,79,60,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
72,8817,79,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
73,9416,77,55,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
74,9525,77,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
75,9705,77,58,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
76,9802,77,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
77,9991,76,55,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
78,10072,76,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
79,10278,76,49,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
80,10383,76,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
81,10610,74,49,1,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
82,11219,74,64,0,2,100,18,2,4,dynamics,performing,4_p_stim_d.png,0
