Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
6,1,1,0,80,60
6,1,0,150,64,60
6,2,1,296,80,60
6,2,0,446,64,60
6,3,1,588,80,60
6,3,0,738,64,60
6,4,1,878,80,60
6,4,0,1028,64,60
6,5,1,1178,80,60
6,5,0,1328,64,60
6,6,1,1470,80,60
6,6,0,1620,64,60
6,7,1,1764,80,60
6,7,0,1914,64,60
6,8,1,2066,80,60
6,8,0,2216,64,60
6,9,1,2375,80,60
6,9,0,2525,64,60
6,10,1,2665,80,60
6,10,0,2815,64,60
6,11,1,2950,80,60
6,11,0,3100,64,60
6,12,1,3241,80,60
6,12,0,3391,64,60
6,13,1,3525,80,60
6,13,0,3675,64,60
6,14,1,3815,80,60
6,14,0,3965,64,60
6,15,1,4104,80,60
6,15,0,4254,64,60
6,16,1,4384,80,60
6,16,0,4534,64,60
6,17,1,4683,80,60
6,17,0,4833,64,60
6,18,1,4969,80,60
6,18,0,5119,64,60
6,19,1,5256,80,60
6,19,0,5406,64,60
6,20,1,5533,80,60
6,20,0,5683,64,60
6,21,1,5826,80,60
6,21,0,5976,64,60
6,22,1,6119,80,60
6,22,0,6269,64,60
6,23,1,6394,80,60
6,23,0,6544,64,60
6,24,1,6689,80,60
6,24,0,6839,64,60
6,25,1,6973,80,60
6,25,0,7123,64,60
6,26,1,7249,80,60
6,26,0,7399,64,60
6,27,1,7542,80,60
6,27,0,7692,64,60
6,28,1,8139,80,60
6,28,0,8289,64,60
6,29,1,9295,80,60
6,29,0,9445,64,60
6,30,1,9584,80,60
6,30,0,9734,64,60
6,31,1,9864,80,60
6,31,0,10014,64,60
6,32,1,10142,80,60
6,32,0,10292,64,60
6,33,1,10459,80,60
6,33,0,10609,64,60
6,34,1,11590,80,60
6,34,0,11740,64,60
6,35,1,12193,80,60
6,35,0,12343,64,60
6,36,1,12759,80,60
6,36,0,12909,64,60
6,37,1,13054,80,60
6,37,0,13204,64,60
6,38,1,13343,80,60
6,38,0,13493,64,60
6,39,1,13632,80,60
6,39,0,13782,64,60
6,40,1,13924,80,60
6,40,0,14074,64,60
6,41,1,14225,80,60
6,41,0,14375,64,60
6,42,1,14503,80,60
6,42,0,14653,64,60
6,43,1,14792,80,60
6,43,0,14942,64,60
6,44,1,15075,80,60
6,44,0,15225,64,60
6,45,1,15351,80,60
6,45,0,15501,64,60
6,46,1,15642,80,60
6,46,0,15792,64,60
6,47,1,15935,80,60
6,47,0,16085,64,60
6,48,1,16211,80,60
6,48,0,16361,64,60
6,49,1,16501,80,60
6,49,0,16651,64,60
6,50,1,16770,80,60
6,50,0,16920,64,60
6,51,1,17065,80,60
6,51,0,17215,64,60
6,52,1,17380,80,60
6,52,0,17530,64,60
6,53,1,18500,80,60
6,53,0,18650,64,60
6,54,1,18787,80,60
6,54,0,18937,64,60
6,55,1,19067,80,60
6,55,0,19217,64,60
6,56,1,19362,80,60
6,56,0,19512,64,60
6,57,1,19684,80,60
6,57,0,19834,64,60
6,58,1,20765,80,60
6,58,0,20915,64,60
6,59,1,21053,80,60
6,59,0,21203,64,60
6,60,1,21345,80,60
6,60,0,21495,64,60
6,61,1,21620,80,60
6,61,0,21770,64,60
6,62,1,21896,80,60
6,62,0,22046,64,60
6,63,1,22167,80,60
6,63,0,22317,64,60
6,64,1,22453,80,60
6,64,0,22603,64,60
6,65,1,22747,80,60
6,65,0,22897,64,60
6,66,1,23053,80,60
6,66,0,23203,64,60
6,67,1,23642,80,60
6,67,0,23792,64,60
6,68,1,24244,80,60
6,68,0,24394,64,60
6,69,1,24839,80,60
6,69,0,24989,64,60
6,70,1,25416,80,60
6,70,0,25566,64,60
6,71,1,26029,80,60
6,71,0,26179,64,60
6,72,1,26665,80,60
6,72,0,26815,64,60
