RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,11,1,1,0,79,60,Art_only
2,11,1,1,296,78,63,Art_only
1,2,0,1,330,79,0,Art_only
3,11,1,1,579,79,64,Art_only
2,2,0,1,594,78,0,Art_only
4,11,1,1,871,76,60,Art_only
3,2,0,1,929,79,0,Art_only
5,11,1,1,1162,72,62,Art_only
4,2,0,1,1201,76,0,Art_only
5,2,0,1,1385,72,0,Art_only
6,11,1,1,1450,67,55,Art_only
6,2,0,1,1498,67,0,Art_only
7,11,1,1,1738,67,61,Art_only
7,2,0,1,1790,67,0,Art_only
8,11,1,1,2027,67,60,Art_only
8,2,0,1,2076,67,0,Art_only
9,11,1,1,2332,79,63,Art_only
10,11,1,1,2619,78,68,Art_only
9,2,0,1,2656,79,0,Art_only
11,11,1,1,2896,79,71,Art_only
10,2,0,1,2956,78,0,Art_only
12,11,1,1,3181,76,68,Art_only
11,2,0,1,3198,79,0,Art_only
12,2,0,1,3461,76,0,Art_only
13,11,1,1,3474,72,68,Art_only
14,11,1,1,3755,76,66,Art_only
13,2,0,1,3772,72,0,Art_only
15,11,1,1,4035,79,71,Art_only
14,2,0,1,4109,76,0,Art_only
16,11,1,1,4313,84,69,Art_only
15,2,0,1,4352,79,0,Art_only
17,11,1,1,4616,83,68,Art_only
16,2,0,1,4680,84,0,Art_only
17,2,0,1,4908,83,0,Art_only
18,11,1,1,4909,81,66,Art_only
18,2,0,1,4969,81,0,Art_only
19,11,1,1,5178,81,65,Art_only
19,2,0,1,5238,81,0,Art_only
20,11,1,1,5452,81,67,Art_only
20,2,0,1,5518,81,0,Art_only
21,11,1,1,5736,83,67,Art_only
22,11,1,1,6027,81,72,Art_only
21,2,0,1,6075,83,0,Art_only
23,11,1,1,6308,84,67,Art_only
22,2,0,1,6347,81,0,Art_only
24,11,1,1,6585,81,65,Art_only
23,2,0,1,6657,84,0,Art_only
24,2,0,1,6846,81,0,Art_only
25,11,1,1,6871,78,69,Art_only
25,2,0,1,7156,78,0,Art_only
26,11,1,1,7158,79,66,Art_only
