RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,11,1,1,0,79,80,Dyn_only
1,12,0,1,73,79,0,Dyn_only
2,11,1,1,296,78,87,Dyn_only
2,12,0,1,366,78,0,Dyn_only
3,11,1,1,579,79,86,Dyn_only
3,12,0,1,628,79,0,Dyn_only
4,11,1,1,871,76,80,Dyn_only
4,12,0,1,914,76,0,Dyn_only
5,11,1,1,1162,72,77,Dyn_only
5,12,0,1,1208,72,0,Dyn_only
6,11,1,1,1450,67,56,Dyn_only
6,12,0,1,1507,67,0,Dyn_only
7,11,1,1,1738,67,64,Dyn_only
7,12,0,1,1806,67,0,Dyn_only
8,11,1,1,2027,67,69,Dyn_only
8,12,0,1,2101,67,0,Dyn_only
9,11,1,1,2332,79,88,Dyn_only
9,12,0,1,2408,79,0,Dyn_only
10,11,1,1,2619,78,88,Dyn_only
10,12,0,1,2717,78,0,Dyn_only
11,11,1,1,2896,79,92,Dyn_only
11,12,0,1,2993,79,0,Dyn_only
12,11,1,1,3181,76,90,Dyn_only
12,12,0,1,3261,76,0,Dyn_only
13,11,1,1,3474,72,90,Dyn_only
13,12,0,1,3600,72,0,Dyn_only
14,11,1,1,3755,76,83,Dyn_only
14,12,0,1,3847,76,0,Dyn_only
15,11,1,1,4035,79,87,Dyn_only
15,12,0,1,4101,79,0,Dyn_only
16,11,1,1,4313,84,84,Dyn_only
16,12,0,1,4406,84,0,Dyn_only
17,11,1,1,4616,83,73,Dyn_only
17,12,0,1,4684,83,0,Dyn_only
18,11,1,1,4909,81,64,Dyn_only
18,12,0,1,4960,81,0,Dyn_only
19,11,1,1,5178,81,59,Dyn_only
19,12,0,1,5236,81,0,Dyn_only
20,11,1,1,5452,81,65,Dyn_only
20,12,0,1,5515,81,0,Dyn_only
21,11,1,1,5736,83,90,Dyn_only
21,12,0,1,5813,83,0,Dyn_only
22,11,1,1,6027,81,93,Dyn_only
22,12,0,1,6085,81,0,Dyn_only
23,11,1,1,6308,84,94,Dyn_only
23,12,0,1,6393,84,0,Dyn_only
24,11,1,1,6585,81,93,Dyn_only
24,12,0,1,6639,81,0,Dyn_only
25,11,1,1,6871,78,88,Dyn_only
25,12,0,1,6982,78,0,Dyn_only
26,11,1,1,7158,79,87,Dyn_only
26,12,0,1,7244,79,0,Dyn_only
27,11,1,1,7445,79,81,Dyn_only
27,12,0,1,7555,79,0,Dyn_only
28,11,1,1,8059,79,74,Dyn_only
28,12,0,1,8248,79,0,Dyn_only
29,11,1,1,9301,77,53,Dyn_only
29,12,0,1,9400,77,0,Dyn_only
30,11,1,1,9593,77,53,Dyn_only
30,12,0,1,9673,77,0,Dyn_only
31,11,1,1,9870,76,56,Dyn_only
31,12,0,1,9926,76,0,Dyn_only
32,11,1,1,10148,76,51,Dyn_only
32,12,0,1,10226,76,0,Dyn_only
33,11,1,1,10468,74,57,Dyn_only
