RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,11,1,1,0,79,75,High
2,11,1,1,296,78,79,High
1,3,0,1,336,79,0,High
3,11,1,1,579,79,78,High
2,3,0,1,604,78,0,High
4,11,1,1,871,76,78,High
3,3,0,1,885,79,0,High
5,11,1,1,1162,72,78,High
4,3,0,1,1221,76,0,High
5,3,0,1,1416,72,0,High
6,11,1,1,1450,67,61,High
6,3,0,1,1508,67,0,High
7,11,1,1,1738,67,57,High
7,3,0,1,1787,67,0,High
8,11,1,1,2027,67,60,High
8,3,0,1,2072,67,0,High
9,11,1,1,2332,79,78,High
10,11,1,1,2619,78,80,High
9,3,0,1,2662,79,0,High
11,11,1,1,2896,79,78,High
10,3,0,1,2931,78,0,High
12,11,1,1,3181,76,80,High
11,3,0,1,3230,79,0,High
13,11,1,1,3474,72,80,High
12,3,0,1,3506,76,0,High
14,11,1,1,3755,76,82,High
13,3,0,1,3827,72,0,High
15,11,1,1,4035,79,84,High
14,3,0,1,4097,76,0,High
16,11,1,1,4313,84,82,High
15,3,0,1,4323,79,0,High
17,11,1,1,4616,83,84,High
16,3,0,1,4656,84,0,High
17,3,0,1,4862,83,0,High
18,11,1,1,4909,81,56,High
18,3,0,1,4968,81,0,High
19,11,1,1,5178,81,60,High
19,3,0,1,5239,81,0,High
20,11,1,1,5452,81,64,High
20,3,0,1,5528,81,0,High
21,11,1,1,5736,83,79,High
22,11,1,1,6027,81,81,High
21,3,0,1,6057,83,0,High
23,11,1,1,6308,84,82,High
22,3,0,1,6335,81,0,High
24,11,1,1,6585,81,85,High
23,3,0,1,6631,84,0,High
25,11,1,1,6871,78,81,High
24,3,0,1,6895,81,0,High
25,3,0,1,7148,78,0,High
26,11,1,1,7158,79,78,High
26,3,0,1,7320,79,0,High
27,11,1,1,7445,79,75,High
27,3,0,1,7887,79,0,High
28,11,1,1,8059,79,74,High
28,3,0,1,8709,79,0,High
29,11,1,1,9301,77,53,High
29,3,0,1,9345,77,0,High
30,11,1,1,9593,77,57,High
30,3,0,1,9644,77,0,High
31,11,1,1,9870,76,55,High
31,3,0,1,9926,76,0,High
32,11,1,1,10148,76,55,High
32,3,0,1,10222,76,0,High
33,11,1,1,10468,74,56,High
33,3,0,1,11126,74,0,High
34,11,1,1,11570,79,58,High
34,3,0,1,12038,79,0,High
35,11,1,1,12168,77,64,High
35,3,0,1,12641,77,0,High
36,11,1,1,12768,76,57,High
36,3,0,1,12821,76,0,High
37,11,1,1,13051,76,60,High
37,3,0,1,13100,76,0,High
38,11,1,1,13321,76,60,High
38,3,0,1,13371,76,0,High
39,11,1,1,13590,76,62,High
39,3,0,1,13671,76,0,High
40,11,1,1,13883,81,75,High
41,11,1,1,14161,77,80,High
40,3,0,1,14194,81,0,High
42,11,1,1,14448,76,76,High
41,3,0,1,14477,77,0,High
43,11,1,1,14726,74,78,High
42,3,0,1,14749,76,0,High
44,11,1,1,15011,76,77,High
43,3,0,1,15036,74,0,High
45,11,1,1,15289,79,80,High
44,3,0,1,15313,76,0,High
46,11,1,1,15567,74,81,High
45,3,0,1,15622,79,0,High
47,11,1,1,15853,71,74,High
46,3,0,1,15877,74,0,High
47,3,0,1,16120,71,0,High
48,11,1,1,16137,72,63,High
48,3,0,1,16179,72,0,High
49,11,1,1,16407,72,58,High
49,3,0,1,16452,72,0,High
50,11,1,1,16690,74,58,High
50,3,0,1,16731,74,0,High
51,11,1,1,16960,74,54,High
51,3,0,1,17008,74,0,High
52,11,1,1,17273,76,50,High
52,3,0,1,17870,76,0,High
53,11,1,1,18419,65,57,High
53,3,0,1,18464,65,0,High
54,11,1,1,18701,65,59,High
54,3,0,1,18749,65,0,High
55,11,1,1,18995,64,52,High
55,3,0,1,19044,64,0,High
56,11,1,1,19270,64,53,High
56,3,0,1,19335,64,0,High
57,11,1,1,19581,62,53,High
57,3,0,1,20189,62,0,High
58,11,1,1,20747,67,56,High
58,3,0,1,20791,67,0,High
59,11,1,1,21037,67,61,High
59,3,0,1,21092,67,0,High
60,11,1,1,21336,71,63,High
60,3,0,1,21398,71,0,High
61,11,1,1,21605,71,64,High
61,3,0,1,21681,71,0,High
62,11,1,1,21877,72,71,High
62,3,0,1,21946,72,0,High
63,11,1,1,22146,72,68,High
63,3,0,1,22230,72,0,High
64,11,1,1,22424,73,71,High
64,3,0,1,22511,73,0,High
65,11,1,1,22702,73,73,High
65,3,0,1,22795,73,0,High
66,11,1,1,23019,74,91,High
66,3,0,1,23533,74,0,High
67,11,1,1,23605,77,86,High
67,3,0,1,24111,77,0,High
68,11,1,1,24195,76,83,High
68,3,0,1,24694,76,0,High
69,11,1,1,24785,74,85,High
69,3,0,1,25248,74,0,High
70,11,1,1,25403,72,85,High
70,3,0,1,25853,72,0,High
71,11,1,1,26019,84,84,High
71,3,0,1,26442,84,0,High
72,11,1,1,26666,84,80,High
72,3,0,1,27340,84,0,High
