RowNr,Instance,KeyOnOff,Stimuli,TimeStamp,Pitch,Velocity,Category
1,6,1,2,0,79,60,Low
1,2,0,2,67,79,0,Low
2,6,1,2,296,78,63,Low
2,2,0,2,360,78,0,Low
3,6,1,2,589,79,64,Low
3,2,0,2,632,79,0,Low
4,6,1,2,879,76,60,Low
4,2,0,2,922,76,0,Low
5,6,1,2,1179,72,62,Low
5,2,0,2,1252,72,0,Low
6,6,1,2,1471,67,55,Low
6,2,0,2,1547,67,0,Low
7,6,1,2,1765,67,61,Low
7,2,0,2,1818,67,0,Low
8,6,1,2,2066,67,60,Low
8,2,0,2,2131,67,0,Low
9,6,1,2,2376,79,63,Low
9,2,0,2,2438,79,0,Low
10,6,1,2,2666,78,68,Low
10,2,0,2,2735,78,0,Low
11,6,1,2,2951,79,71,Low
11,2,0,2,3003,79,0,Low
12,6,1,2,3242,76,68,Low
12,2,0,2,3301,76,0,Low
13,6,1,2,3526,72,68,Low
13,2,0,2,3577,72,0,Low
14,6,1,2,3816,76,66,Low
14,2,0,2,3876,76,0,Low
15,6,1,2,4105,79,71,Low
15,2,0,2,4147,79,0,Low
16,6,1,2,4385,84,69,Low
16,2,0,2,4431,84,0,Low
17,6,1,2,4683,83,68,Low
17,2,0,2,4732,83,0,Low
18,6,1,2,4969,81,66,Low
18,2,0,2,5016,81,0,Low
19,6,1,2,5256,81,65,Low
19,2,0,2,5305,81,0,Low
20,6,1,2,5533,81,67,Low
20,2,0,2,5574,81,0,Low
21,6,1,2,5825,83,67,Low
21,2,0,2,5873,83,0,Low
22,6,1,2,6118,81,72,Low
22,2,0,2,6167,81,0,Low
23,6,1,2,6393,84,67,Low
23,2,0,2,6445,84,0,Low
24,6,1,2,6687,81,65,Low
24,2,0,2,6731,81,0,Low
25,6,1,2,6971,78,69,Low
25,2,0,2,7076,78,0,Low
26,6,1,2,7247,79,66,Low
26,2,0,2,7291,79,0,Low
27,6,1,2,7540,79,65,Low
27,2,0,2,7618,79,0,Low
28,6,1,2,8137,79,58,Low
28,2,0,2,8273,79,0,Low
29,6,1,2,9293,77,54,Low
29,2,0,2,9348,77,0,Low
30,6,1,2,9581,77,60,Low
30,2,0,2,9636,77,0,Low
31,6,1,2,9861,76,57,Low
31,2,0,2,9926,76,0,Low
32,6,1,2,10139,76,57,Low
32,2,0,2,10195,76,0,Low
33,6,1,2,10456,74,59,Low
33,2,0,2,10919,74,0,Low
34,6,1,2,11587,79,63,Low
34,2,0,2,11764,79,0,Low
35,6,1,2,12190,77,67,Low
35,2,0,2,12352,77,0,Low
36,6,1,2,12755,76,61,Low
36,2,0,2,12831,76,0,Low
37,6,1,2,13050,76,59,Low
37,2,0,2,13110,76,0,Low
38,6,1,2,13339,76,61,Low
38,2,0,2,13431,76,0,Low
39,6,1,2,13629,76,64,Low
39,2,0,2,13721,76,0,Low
40,6,1,2,13920,81,61,Low
40,2,0,2,13965,81,0,Low
41,6,1,2,14222,77,65,Low
41,2,0,2,14269,77,0,Low
42,6,1,2,14499,76,64,Low
42,2,0,2,14550,76,0,Low
43,6,1,2,14788,74,67,Low
43,2,0,2,14837,74,0,Low
44,6,1,2,15071,76,66,Low
44,2,0,2,15131,76,0,Low
45,6,1,2,15347,79,68,Low
45,2,0,2,15428,79,0,Low
46,6,1,2,15638,74,68,Low
46,2,0,2,15703,74,0,Low
47,6,1,2,15931,71,65,Low
47,2,0,2,15987,71,0,Low
48,6,1,2,16207,72,66,Low
48,2,0,2,16291,72,0,Low
49,6,1,2,16497,72,60,Low
49,2,0,2,16543,72,0,Low
50,6,1,2,16766,74,63,Low
50,2,0,2,16803,74,0,Low
51,6,1,2,17061,74,60,Low
51,2,0,2,17116,74,0,Low
52,6,1,2,17377,76,53,Low
52,2,0,2,17863,76,0,Low
53,6,1,2,18497,65,49,Low
53,2,0,2,18607,65,0,Low
54,6,1,2,18784,65,53,Low
54,2,0,2,18853,65,0,Low
55,6,1,2,19064,64,57,Low
55,2,0,2,19120,64,0,Low
56,6,1,2,19359,64,57,Low
56,2,0,2,19417,64,0,Low
57,6,1,2,19681,62,58,Low
57,2,0,2,20238,62,0,Low
58,6,1,2,20762,67,63,Low
58,2,0,2,20855,67,0,Low
59,6,1,2,21049,67,60,Low
59,2,0,2,21120,67,0,Low
60,6,1,2,21341,71,61,Low
60,2,0,2,21403,71,0,Low
61,6,1,2,21616,71,62,Low
61,2,0,2,21711,71,0,Low
62,6,1,2,21892,72,62,Low
62,2,0,2,21960,72,0,Low
63,6,1,2,22163,72,65,Low
63,2,0,2,22249,72,0,Low
64,6,1,2,22448,73,66,Low
64,2,0,2,22529,73,0,Low
65,6,1,2,22742,73,65,Low
65,2,0,2,22840,73,0,Low
66,6,1,2,23048,74,68,Low
66,2,0,2,23368,74,0,Low
67,6,1,2,23637,77,65,Low
67,2,0,2,23807,77,0,Low
68,6,1,2,24240,76,62,Low
68,2,0,2,24415,76,0,Low
69,6,1,2,24835,74,67,Low
69,2,0,2,25030,74,0,Low
70,6,1,2,25412,72,68,Low
70,2,0,2,25770,72,0,Low
71,6,1,2,26026,84,63,Low
71,2,0,2,26150,84,0,Low
72,6,1,2,26662,84,64,Low
72,2,0,2,26935,84,0,Low
