Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
7,1,1,0,58,79
7,2,1,304,60,78
7,1,0,337,58,79
7,3,1,613,60,79
7,2,0,644,60,78
7,4,1,912,57,76
7,3,0,939,60,79
7,4,0,1197,57,76
7,5,1,1214,66,72
7,5,0,1311,66,72
7,6,1,1504,59,67
7,6,0,1562,59,67
7,7,1,1798,64,67
7,7,0,1870,64,67
7,8,1,2089,62,67
7,8,0,2146,62,67
7,9,1,2400,67,79
7,10,1,2691,65,78
7,9,0,2722,67,79
7,11,1,2982,65,79
7,10,0,3007,65,78
7,11,0,3261,65,79
7,12,1,3273,64,76
7,12,0,3563,64,76
7,13,1,3580,66,72
7,13,0,3865,66,72
7,14,1,3872,64,76
7,14,0,4158,64,76
7,15,1,4159,65,79
7,15,0,4442,65,79
7,16,1,4457,71,84
7,17,1,4766,70,83
7,16,0,4804,71,84
7,17,0,4888,70,83
7,18,1,5056,64,81
7,18,0,5118,64,81
7,19,1,5340,61,81
7,19,0,5395,61,81
7,20,1,5621,62,81
7,20,0,5673,62,81
7,21,1,5932,62,83
7,22,1,6212,64,81
7,21,0,6230,62,83
7,22,0,6511,64,81
7,23,1,6515,61,84
7,24,1,6804,57,81
7,23,0,6824,61,84
7,24,0,7068,57,81
7,25,1,7111,58,78
7,25,0,7341,58,78
7,26,1,7403,60,79
7,26,0,7540,60,79
7,27,1,7741,60,79
7,27,0,7965,60,79
7,28,1,8390,56,79
7,28,0,8881,56,79
7,29,1,9678,53,77
7,29,0,9728,53,77
7,30,1,9978,57,77
7,30,0,10047,57,77
7,31,1,10266,59,76
7,31,0,10322,59,76
7,32,1,10555,56,76
7,32,0,10617,56,76
7,33,1,10896,58,74
7,33,0,11458,58,74
7,34,1,12087,63,79
7,34,0,12578,63,79
7,35,1,12696,64,77
7,35,0,13116,64,77
7,36,1,13275,60,76
7,36,0,13348,60,76
7,37,1,13568,61,76
7,37,0,13633,61,76
7,38,1,13851,60,76
7,38,0,13919,60,76
7,39,1,14150,61,76
7,39,0,14219,61,76
7,40,1,14459,64,81
7,41,1,14738,60,77
7,40,0,14780,64,81
7,41,0,15030,60,77
7,42,1,15034,59,76
7,43,1,15315,64,74
7,42,0,15317,59,76
7,43,0,15587,64,74
7,44,1,15599,62,76
7,44,0,15878,62,76
7,45,1,15882,63,79
7,46,1,16175,64,74
7,45,0,16183,63,79
7,46,0,16447,64,74
7,47,1,16470,60,71
7,47,0,16656,60,71
7,48,1,16751,61,72
7,48,0,16803,61,72
7,49,1,17050,59,72
7,49,0,17095,59,72
7,50,1,17330,62,74
7,50,0,17378,62,74
7,51,1,17630,62,74
7,51,0,17697,62,74
7,52,1,17949,57,76
7,52,0,18463,57,76
7,53,1,19248,50,65
7,53,0,19296,50,65
7,54,1,19539,51,65
7,54,0,19612,51,65
7,55,1,19847,56,64
7,55,0,19902,56,64
7,56,1,20128,58,64
7,56,0,20195,58,64
7,57,1,20488,53,62
7,57,0,21006,53,62
7,58,1,21659,67,67
7,58,0,21711,67,67
7,59,1,21955,61,67
7,59,0,22000,61,67
7,60,1,22260,63,71
7,60,0,22314,63,71
7,61,1,22560,60,71
7,61,0,22625,60,71
7,62,1,22854,66,72
7,62,0,22923,66,72
7,63,1,23146,60,72
7,63,0,23220,60,72
7,64,1,23440,64,73
7,64,0,23525,64,73
7,65,1,23721,58,73
7,65,0,23784,58,73
7,66,1,24028,67,74
7,66,0,24555,67,74
7,67,1,24661,63,77
7,67,0,25183,63,77
7,68,1,25274,64,76
7,68,0,25803,64,76
7,69,1,25900,67,74
7,69,0,26336,67,74
7,70,1,26543,64,72
7,70,0,26922,64,72
7,71,1,27225,57,84
7,71,0,27546,57,84
7,72,1,27887,63,84
7,72,0,28388,63,84
