Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
2,1,1,0,67,79
2,2,1,315,65,78
2,1,0,356,67,79
2,3,1,605,71,79
2,2,0,656,65,78
2,4,1,908,69,76
2,3,0,956,71,79
2,5,1,1219,68,72
2,4,0,1242,69,76
2,5,0,1476,68,72
2,6,1,1515,63,67
2,6,0,1562,63,67
2,7,1,1814,68,67
2,7,0,1876,68,67
2,8,1,2108,69,67
2,8,0,2158,69,67
2,9,1,2417,72,79
2,10,1,2712,68,78
2,9,0,2750,72,79
2,11,1,3006,69,79
2,10,0,3058,68,78
2,12,1,3302,68,76
2,11,0,3321,69,79
2,13,1,3600,70,72
2,12,0,3603,68,76
2,14,1,3895,74,76
2,13,0,3907,70,72
2,15,1,4185,74,79
2,14,0,4256,74,76
2,16,1,4466,80,84
2,15,0,4517,74,79
2,17,1,4776,75,83
2,16,0,4867,80,84
2,18,1,5068,71,81
2,17,0,5116,75,83
2,18,0,5128,71,81
2,19,1,5362,74,81
2,19,0,5417,74,81
2,20,1,5648,75,81
2,20,0,5710,75,81
2,21,1,5944,70,83
2,22,1,6235,71,81
2,21,0,6291,70,83
2,23,1,6523,72,84
2,22,0,6583,71,81
2,24,1,6822,69,81
2,23,0,6887,72,84
2,25,1,7112,70,78
2,24,0,7169,69,81
2,26,1,7402,69,79
2,25,0,7457,70,78
2,26,0,7569,69,79
2,27,1,7701,67,79
2,27,0,8032,67,79
2,28,1,8293,65,79
2,28,0,8907,65,79
2,29,1,9488,70,77
2,29,0,9537,70,77
2,30,1,9787,70,77
2,30,0,9845,70,77
2,31,1,10081,69,76
2,31,0,10135,69,76
2,32,1,10362,68,76
2,32,0,10448,68,76
2,33,1,10687,67,74
2,33,0,11299,67,74
2,34,1,11868,78,79
2,34,0,12428,78,79
2,35,1,12488,72,77
2,35,0,12998,72,77
2,36,1,13079,67,76
2,36,0,13152,67,76
2,37,1,13387,73,76
2,37,0,13464,73,76
2,38,1,13678,74,76
2,38,0,13759,74,76
2,39,1,13965,72,76
2,39,0,14032,72,76
2,40,1,14268,72,81
2,41,1,14566,71,77
2,40,0,14641,72,81
2,42,1,14853,69,76
2,41,0,14946,71,77
2,43,1,15148,72,74
2,42,0,15205,69,76
2,44,1,15440,68,76
2,43,0,15481,72,74
2,45,1,15733,68,79
2,44,0,15772,68,76
2,46,1,16019,71,74
2,45,0,16130,68,79
2,47,1,16310,68,71
2,46,0,16339,71,74
2,48,1,16594,71,72
2,47,0,16637,68,71
2,48,0,16655,71,72
2,49,1,16885,72,72
2,49,0,16949,72,72
2,50,1,17170,76,74
2,50,0,17225,76,74
2,51,1,17464,77,74
2,51,0,17551,77,74
2,52,1,17781,69,76
2,52,0,18374,69,76
2,53,1,18995,73,65
2,53,0,19052,73,65
2,54,1,19288,74,65
2,54,0,19364,74,65
2,55,1,19576,77,64
2,55,0,19636,77,64
2,56,1,19873,75,64
2,56,0,19938,75,64
2,57,1,20191,70,62
2,57,0,20749,70,62
2,58,1,21339,74,67
2,58,0,21400,74,67
2,59,1,21638,71,67
2,59,0,21700,71,67
2,60,1,21926,70,71
2,60,0,21988,70,71
2,61,1,22208,73,71
2,61,0,22296,73,71
2,62,1,22490,79,72
2,62,0,22578,79,72
2,63,1,22779,81,72
2,63,0,22865,81,72
2,64,1,23059,83,73
2,64,0,23160,83,73
2,65,1,23360,81,73
2,65,0,23486,81,73
2,66,1,23676,80,74
2,66,0,24200,80,74
2,67,1,24286,73,77
2,67,0,24791,73,77
2,68,1,24890,74,76
2,69,1,25478,70,74
2,68,0,25490,74,76
2,69,0,25971,70,74
2,70,1,26098,72,72
2,70,0,26642,72,72
2,71,1,26718,74,84
2,71,0,27131,74,84
2,72,1,27366,72,84
2,72,0,28164,72,84
