Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
3,1,1,0,75,79
3,1,0,67,75,79
3,2,1,306,79,78
3,2,0,370,79,78
3,3,1,603,78,79
3,3,0,646,78,79
3,4,1,904,78,76
3,4,0,947,78,76
3,5,1,1200,78,72
3,5,0,1273,78,72
3,6,1,1502,61,67
3,6,0,1578,61,67
3,7,1,1794,57,67
3,7,0,1847,57,67
3,8,1,2090,60,67
3,8,0,2155,60,67
3,9,1,2400,78,79
3,9,0,2462,78,79
3,10,1,2706,80,78
3,10,0,2775,80,78
3,11,1,3006,78,79
3,11,0,3058,78,79
3,12,1,3301,80,76
3,12,0,3360,80,76
3,13,1,3603,80,72
3,13,0,3654,80,72
3,14,1,3892,82,76
3,14,0,3952,82,76
3,15,1,4186,84,79
3,15,0,4228,84,79
3,16,1,4483,82,84
3,16,0,4529,82,84
3,17,1,4784,84,83
3,17,0,4833,84,83
3,18,1,5081,56,81
3,18,0,5128,56,81
3,19,1,5368,60,81
3,19,0,5417,60,81
3,20,1,5659,64,81
3,20,0,5700,64,81
3,21,1,5949,79,83
3,21,0,5997,79,83
3,22,1,6251,81,81
3,22,0,6300,81,81
3,23,1,6539,82,84
3,23,0,6591,82,84
3,24,1,6840,85,81
3,24,0,6884,85,81
3,25,1,7135,81,78
3,25,0,7240,81,78
3,26,1,7431,78,79
3,26,0,7475,78,79
3,27,1,7738,75,79
3,27,0,7816,75,79
3,28,1,8346,74,79
3,28,0,8482,74,79
3,29,1,9609,53,77
3,29,0,9664,53,77
3,30,1,9916,57,77
3,30,0,9971,57,77
3,31,1,10206,55,76
3,31,0,10271,55,76
3,32,1,10495,55,76
3,32,0,10551,55,76
3,33,1,10809,56,74
3,33,0,11272,56,74
3,34,1,12059,58,79
3,34,0,12236,58,79
3,35,1,12674,64,77
3,35,0,12836,64,77
3,36,1,13255,57,76
3,36,0,13331,57,76
3,37,1,13553,60,76
3,37,0,13613,60,76
3,38,1,13844,60,76
3,38,0,13936,60,76
3,39,1,14124,62,76
3,39,0,14216,62,76
3,40,1,14432,75,81
3,40,0,14477,75,81
3,41,1,14735,80,77
3,41,0,14782,80,77
3,42,1,15017,76,76
3,42,0,15068,76,76
3,43,1,15307,78,74
3,43,0,15356,78,74
3,44,1,15602,77,76
3,44,0,15662,77,76
3,45,1,15894,80,79
3,45,0,15975,80,79
3,46,1,16184,81,74
3,46,0,16249,81,74
3,47,1,16483,74,71
3,47,0,16539,74,71
3,48,1,16776,63,72
3,48,0,16860,63,72
3,49,1,17064,58,72
3,49,0,17110,58,72
3,50,1,17364,58,74
3,50,0,17401,58,74
3,51,1,17648,54,74
3,51,0,17703,54,74
3,52,1,17963,50,76
3,52,0,18449,50,76
3,53,1,19217,57,65
3,53,0,19327,57,65
3,54,1,19512,59,65
3,54,0,19581,59,65
3,55,1,19808,52,64
3,55,0,19864,52,64
3,56,1,20100,53,64
3,56,0,20158,53,64
3,57,1,20404,53,62
3,57,0,20961,53,62
3,58,1,21592,56,67
3,58,0,21685,56,67
3,59,1,21885,61,67
3,59,0,21956,61,67
3,60,1,22176,63,71
3,60,0,22238,63,71
3,61,1,22453,64,71
3,61,0,22548,64,71
3,62,1,22744,71,72
3,62,0,22812,71,72
3,63,1,23025,68,72
3,63,0,23111,68,72
3,64,1,23312,71,73
3,64,0,23393,71,73
3,65,1,23608,73,73
3,65,0,23706,73,73
3,66,1,23908,91,74
3,66,0,24228,91,74
3,67,1,24510,86,77
3,67,0,24680,86,77
3,68,1,25108,83,76
3,68,0,25283,83,76
3,69,1,25697,85,74
3,69,0,25892,85,74
3,70,1,26326,85,72
3,70,0,26684,85,72
3,71,1,26961,84,84
3,71,0,27085,84,84
3,72,1,27628,80,84
3,72,0,27901,80,84
