Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
10,1,1,0,87,79
10,2,1,284,90,78
10,1,0,327,87,79
10,3,1,573,88,79
10,2,0,595,90,78
10,4,1,868,85,76
10,3,0,868,88,79
10,5,1,1170,83,72
10,4,0,1203,85,76
10,5,0,1398,83,72
10,6,1,1447,71,67
10,6,0,1534,71,67
10,7,1,1746,71,67
10,7,0,1795,71,67
10,8,1,2041,70,67
10,8,0,2095,70,67
10,9,1,2342,83,79
10,10,1,2624,83,78
10,9,0,2659,83,79
10,10,0,2913,83,78
10,11,1,2920,85,79
10,12,1,3216,83,76
10,11,0,3228,85,79
10,12,0,3476,83,76
10,13,1,3494,83,72
10,14,1,3778,88,76
10,13,0,3841,83,72
10,15,1,4060,89,79
10,14,0,4065,88,76
10,16,1,4343,91,84
10,15,0,4354,89,79
10,17,1,4641,83,83
10,16,0,4699,91,84
10,18,1,4923,60,81
10,17,0,4929,83,83
10,18,0,4996,60,81
10,19,1,5215,60,81
10,19,0,5268,60,81
10,20,1,5492,70,81
10,20,0,5576,70,81
10,21,1,5784,91,83
10,22,1,6073,93,81
10,21,0,6123,91,83
10,23,1,6347,92,84
10,22,0,6373,93,81
10,24,1,6653,87,81
10,23,0,6660,92,84
10,25,1,6940,88,78
10,24,0,6976,87,81
10,26,1,7217,79,79
10,25,0,7250,88,78
10,26,0,7386,79,79
10,27,1,7519,82,79
10,27,0,7934,82,79
10,28,1,8115,76,79
10,28,0,8762,76,79
10,29,1,9322,53,77
10,29,0,9378,53,77
10,30,1,9611,58,77
10,30,0,9665,58,77
10,31,1,9892,57,76
10,31,0,9948,57,76
10,32,1,10173,57,76
10,32,0,10229,57,76
10,33,1,10482,56,74
10,33,0,11088,56,74
10,34,1,11614,65,79
10,34,0,12164,65,79
10,35,1,12214,65,77
10,35,0,12710,65,77
10,36,1,12792,59,76
10,36,0,12857,59,76
10,37,1,13092,60,76
10,37,0,13151,60,76
10,38,1,13375,61,76
10,38,0,13441,61,76
10,39,1,13657,68,76
10,39,0,13755,68,76
10,40,1,13952,87,81
10,41,1,14244,88,77
10,40,0,14311,87,81
10,42,1,14534,87,76
10,41,0,14574,88,77
10,42,0,14822,87,76
10,43,1,14825,85,74
10,44,1,15112,85,76
10,43,0,15138,85,74
10,45,1,15396,83,79
10,44,0,15416,85,76
10,46,1,15676,83,74
10,45,0,15718,83,79
10,47,1,15960,69,71
10,46,0,15976,83,74
10,47,0,16231,69,71
10,48,1,16234,72,72
10,48,0,16290,72,72
10,49,1,16522,63,72
10,49,0,16575,63,72
10,50,1,16794,60,74
10,50,0,16838,60,74
10,51,1,17093,55,74
10,51,0,17135,55,74
10,52,1,17395,51,76
10,52,0,17994,51,76
10,53,1,18549,67,65
10,53,0,18620,67,65
10,54,1,18843,57,65
10,54,0,18918,57,65
10,55,1,19127,65,64
10,55,0,19177,65,64
10,56,1,19421,55,64
10,56,0,19480,55,64
10,57,1,19737,59,62
10,57,0,20355,59,62
10,58,1,20858,62,67
10,58,0,20915,62,67
10,59,1,21159,68,67
10,59,0,21241,68,67
10,60,1,21442,70,71
10,60,0,21510,70,71
10,61,1,21727,66,71
10,61,0,21806,66,71
10,62,1,21997,75,72
10,62,0,22095,75,72
10,63,1,22282,80,72
10,63,0,22362,80,72
10,64,1,22557,84,73
10,64,0,22640,84,73
10,65,1,22848,89,73
10,65,0,22939,89,73
10,66,1,23154,91,74
10,66,0,23669,91,74
10,67,1,23743,92,77
10,67,0,24303,92,77
10,68,1,24344,90,76
10,68,0,24888,90,76
10,69,1,24940,94,74
10,69,0,25523,94,74
10,70,1,25541,88,72
10,70,0,26108,88,72
10,71,1,26168,88,84
10,71,0,26573,88,84
10,72,1,26822,83,84
10,72,0,27501,83,84
