Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
7,1,1,0,77,79
7,2,1,273,78,78
7,1,0,334,77,79
7,3,1,561,77,79
7,2,0,617,78,78
7,4,1,831,79,76
7,3,0,903,77,79
7,5,1,1101,76,72
7,4,0,1129,79,76
7,5,0,1350,76,72
7,6,1,1374,56,67
7,6,0,1474,56,67
7,7,1,1659,53,67
7,7,0,1734,53,67
7,8,1,1926,62,67
7,8,0,1987,62,67
7,9,1,2213,76,79
7,10,1,2487,77,78
7,9,0,2517,76,79
7,11,1,2769,78,79
7,10,0,2772,77,78
7,12,1,3043,73,76
7,11,0,3079,78,79
7,13,1,3318,79,72
7,12,0,3323,73,76
7,14,1,3585,82,76
7,13,0,3603,79,72
7,15,1,3845,83,79
7,14,0,3922,82,76
7,16,1,4118,83,84
7,15,0,4141,83,79
7,17,1,4394,82,83
7,16,0,4453,83,84
7,17,0,4625,82,83
7,18,1,4663,66,81
7,18,0,4741,66,81
7,19,1,4929,58,81
7,19,0,5001,58,81
7,20,1,5202,60,81
7,20,0,5296,60,81
7,21,1,5480,81,83
7,22,1,5747,82,81
7,21,0,5766,81,83
7,23,1,6009,82,84
7,22,0,6044,82,81
7,24,1,6277,81,81
7,23,0,6377,82,84
7,25,1,6557,78,78
7,24,0,6629,81,81
7,26,1,6826,73,79
7,25,0,6897,78,78
7,26,0,6970,73,79
7,27,1,7123,70,79
7,27,0,7305,70,79
7,28,1,7685,72,79
7,28,0,8383,72,79
7,29,1,8851,52,77
7,29,0,8902,52,77
7,30,1,9130,54,77
7,30,0,9204,54,77
7,31,1,9385,55,76
7,31,0,9450,55,76
7,32,1,9652,53,76
7,32,0,9733,53,76
7,33,1,9951,54,74
7,33,0,10627,54,74
7,34,1,11063,62,79
7,34,0,11618,62,79
7,35,1,11625,60,77
7,35,0,12117,60,77
7,36,1,12191,56,76
7,36,0,12248,56,76
7,37,1,12465,55,76
7,37,0,12533,55,76
7,38,1,12733,55,76
7,38,0,12808,55,76
7,39,1,12998,58,76
7,39,0,13089,58,76
7,40,1,13280,72,81
7,41,1,13545,75,77
7,40,0,13630,72,81
7,42,1,13819,78,76
7,41,0,13866,75,77
7,43,1,14082,82,74
7,42,0,14106,78,76
7,44,1,14353,80,76
7,43,0,14372,82,74
7,45,1,14612,83,79
7,44,0,14642,80,76
7,46,1,14878,82,74
7,45,0,14952,83,79
7,47,1,15154,72,71
7,46,0,15172,82,74
7,48,1,15411,60,72
7,47,0,15422,72,71
7,48,0,15474,60,72
7,49,1,15684,59,72
7,49,0,15746,59,72
7,50,1,15951,55,74
7,50,0,16003,55,74
7,51,1,16222,55,74
7,51,0,16315,55,74
7,52,1,16522,49,76
7,52,0,17139,49,76
7,53,1,17690,47,65
7,53,0,17740,47,65
7,54,1,17971,55,65
7,54,0,18029,55,65
7,55,1,18242,47,64
7,55,0,18293,47,64
7,56,1,18510,50,64
7,56,0,18600,50,64
7,57,1,18810,47,62
7,57,0,19421,47,62
7,58,1,19907,57,67
7,58,0,19973,57,67
7,59,1,20188,63,67
7,59,0,20262,63,67
7,60,1,20450,61,71
7,60,0,20511,61,71
7,61,1,20714,60,71
7,61,0,20820,60,71
7,62,1,20975,67,72
7,62,0,21071,67,72
7,63,1,21248,69,72
7,63,0,21341,69,72
7,64,1,21501,71,73
7,64,0,21575,71,73
7,65,1,21767,75,73
7,65,0,21853,75,73
7,66,1,22053,81,74
7,66,0,22620,81,74
7,67,1,22629,85,77
7,68,1,23197,81,76
7,67,0,23229,85,77
7,69,1,23764,83,74
7,68,0,23845,81,76
7,69,0,24355,83,74
7,70,1,24358,84,72
7,70,0,24938,84,72
7,71,1,24957,84,84
7,71,0,25285,84,84
7,72,1,25580,75,84
7,72,0,26294,75,84
