RowNr,N,Mean,SD,Instance
1,3,75.3333333333333,19.1398362932741,1
2,3,80.6666666666667,11.1504857891185,1
3,3,84.3333333333333,5.03322295684717,1
4,3,82.3333333333333,2.51661147842358,1
5,3,76,6,1
6,3,60,9.16515138991168,1
7,3,62.3333333333333,8.50490054811538,1
8,3,66,12.4899959967968,1
9,3,73,16.6433169770932,1
10,3,81,14.7309198626562,1
11,3,84.3333333333333,3.05505046330389,1
12,3,87,3.60555127546399,1
13,3,88.3333333333333,3.78593889720018,1
14,3,88,2,1
15,3,86.6666666666667,1.52752523165195,1
16,3,84.3333333333333,6.50640709864771,1
17,3,79.3333333333333,9.86576572463249,1
18,3,69,1.73205080756888,1
19,3,71,12.4899959967968,1
20,3,72.6666666666667,6.02771377334171,1
21,3,81.6666666666667,10.6926766215636,1
22,3,85,16.0934769394311,1
23,3,86.3333333333333,11.9303534454489,1
24,3,79.6666666666667,12.7410099024109,1
25,3,78.6666666666667,10.2143689640297,1
26,3,76.3333333333333,17.4737898961082,1
27,3,77.6666666666667,17.0977581376429,1
28,3,74.6666666666667,15.502687938978,1
29,3,67.6666666666667,18.5022521151706,1
30,3,68,6.2449979983984,1
31,3,69.6666666666667,7.23417813807024,1
32,3,63,11.7898261225516,1
33,3,60,8.71779788708135,1
34,3,62.3333333333333,12.7017059221718,1
35,3,66.6666666666667,8.50490054811538,1
36,3,64.6666666666667,9.60902353693305,1
37,3,65.6666666666667,9.07377172587747,1
38,3,70.6666666666667,7.57187779440037,1
39,3,72,17.3493515728975,1
40,3,85.6666666666667,4.04145188432738,1
41,3,84,1.73205080756888,1
42,3,86,4.35889894354067,1
43,3,83,7.54983443527075,1
44,3,79.3333333333333,10.5987420637231,1
45,3,79.6666666666667,6.65832811847939,1
46,3,82,6,1
47,3,77.6666666666667,5.5075705472861,1
48,3,78.3333333333333,2.51661147842358,1
49,3,75.6666666666667,11.2398102000582,1
50,3,73.3333333333333,6.65832811847939,1
51,3,73,9.16515138991168,1
52,3,56,5.56776436283002,1
53,3,57.3333333333333,4.04145188432738,1
54,3,63.6666666666667,8.08290376865476,1
55,3,65.6666666666667,3.21455025366432,1
56,3,59.3333333333333,1.15470053837925,1
