Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
13,1,1,0,64,79
13,1,0,142,64,79
13,2,1,301,66,78
13,2,0,369,66,78
13,3,1,585,65,79
13,3,0,707,65,79
13,4,1,871,63,76
13,4,0,941,63,76
13,5,1,1177,70,72
13,5,0,1349,70,72
13,6,1,1468,70,67
13,6,0,1553,70,67
13,7,1,1764,68,67
13,7,0,1837,68,67
13,8,1,2067,67,67
13,8,0,2152,67,67
13,9,1,2374,63,79
13,9,0,2504,63,79
13,10,1,2662,64,78
13,10,0,2787,64,78
13,11,1,2950,62,79
13,11,0,3077,62,79
13,12,1,3240,64,76
13,12,0,3305,64,76
13,13,1,3529,67,72
13,13,0,3715,67,72
13,14,1,3818,66,76
13,14,0,3912,66,76
13,15,1,4103,67,79
13,15,0,4192,67,79
13,16,1,4389,71,84
13,16,0,4515,71,84
13,17,1,4697,70,83
13,17,0,4920,70,83
13,18,1,4987,71,81
13,18,0,5037,71,81
13,19,1,5274,71,81
13,19,0,5322,71,81
13,20,1,5551,73,81
13,20,0,5622,73,81
13,21,1,5850,67,83
13,21,0,5986,67,83
13,22,1,6128,63,81
13,22,0,6186,63,81
13,23,1,6424,69,84
13,23,0,6561,69,84
13,24,1,6791,57,81
13,24,0,6869,57,81
13,25,1,7081,72,78
13,26,1,7358,69,79
13,25,0,7391,72,78
13,26,0,7419,69,79
13,27,1,7679,67,79
13,27,0,7812,67,79
13,28,1,8279,64,79
13,28,0,8411,64,79
13,29,1,9436,68,77
13,29,0,9530,68,77
13,30,1,9732,68,77
13,30,0,9806,68,77
13,31,1,10020,66,76
13,31,0,10084,66,76
13,32,1,10303,64,76
13,32,0,10401,64,76
13,33,1,10618,69,74
13,33,0,10781,69,74
13,34,1,11788,70,79
13,34,0,12018,70,79
13,35,1,12388,64,77
13,35,0,12609,64,77
13,36,1,12969,67,76
13,36,0,13070,67,76
13,37,1,13254,69,76
13,37,0,13326,69,76
13,38,1,13540,66,76
13,38,0,13626,66,76
13,39,1,13816,67,76
13,39,0,13892,67,76
13,40,1,14126,65,81
13,40,0,14326,65,81
13,41,1,14422,64,77
13,41,0,14484,64,77
13,42,1,14704,65,76
13,42,0,14772,65,76
13,43,1,14989,67,74
13,43,0,15042,67,74
13,44,1,15289,67,76
13,44,0,15434,67,76
13,45,1,15575,68,79
13,45,0,15629,68,79
13,46,1,15857,69,74
13,46,0,15927,69,74
13,47,1,16143,67,71
13,47,0,16204,67,71
13,48,1,16430,73,72
13,48,0,16502,73,72
13,49,1,16709,72,72
13,49,0,16811,72,72
13,50,1,16995,71,74
13,50,0,17047,71,74
13,51,1,17287,69,74
13,51,0,17376,69,74
13,52,1,17592,64,76
13,52,0,17790,64,76
13,53,1,18703,74,65
13,53,0,18781,74,65
13,54,1,18995,69,65
13,54,0,19102,69,65
13,55,1,19291,64,64
13,55,0,19347,64,64
13,56,1,19574,64,64
13,56,0,19668,64,64
13,57,1,19905,61,62
13,57,0,20097,61,62
13,58,1,21015,73,67
13,58,0,21079,73,67
13,59,1,21301,69,67
13,59,0,21385,69,67
13,60,1,21589,74,71
13,60,0,21650,74,71
13,61,1,21880,73,71
13,61,0,21952,73,71
13,62,1,22163,74,72
13,62,0,22205,74,72
13,63,1,22444,72,72
13,63,0,22502,72,72
13,64,1,22721,78,73
13,64,0,22815,78,73
13,65,1,23014,76,73
13,65,0,23097,76,73
13,66,1,23312,75,74
13,66,0,23558,75,74
13,67,1,23892,73,77
13,67,0,24148,73,77
13,68,1,24499,68,76
13,68,0,24744,68,76
13,69,1,25074,68,74
13,69,0,25330,68,74
13,70,1,25685,71,72
13,70,0,25977,71,72
13,71,1,26287,68,84
13,71,0,26484,68,84
13,72,1,26917,66,84
13,72,0,27150,66,84
