Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
6,1,1,0,67,79
6,1,0,114,67,79
6,2,1,296,69,78
6,2,0,374,69,78
6,3,1,568,68,79
6,3,0,684,68,79
6,4,1,840,70,76
6,4,0,908,70,76
6,5,1,1125,74,72
6,5,0,1263,74,72
6,6,1,1409,74,67
6,6,0,1495,74,67
6,7,1,1693,71,67
6,7,0,1782,71,67
6,8,1,1977,72,67
6,8,0,2065,72,67
6,9,1,2271,70,79
6,9,0,2407,70,79
6,10,1,2548,72,78
6,10,0,2650,72,78
6,11,1,2827,66,79
6,11,0,2947,66,79
6,12,1,3095,67,76
6,12,0,3151,67,76
6,13,1,3382,72,72
6,13,0,3561,72,72
6,14,1,3661,70,76
6,14,0,3756,70,76
6,15,1,3937,69,79
6,15,0,3990,69,79
6,16,1,4205,73,84
6,16,0,4313,73,84
6,17,1,4509,72,83
6,17,0,4707,72,83
6,18,1,4788,72,81
6,18,0,4847,72,81
6,19,1,5062,75,81
6,19,0,5118,75,81
6,20,1,5334,78,81
6,20,0,5389,78,81
6,21,1,5617,73,83
6,21,0,5713,73,83
6,22,1,5884,68,81
6,22,0,5942,68,81
6,23,1,6172,70,84
6,23,0,6300,70,84
6,24,1,6515,72,81
6,24,0,6574,72,81
6,25,1,6807,75,78
6,25,0,6998,75,78
6,26,1,7071,74,79
6,26,0,7147,74,79
6,27,1,7384,71,79
6,27,0,7496,71,79
6,28,1,7953,66,79
6,28,0,8083,66,79
6,29,1,9083,69,77
6,29,0,9183,69,77
6,30,1,9375,69,77
6,30,0,9446,69,77
6,31,1,9647,70,76
6,31,0,9715,70,76
6,32,1,9924,71,76
6,32,0,10003,71,76
6,33,1,10231,68,74
6,33,0,10374,68,74
6,34,1,11377,73,79
6,34,0,11589,73,79
6,35,1,11960,70,77
6,35,0,12202,70,77
6,36,1,12532,65,76
6,36,0,12636,65,76
6,37,1,12813,69,76
6,37,0,12886,69,76
6,38,1,13090,67,76
6,38,0,13148,67,76
6,39,1,13362,69,76
6,39,0,13456,69,76
6,40,1,13648,64,81
6,40,0,13775,64,81
6,41,1,13929,65,77
6,41,0,14017,65,77
6,42,1,14196,63,76
6,42,0,14260,63,76
6,43,1,14474,71,74
6,43,0,14521,71,74
6,44,1,14770,68,76
6,44,0,14908,68,76
6,45,1,15038,71,79
6,45,0,15088,71,79
6,46,1,15312,69,74
6,46,0,15361,69,74
6,47,1,15597,69,71
6,47,0,15645,69,71
6,48,1,15871,75,72
6,48,0,15932,75,72
6,49,1,16152,75,72
6,49,0,16243,75,72
6,50,1,16426,75,74
6,50,0,16475,75,74
6,51,1,16706,75,74
6,51,0,16772,75,74
6,52,1,17003,67,76
6,52,0,17165,67,76
6,53,1,18093,75,65
6,53,0,18165,75,65
6,54,1,18377,75,65
6,54,0,18481,75,65
6,55,1,18664,65,64
6,55,0,18713,65,64
6,56,1,18938,67,64
6,56,0,18985,67,64
6,57,1,19251,66,62
6,57,0,19411,66,62
6,58,1,20337,71,67
6,58,0,20387,71,67
6,59,1,20618,70,67
6,59,0,20668,70,67
6,60,1,20910,70,71
6,60,0,20964,70,71
6,61,1,21184,73,71
6,61,0,21237,73,71
6,62,1,21457,77,72
6,62,0,21499,77,72
6,63,1,21727,76,72
6,63,0,21765,76,72
6,64,1,22000,77,73
6,64,0,22060,77,73
6,65,1,22278,81,73
6,65,0,22319,81,73
6,66,1,22581,77,74
6,66,0,22843,77,74
6,67,1,23161,70,77
6,67,0,23425,70,77
6,68,1,23744,68,76
6,68,0,23986,68,76
6,69,1,24314,70,74
6,69,0,24523,70,74
6,70,1,24912,71,72
6,70,0,25193,71,72
6,71,1,25508,69,84
6,71,0,25705,69,84
6,72,1,26138,62,84
6,72,0,26367,62,84
