Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
1,1,1,0,66,79
1,2,1,297,72,78
1,1,0,312,66,79
1,3,1,580,73,79
1,2,0,590,72,78
1,4,1,878,69,76
1,3,0,907,73,79
1,5,1,1179,73,72
1,4,0,1223,69,76
1,6,1,1473,74,67
1,5,0,1501,73,72
1,6,0,1555,74,67
1,7,1,1760,75,67
1,7,0,1834,75,67
1,8,1,2064,70,67
1,8,0,2128,70,67
1,9,1,2373,68,79
1,9,0,2660,68,79
1,10,1,2664,70,78
1,11,1,2958,71,79
1,10,0,2967,70,78
1,12,1,3251,70,76
1,11,0,3257,71,79
1,13,1,3536,73,72
1,12,0,3555,70,76
1,14,1,3825,76,76
1,13,0,3853,73,72
1,15,1,4115,72,79
1,14,0,4141,76,76
1,16,1,4401,84,84
1,15,0,4431,72,79
1,17,1,4705,75,83
1,16,0,4764,84,84
1,18,1,4989,80,81
1,17,0,5007,75,83
1,18,0,5080,80,81
1,19,1,5276,76,81
1,19,0,5358,76,81
1,20,1,5555,78,81
1,20,0,5708,78,81
1,21,1,5850,74,83
1,21,0,6141,74,83
1,22,1,6142,74,81
1,23,1,6422,78,84
1,22,0,6427,74,81
1,24,1,6733,63,81
1,23,0,6768,78,84
1,25,1,7013,74,78
1,24,0,7060,63,81
1,26,1,7304,72,79
1,25,0,7327,74,78
1,26,0,7463,72,79
1,27,1,7602,75,79
1,27,0,7957,75,79
1,28,1,8187,75,79
1,28,0,8921,75,79
1,29,1,9420,75,77
1,29,0,9519,75,77
1,30,1,9721,76,77
1,30,0,9871,76,77
1,31,1,9995,76,76
1,31,0,10078,76,76
1,32,1,10284,76,76
1,32,0,10455,76,76
1,33,1,10599,78,74
1,33,0,11318,78,74
1,34,1,11786,80,79
1,34,0,12270,80,79
1,35,1,12386,72,77
1,35,0,12847,72,77
1,36,1,12974,75,76
1,36,0,13073,75,76
1,37,1,13269,75,76
1,37,0,13358,75,76
1,38,1,13554,73,76
1,38,0,13641,73,76
1,39,1,13829,72,76
1,39,0,13929,72,76
1,40,1,14140,70,81
1,41,1,14436,69,77
1,40,0,14467,70,81
1,42,1,14718,70,76
1,41,0,14760,69,77
1,43,1,15018,74,74
1,42,0,15028,70,76
1,44,1,15304,72,76
1,43,0,15322,74,74
1,45,1,15588,76,79
1,44,0,15596,72,76
1,46,1,15877,73,74
1,45,0,15934,76,79
1,47,1,16164,72,71
1,46,0,16188,73,74
1,48,1,16445,75,72
1,47,0,16451,72,71
1,48,0,16532,75,72
1,49,1,16725,78,72
1,49,0,16888,78,72
1,50,1,17001,79,74
1,50,0,17100,79,74
1,51,1,17297,81,74
1,51,0,17473,81,74
1,52,1,17598,72,76
1,52,0,18226,72,76
1,53,1,18722,77,65
1,53,0,18812,77,65
1,54,1,19019,76,65
1,54,0,19177,76,65
1,55,1,19312,74,64
1,55,0,19397,74,64
1,56,1,19597,75,64
1,56,0,19750,75,64
1,57,1,19915,72,62
1,57,0,20542,72,62
1,58,1,21078,77,67
1,58,0,21181,77,67
1,59,1,21376,77,67
1,59,0,21532,77,67
1,60,1,21663,73,71
1,60,0,21755,73,71
1,61,1,21951,79,71
1,61,0,22097,79,71
1,62,1,22228,80,72
1,62,0,22327,80,72
1,63,1,22509,83,72
1,63,0,22673,83,72
1,64,1,22795,84,73
1,64,0,22909,84,73
1,65,1,23083,84,73
1,65,0,23285,84,73
1,66,1,23387,82,74
1,66,0,23780,82,74
1,67,1,23981,81,77
1,67,0,24429,81,77
1,68,1,24576,74,76
1,68,0,25093,74,76
1,69,1,25181,77,74
1,69,0,25653,77,74
1,70,1,25795,80,72
1,70,0,26245,80,72
1,71,1,26412,82,84
1,71,0,26760,82,84
1,72,1,27033,84,84
1,72,0,27621,84,84
