Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
13,1,1,0,78,79
13,1,0,142,78,79
13,2,1,301,80,78
13,2,0,369,80,78
13,3,1,585,80,79
13,3,0,707,80,79
13,4,1,871,71,76
13,4,0,941,71,76
13,5,1,1177,70,72
13,5,0,1349,70,72
13,6,1,1468,62,67
13,6,0,1553,62,67
13,7,1,1764,64,67
13,7,0,1837,64,67
13,8,1,2067,71,67
13,8,0,2152,71,67
13,9,1,2374,77,79
13,9,0,2504,77,79
13,10,1,2662,78,78
13,10,0,2787,78,78
13,11,1,2950,76,79
13,11,0,3077,76,79
13,12,1,3240,75,76
13,12,0,3305,75,76
13,13,1,3529,81,72
13,13,0,3715,81,72
13,14,1,3818,80,76
13,14,0,3912,80,76
13,15,1,4103,81,79
13,15,0,4192,81,79
13,16,1,4389,82,84
13,16,0,4515,82,84
13,17,1,4697,76,83
13,17,0,4920,76,83
13,18,1,4987,60,81
13,18,0,5037,60,81
13,19,1,5274,56,81
13,19,0,5322,56,81
13,20,1,5551,67,81
13,20,0,5622,67,81
13,21,1,5850,81,83
13,21,0,5986,81,83
13,22,1,6128,83,81
13,22,0,6186,83,81
13,23,1,6424,83,84
13,23,0,6561,83,84
13,24,1,6791,80,81
13,24,0,6869,80,81
13,25,1,7081,77,78
13,26,1,7358,69,79
13,25,0,7391,77,78
13,26,0,7419,69,79
13,27,1,7679,69,79
13,27,0,7812,69,79
13,28,1,8279,61,79
13,28,0,8411,61,79
13,29,1,9436,59,77
13,29,0,9530,59,77
13,30,1,9732,60,77
13,30,0,9806,60,77
13,31,1,10020,54,76
13,31,0,10084,54,76
13,32,1,10303,57,76
13,32,0,10401,57,76
13,33,1,10618,56,74
13,33,0,10781,56,74
13,34,1,11788,60,79
13,34,0,12018,60,79
13,35,1,12388,62,77
13,35,0,12609,62,77
13,36,1,12969,59,76
13,36,0,13070,59,76
13,37,1,13254,62,76
13,37,0,13326,62,76
13,38,1,13540,63,76
13,38,0,13626,63,76
13,39,1,13816,63,76
13,39,0,13892,63,76
13,40,1,14126,77,81
13,40,0,14326,77,81
13,41,1,14422,77,77
13,41,0,14484,77,77
13,42,1,14704,78,76
13,42,0,14772,78,76
13,43,1,14989,81,74
13,43,0,15042,81,74
13,44,1,15289,80,76
13,44,0,15434,80,76
13,45,1,15575,78,79
13,45,0,15629,78,79
13,46,1,15857,78,74
13,46,0,15927,78,74
13,47,1,16143,70,71
13,47,0,16204,70,71
13,48,1,16430,67,72
13,48,0,16502,67,72
13,49,1,16709,66,72
13,49,0,16811,66,72
13,50,1,16995,68,74
13,50,0,17047,68,74
13,51,1,17287,60,74
13,51,0,17376,60,74
13,52,1,17592,57,76
13,52,0,17790,57,76
13,53,1,18703,62,65
13,53,0,18781,62,65
13,54,1,18995,64,65
13,54,0,19102,64,65
13,55,1,19291,56,64
13,55,0,19347,56,64
13,56,1,19574,59,64
13,56,0,19668,59,64
13,57,1,19905,52,62
13,57,0,20097,52,62
13,58,1,21015,59,67
13,58,0,21079,59,67
13,59,1,21301,61,67
13,59,0,21385,61,67
13,60,1,21589,56,71
13,60,0,21650,56,71
13,61,1,21880,68,71
13,61,0,21952,68,71
13,62,1,22163,77,72
13,62,0,22205,77,72
13,63,1,22444,77,72
13,63,0,22502,77,72
13,64,1,22721,84,73
13,64,0,22815,84,73
13,65,1,23014,88,73
13,65,0,23097,88,73
13,66,1,23312,86,74
13,66,0,23558,86,74
13,67,1,23892,85,77
13,67,0,24148,85,77
13,68,1,24499,78,76
13,68,0,24744,78,76
13,69,1,25074,79,74
13,69,0,25330,79,74
13,70,1,25685,77,72
13,70,0,25977,77,72
13,71,1,26287,83,84
13,71,0,26484,83,84
13,72,1,26917,79,84
13,72,0,27150,79,84
