Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
2,1,1,0,81,79
2,2,1,301,78,78
2,1,0,330,81,79
2,3,1,591,78,79
2,2,0,599,78,78
2,4,1,890,74,76
2,3,0,941,78,79
2,5,1,1175,73,72
2,4,0,1220,74,76
2,5,0,1398,73,72
2,6,1,1464,56,67
2,6,0,1512,56,67
2,7,1,1737,55,67
2,7,0,1789,55,67
2,8,1,2020,63,67
2,8,0,2069,63,67
2,9,1,2313,85,79
2,10,1,2599,80,78
2,9,0,2637,85,79
2,11,1,2879,82,79
2,10,0,2936,80,78
2,12,1,3158,78,76
2,11,0,3181,82,79
2,12,0,3438,78,76
2,13,1,3451,80,72
2,14,1,3733,82,76
2,13,0,3749,80,72
2,15,1,4003,84,79
2,14,0,4087,82,76
2,16,1,4294,84,84
2,15,0,4320,84,79
2,17,1,4577,83,83
2,16,0,4661,84,84
2,18,1,4861,61,81
2,17,0,4869,83,83
2,18,0,4921,61,81
2,19,1,5131,58,81
2,19,0,5191,58,81
2,20,1,5394,61,81
2,20,0,5460,61,81
2,21,1,5687,83,83
2,22,1,5974,77,81
2,21,0,6026,83,83
2,23,1,6252,84,84
2,22,0,6294,77,81
2,24,1,6531,83,81
2,23,0,6601,84,84
2,24,0,6792,83,81
2,25,1,6816,82,78
2,25,0,7101,82,78
2,26,1,7102,78,79
2,26,0,7225,78,79
2,27,1,7410,76,79
2,27,0,7672,76,79
2,28,1,8030,76,79
2,28,0,8672,76,79
2,29,1,9258,56,77
2,29,0,9323,56,77
2,30,1,9549,58,77
2,30,0,9599,58,77
2,31,1,9830,55,76
2,31,0,9885,55,76
2,32,1,10099,59,76
2,32,0,10178,59,76
2,33,1,10421,54,74
2,33,0,10993,54,74
2,34,1,11558,57,79
2,34,0,12087,57,79
2,35,1,12143,58,77
2,35,0,12653,58,77
2,36,1,12707,57,76
2,36,0,12790,57,76
2,37,1,12984,63,76
2,37,0,13059,63,76
2,38,1,13251,67,76
2,38,0,13339,67,76
2,39,1,13534,73,76
2,39,0,13614,73,76
2,40,1,13826,83,81
2,41,1,14102,78,77
2,40,0,14225,83,81
2,42,1,14389,82,76
2,41,0,14463,78,77
2,43,1,14661,81,74
2,42,0,14711,82,76
2,44,1,14934,81,76
2,43,0,14981,81,74
2,45,1,15205,79,79
2,44,0,15249,81,76
2,46,1,15487,83,74
2,45,0,15567,79,79
2,47,1,15765,74,71
2,46,0,15788,83,74
2,48,1,16029,62,72
2,47,0,16068,74,71
2,48,0,16087,62,72
2,49,1,16295,58,72
2,49,0,16357,58,72
2,50,1,16568,60,74
2,50,0,16623,60,74
2,51,1,16851,56,74
2,51,0,16923,56,74
2,52,1,17147,49,76
2,52,0,17725,49,76
2,53,1,18312,60,65
2,53,0,18381,60,65
2,54,1,18594,57,65
2,54,0,18672,57,65
2,55,1,18871,58,64
2,55,0,18932,58,64
2,56,1,19138,56,64
2,56,0,19216,56,64
2,57,1,19476,50,62
2,57,0,20130,50,62
2,58,1,20628,60,67
2,58,0,20683,60,67
2,59,1,20907,57,67
2,59,0,20974,57,67
2,60,1,21207,63,71
2,60,0,21263,63,71
2,61,1,21485,64,71
2,61,0,21551,64,71
2,62,1,21765,70,72
2,62,0,21836,70,72
2,63,1,22039,73,72
2,63,0,22123,73,72
2,64,1,22312,74,73
2,64,0,22407,74,73
2,65,1,22589,76,73
2,65,0,22701,76,73
2,66,1,22883,84,74
2,66,0,23429,84,74
2,67,1,23470,81,77
2,67,0,24002,81,77
2,68,1,24064,77,76
2,68,0,24601,77,76
2,69,1,24664,79,74
2,69,0,25211,79,74
2,70,1,25269,83,72
2,70,0,25622,83,72
2,71,1,25900,86,84
2,71,0,26225,86,84
2,72,1,26528,84,84
2,72,0,26967,84,84
