Instance,RowNr,Key_OnOff,TimeStamp,Velocity,Pitch
14,1,1,0,72,79
14,1,0,114,72,79
14,2,1,292,71,78
14,2,0,370,71,78
14,3,1,572,72,79
14,3,0,688,72,79
14,4,1,858,69,76
14,4,0,926,69,76
14,5,1,1137,76,72
14,5,0,1275,76,72
14,6,1,1422,70,67
14,6,0,1508,70,67
14,7,1,1718,66,67
14,7,0,1807,66,67
14,8,1,2009,69,67
14,8,0,2097,69,67
14,9,1,2301,76,79
14,9,0,2437,76,79
14,10,1,2585,71,78
14,10,0,2687,71,78
14,11,1,2877,70,79
14,11,0,2997,70,79
14,12,1,3160,65,76
14,12,0,3216,65,76
14,13,1,3447,67,72
14,13,0,3626,67,72
14,14,1,3727,72,76
14,14,0,3822,72,76
14,15,1,4002,72,79
14,15,0,4055,72,79
14,16,1,4282,79,84
14,16,0,4390,79,84
14,17,1,4572,80,83
14,17,0,4770,80,83
14,18,1,4848,74,81
14,18,0,4907,74,81
14,19,1,5136,78,81
14,19,0,5192,78,81
14,20,1,5412,79,81
14,20,0,5467,79,81
14,21,1,5702,77,83
14,21,0,5798,77,83
14,22,1,5983,69,81
14,22,0,6041,69,81
14,23,1,6253,68,84
14,23,0,6381,68,84
14,24,1,6543,72,81
14,24,0,6602,72,81
14,25,1,6824,68,78
14,25,0,7015,68,78
14,26,1,7095,68,79
14,26,0,7171,68,79
14,27,1,7401,69,79
14,27,0,7513,69,79
14,28,1,7966,72,79
14,28,0,8096,72,79
14,29,1,9121,73,77
14,29,0,9221,73,77
14,30,1,9411,71,77
14,30,0,9482,71,77
14,31,1,9675,70,76
14,31,0,9743,70,76
14,32,1,9951,73,76
14,32,0,10030,73,76
14,33,1,10266,75,74
14,33,0,10409,75,74
14,34,1,11381,79,79
14,34,0,11593,79,79
14,35,1,11959,76,77
14,35,0,12201,76,77
14,36,1,12539,69,76
14,36,0,12643,69,76
14,37,1,12818,68,76
14,37,0,12891,68,76
14,38,1,13095,69,76
14,38,0,13153,69,76
14,39,1,13376,63,76
14,39,0,13470,63,76
14,40,1,13653,72,81
14,40,0,13780,72,81
14,41,1,13945,71,77
14,41,0,14033,71,77
14,42,1,14226,63,76
14,42,0,14290,63,76
14,43,1,14505,75,74
14,43,0,14552,75,74
14,44,1,14792,69,76
14,44,0,14930,69,76
14,45,1,15058,74,79
14,45,0,15108,74,79
14,46,1,15344,73,74
14,46,0,15393,73,74
14,47,1,15632,69,71
14,47,0,15680,69,71
14,48,1,15895,74,72
14,48,0,15956,74,72
14,49,1,16181,77,72
14,49,0,16272,77,72
14,50,1,16451,78,74
14,50,0,16500,78,74
14,51,1,16731,78,74
14,51,0,16797,78,74
14,52,1,17052,68,76
14,52,0,17214,68,76
14,53,1,18218,76,65
14,53,0,18290,76,65
14,54,1,18505,73,65
14,54,0,18609,73,65
14,55,1,18777,74,64
14,55,0,18826,74,64
14,56,1,19052,69,64
14,56,0,19099,69,64
14,57,1,19360,72,62
14,57,0,19520,72,62
14,58,1,20443,72,67
14,58,0,20493,72,67
14,59,1,20726,76,67
14,59,0,20776,76,67
14,60,1,21005,71,71
14,60,0,21059,71,71
14,61,1,21273,78,71
14,61,0,21326,78,71
14,62,1,21539,79,72
14,62,0,21581,79,72
14,63,1,21820,80,72
14,63,0,21858,80,72
14,64,1,22091,77,73
14,64,0,22151,77,73
14,65,1,22377,83,73
14,65,0,22418,83,73
14,66,1,22675,82,74
14,66,0,22937,82,74
14,67,1,23250,78,77
14,67,0,23514,78,77
14,68,1,23837,77,76
14,68,0,24079,77,76
14,69,1,24431,81,74
14,69,0,24640,81,74
14,70,1,25014,79,72
14,70,0,25295,79,72
14,71,1,25615,82,84
14,71,0,25812,82,84
14,72,1,26241,83,84
14,72,0,26470,83,84
