RowNr,N,Mean,SD,Instance
1,1,0.223443223443223,,1
2,1,0.212454212454212,,1
3,1,0.142857142857143,,1
4,1,0.142857142857143,,1
5,1,0.241758241758242,,1
6,1,0.252747252747253,,1
7,1,0.175824175824176,,1
8,1,0.216117216117216,,1
9,1,0.205128205128205,,1
10,1,0.230769230769231,,1
11,1,0.172161172161172,,1
12,1,0.197802197802198,,1
13,1,0.168498168498169,,1
14,1,0.201465201465201,,1
15,1,0.139194139194139,,1
16,1,0.153846153846154,,1
17,1,0.164835164835165,,1
18,1,0.157509157509158,,1
19,1,0.164835164835165,,1
20,1,0.135531135531136,,1
21,1,0.161172161172161,,1
22,1,0.164835164835165,,1
23,1,0.172161172161172,,1
24,1,0.146520146520147,,1
25,1,0.351648351648352,,1
26,1,0.146520146520147,,1
27,1,0.26007326007326,,1
28,1,0.454212454212454,,1
29,1,0.183150183150183,,1
30,1,0.183150183150183,,1
31,1,0.216117216117216,,1
32,1,0.186813186813187,,1
33,1,1.54212454212454,,1
34,1,0.58974358974359,,1
35,1,0.538461538461538,,1
36,1,0.252747252747253,,1
37,1,0.201465201465201,,1
38,1,0.307692307692308,,1
39,1,0.307692307692308,,1
40,1,0.15018315018315,,1
41,1,0.157509157509158,,1
42,1,0.168498168498169,,1
43,1,0.164835164835165,,1
44,1,0.201465201465201,,1
45,1,0.271062271062271,,1
46,1,0.216117216117216,,1
47,1,0.186813186813187,,1
48,1,0.278388278388278,,1
49,1,0.153846153846154,,1
50,1,0.124542124542125,,1
51,1,0.183150183150183,,1
52,1,1.61904761904762,,1
53,1,0.366300366300366,,1
54,1,0.230769230769231,,1
55,1,0.186813186813187,,1
56,1,0.194139194139194,,1
57,1,1.85714285714286,,1
58,1,0.311355311355311,,1
59,1,0.238095238095238,,1
60,1,0.205128205128205,,1
61,1,0.315018315018315,,1
62,1,0.227106227106227,,1
63,1,0.285714285714286,,1
64,1,0.271062271062271,,1
65,1,0.326007326007326,,1
66,1,1.06593406593407,,1
67,1,0.567765567765568,,1
68,1,0.582417582417583,,1
69,1,0.648351648351648,,1
70,1,1.19413919413919,,1
71,1,0.413919413919414,,1
72,1,0.908424908424908,,1
1,1,0.223443223443223,,2
2,1,0.212454212454212,,2
3,1,0.142857142857143,,2
4,1,0.142857142857143,,2
5,1,0.241758241758242,,2
6,1,0.252747252747253,,2
7,1,0.175824175824176,,2
8,1,0.216117216117216,,2
9,1,0.205128205128205,,2
10,1,0.230769230769231,,2
11,1,0.172161172161172,,2
12,1,0.197802197802198,,2
13,1,0.168498168498169,,2
14,1,0.201465201465201,,2
15,1,0.139194139194139,,2
16,1,0.153846153846154,,2
17,1,0.164835164835165,,2
18,1,0.157509157509158,,2
19,1,0.164835164835165,,2
20,1,0.135531135531136,,2
21,1,0.161172161172161,,2
22,1,0.164835164835165,,2
23,1,0.172161172161172,,2
24,1,0.146520146520147,,2
25,1,0.351648351648352,,2
26,1,0.146520146520147,,2
27,1,0.26007326007326,,2
28,1,0.454212454212454,,2
29,1,0.183150183150183,,2
30,1,0.183150183150183,,2
31,1,0.216117216117216,,2
32,1,0.186813186813187,,2
33,1,1.54212454212454,,2
34,1,0.58974358974359,,2
35,1,0.538461538461538,,2
36,1,0.252747252747253,,2
37,1,0.201465201465201,,2
38,1,0.307692307692308,,2
39,1,0.307692307692308,,2
40,1,0.15018315018315,,2
41,1,0.157509157509158,,2
42,1,0.168498168498169,,2
43,1,0.164835164835165,,2
44,1,0.201465201465201,,2
45,1,0.271062271062271,,2
46,1,0.216117216117216,,2
47,1,0.186813186813187,,2
48,1,0.278388278388278,,2
49,1,0.153846153846154,,2
50,1,0.124542124542125,,2
51,1,0.183150183150183,,2
52,1,1.61904761904762,,2
53,1,0.366300366300366,,2
54,1,0.230769230769231,,2
55,1,0.186813186813187,,2
56,1,0.194139194139194,,2
57,1,1.85714285714286,,2
58,1,0.311355311355311,,2
59,1,0.238095238095238,,2
60,1,0.205128205128205,,2
61,1,0.315018315018315,,2
62,1,0.227106227106227,,2
63,1,0.285714285714286,,2
64,1,0.271062271062271,,2
65,1,0.326007326007326,,2
66,1,1.06593406593407,,2
67,1,0.567765567765568,,2
68,1,0.582417582417583,,2
69,1,0.648351648351648,,2
70,1,1.19413919413919,,2
71,1,0.413919413919414,,2
72,1,0.908424908424908,,2
1,1,0.223443223443223,,3
2,1,0.212454212454212,,3
3,1,0.142857142857143,,3
4,1,0.142857142857143,,3
5,1,0.241758241758242,,3
6,1,0.252747252747253,,3
7,1,0.175824175824176,,3
8,1,0.216117216117216,,3
9,1,0.205128205128205,,3
10,1,0.230769230769231,,3
11,1,0.172161172161172,,3
12,1,0.197802197802198,,3
13,1,0.168498168498169,,3
14,1,0.201465201465201,,3
15,1,0.139194139194139,,3
16,1,0.153846153846154,,3
17,1,0.164835164835165,,3
18,1,0.157509157509158,,3
19,1,0.164835164835165,,3
20,1,0.135531135531136,,3
21,1,0.161172161172161,,3
22,1,0.164835164835165,,3
23,1,0.172161172161172,,3
24,1,0.146520146520147,,3
25,1,0.351648351648352,,3
26,1,0.146520146520147,,3
27,1,0.26007326007326,,3
28,1,0.454212454212454,,3
29,1,0.183150183150183,,3
30,1,0.183150183150183,,3
