NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,68,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
18,299,78,71,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
20,585,79,76,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
22,874,76,67,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
24,1159,72,72,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
27,1453,67,58,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
29,1754,67,57,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
31,2071,67,63,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
33,2414,79,70,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
35,2704,78,70,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
36,2987,79,75,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
39,3275,76,76,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
40,3552,72,75,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
42,3840,76,67,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
44,4130,79,72,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
46,4405,84,75,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
48,4715,83,76,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
50,5033,81,71,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
53,5331,81,65,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
55,5609,81,68,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
57,5898,83,71,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
58,6176,81,68,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
60,6473,84,71,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
62,6764,81,70,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
64,7056,78,67,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
66,7345,79,67,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
69,7659,79,56,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
71,8291,79,50,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
73,9499,77,74,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
75,9769,77,74,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
77,10054,76,66,1,2,100,18,1,7,articulation,performing,7_p_stim_a.png,0
