NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,77,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
18,300,78,76,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
20,591,79,79,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
22,870,76,72,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
24,1170,72,78,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
26,1484,67,62,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
29,1783,67,49,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
31,2059,67,62,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
33,2337,79,81,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
34,2642,78,78,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
36,2928,79,81,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
38,3209,76,79,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
41,3508,72,84,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
42,3824,76,83,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
44,4111,79,84,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
46,4390,84,91,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
48,4680,83,81,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
50,4984,81,67,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
53,5262,81,61,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
55,5547,81,65,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
57,5845,83,84,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
58,6182,81,75,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
60,6484,84,90,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
62,6758,81,85,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
64,7048,78,80,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
66,7332,79,82,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
69,7668,79,80,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
71,8277,79,79,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
73,9448,77,51,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
75,9715,77,54,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
77,10014,76,53,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
79,10288,76,54,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
81,10597,74,54,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
83,11865,79,59,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
85,12467,77,64,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
87,13097,76,57,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
89,13437,76,60,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
91,13728,76,65,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
93,14012,76,73,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
95,14305,81,79,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
96,14647,77,81,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
98,14945,76,84,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
100,15203,74,85,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
102,15481,76,81,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
104,15754,79,89,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
106,16041,74,90,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
108,16311,71,79,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
111,16613,72,68,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
113,16890,72,62,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
115,17168,74,58,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
117,17449,74,57,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
119,17761,76,55,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
121,18949,65,50,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
123,19237,65,55,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
125,19521,64,55,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
127,19808,64,54,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
129,20135,62,50,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
131,21264,67,53,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
133,21551,67,56,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
135,21826,71,49,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
137,22093,71,61,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
139,22373,72,58,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
141,22648,72,66,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
143,22937,73,61,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
145,23218,73,68,1,2,100,13,4,1,dynamics,performing,1_p_stim_d.png,0
