NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,67,1,2,120,21,0,1,non-expression,,black.png,0
19,219,78,65,1,2,120,21,0,1,non-expression,,black.png,0
21,444,79,70,1,2,120,21,0,1,non-expression,,black.png,0
23,660,76,67,1,2,120,21,0,1,non-expression,,black.png,0
25,870,72,71,1,2,120,21,0,1,non-expression,,black.png,0
27,1082,67,57,1,2,120,21,0,1,non-expression,,black.png,0
29,1293,67,66,1,2,120,21,0,1,non-expression,,black.png,0
31,1508,67,65,1,2,120,21,0,1,non-expression,,black.png,0
33,1735,79,78,1,2,120,21,0,1,non-expression,,black.png,0
35,1955,78,65,1,2,120,21,0,1,non-expression,,black.png,0
37,2165,79,71,1,2,120,21,0,1,non-expression,,black.png,0
39,2378,76,71,1,2,120,21,0,1,non-expression,,black.png,0
41,2597,72,70,1,2,120,21,0,1,non-expression,,black.png,0
43,2823,76,72,1,2,120,21,0,1,non-expression,,black.png,0
45,3027,79,75,1,2,120,21,0,1,non-expression,,black.png,0
47,3235,84,74,1,2,120,21,0,1,non-expression,,black.png,0
49,3457,83,74,1,2,120,21,0,1,non-expression,,black.png,0
51,3672,81,66,1,2,120,21,0,1,non-expression,,black.png,0
53,3883,81,69,1,2,120,21,0,1,non-expression,,black.png,0
55,4092,81,68,1,2,120,21,0,1,non-expression,,black.png,0
57,4305,83,63,1,2,120,21,0,1,non-expression,,black.png,0
59,4511,81,68,1,2,120,21,0,1,non-expression,,black.png,0
61,4724,84,68,1,2,120,21,0,1,non-expression,,black.png,0
63,4931,81,72,1,2,120,21,0,1,non-expression,,black.png,0
65,5138,78,79,1,2,120,21,0,1,non-expression,,black.png,0
67,5350,79,72,1,2,120,21,0,1,non-expression,,black.png,0
69,5568,79,74,1,2,120,21,0,1,non-expression,,black.png,0
71,5997,79,61,1,2,120,21,0,1,non-expression,,black.png,0
73,6896,77,81,1,2,120,21,0,1,non-expression,,black.png,0
75,7103,77,76,1,2,120,21,0,1,non-expression,,black.png,0
77,7312,76,76,1,2,120,21,0,1,non-expression,,black.png,0
79,7522,76,71,1,2,120,21,0,1,non-expression,,black.png,0
81,7758,74,57,1,2,120,21,0,1,non-expression,,black.png,0
83,8598,79,70,1,2,120,21,0,1,non-expression,,black.png,0
85,8998,77,73,1,2,120,21,0,1,non-expression,,black.png,0
87,9422,76,75,1,2,120,21,0,1,non-expression,,black.png,0
89,9642,76,70,1,2,120,21,0,1,non-expression,,black.png,0
91,9848,76,70,1,2,120,21,0,1,non-expression,,black.png,0
93,10043,76,76,1,2,120,21,0,1,non-expression,,black.png,0
95,10273,81,78,1,2,120,21,0,1,non-expression,,black.png,0
97,10473,77,67,1,2,120,21,0,1,non-expression,,black.png,0
99,10680,76,65,1,2,120,21,0,1,non-expression,,black.png,0
101,10892,74,63,1,2,120,21,0,1,non-expression,,black.png,0
103,11082,76,70,1,2,120,21,0,1,non-expression,,black.png,0
105,11302,79,61,1,2,120,21,0,1,non-expression,,black.png,0
107,11500,74,66,1,2,120,21,0,1,non-expression,,black.png,0
109,11705,71,70,1,2,120,21,0,1,non-expression,,black.png,0
111,11917,72,75,1,2,120,21,0,1,non-expression,,black.png,0
113,12107,72,70,1,2,120,21,0,1,non-expression,,black.png,0
115,12317,74,76,1,2,120,21,0,1,non-expression,,black.png,0
117,12514,74,73,1,2,120,21,0,1,non-expression,,black.png,0
119,12734,76,59,1,2,120,21,0,1,non-expression,,black.png,0
121,13643,65,87,1,2,120,21,0,1,non-expression,,black.png,0
123,13840,65,77,1,2,120,21,0,1,non-expression,,black.png,0
125,14053,64,72,1,2,120,21,0,1,non-expression,,black.png,0
127,14255,64,74,1,2,120,21,0,1,non-expression,,black.png,0
129,14463,62,65,1,2,120,21,0,1,non-expression,,black.png,0
131,15307,67,81,1,2,120,21,0,1,non-expression,,black.png,0
133,15502,67,76,1,2,120,21,0,1,non-expression,,black.png,0
135,15709,71,76,1,2,120,21,0,1,non-expression,,black.png,0
137,15898,71,74,1,2,120,21,0,1,non-expression,,black.png,0
139,16104,72,75,1,2,120,21,0,1,non-expression,,black.png,0
141,16305,72,78,1,2,120,21,0,1,non-expression,,black.png,0
143,16498,73,81,1,2,120,21,0,1,non-expression,,black.png,0
145,16699,73,68,1,2,120,21,0,1,non-expression,,black.png,0
147,16912,74,73,1,2,120,21,0,1,non-expression,,black.png,0
149,17315,77,75,1,2,120,21,0,1,non-expression,,black.png,0
151,17718,76,68,1,2,120,21,0,1,non-expression,,black.png,0
153,18121,74,68,1,2,120,21,0,1,non-expression,,black.png,0
155,18533,72,70,1,2,120,21,0,1,non-expression,,black.png,0
157,18952,84,75,1,2,120,21,0,1,non-expression,,black.png,0
159,19394,84,72,1,2,120,21,0,1,non-expression,,black.png,0
18,79,79,64,0,2,120,21,0,1,non-expression,,black.png,0
20,273,78,64,0,2,120,21,0,1,non-expression,,black.png,0
22,525,79,64,0,2,120,21,0,1,non-expression,,black.png,0
24,708,76,64,0,2,120,21,0,1,non-expression,,black.png,0
26,966,72,64,0,2,120,21,0,1,non-expression,,black.png,0
28,1142,67,64,0,2,120,21,0,1,non-expression,,black.png,0
30,1355,67,64,0,2,120,21,0,1,non-expression,,black.png,0
32,1568,67,64,0,2,120,21,0,1,non-expression,,black.png,0
34,1829,79,64,0,2,120,21,0,1,non-expression,,black.png,0
36,2026,78,64,0,2,120,21,0,1,non-expression,,black.png,0
38,2248,79,64,0,2,120,21,0,1,non-expression,,black.png,0
40,2418,76,64,0,2,120,21,0,1,non-expression,,black.png,0
42,2721,72,64,0,2,120,21,0,1,non-expression,,black.png,0
