NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,Tempo,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error
17,0,79,71,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
18,275,78,79,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
19,289,79,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
20,554,78,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
21,560,79,77,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
22,822,76,81,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
23,832,79,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
24,1028,76,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
25,1083,72,79,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
26,1360,67,73,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
27,1387,72,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
28,1446,67,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
29,1634,67,56,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
30,1678,67,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
31,1889,67,64,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
32,1941,67,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
33,2160,79,81,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
34,2428,78,79,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
35,2455,79,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
36,2710,79,81,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
37,2748,78,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
38,2977,76,81,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
39,3008,79,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
40,3156,76,64,0,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
41,3251,72,65,1,2,110,4,1,3,dynamics,performing,3_p_stim_d.png,0
