expMode,trialNumber,midFile,ratingCategory,rating,RT1 (manual),RT2 (ratingScale),ratingOrder,subjectNumber,date,globalClock
practice, 1, ./practice/demo_1.mid, articulation, 4, 19.293082494999908, 19.279, articulation, 2, 2020_Aug_14_1206, 193.49295475100007
practice, 1, ./practice/demo_1.mid, dynamics, 1, 5.313113768999756, 5.297, articulation, 2, 2020_Aug_14_1206, 198.82793023799968
practice, 2, ./practice/demo_2.mid, dynamics, 2, 47.43017616799989, 47.417, dynamics, 2, 2020_Aug_14_1206, 278.32992382500015
practice, 2, ./practice/demo_2.mid, articulation, 3, 16.42349221099994, 16.409, dynamics, 2, 2020_Aug_14_1206, 294.7740734959998
practice, 3, ./practice/demo_3.mid, dynamics, 5, 19.52568343799976, 19.511, dynamics, 2, 2020_Aug_14_1206, 346.92344441600017
practice, 3, ./practice/demo_3.mid, articulation, 5, 8.135832134000339, 8.122, dynamics, 2, 2020_Aug_14_1206, 355.0781024549997
experiment, 1, ./mid/high_15.mid, dynamics, 2, 3.210728890999235, 3.197, dynamics, 2, 2020_Aug_14_1206, 508.75294396200024
experiment, 1, ./mid/high_15.mid, articulation, 2, 0.6958867880002799, 0.682, dynamics, 2, 2020_Aug_14_1206, 509.46957882399965
experiment, 2, ./mid/high_14.mid, articulation, 2, 1.7633014809998713, 1.75, articulation, 2, 2020_Aug_14_1206, 543.4572264660001
experiment, 2, ./mid/high_14.mid, dynamics, 4, 0.9793036929995651, 0.966, articulation, 2, 2020_Aug_14_1206, 544.4573521849998
experiment, 3, ./mid/art_5.mid, dynamics, 2, 8.116235539000627, 8.102, dynamics, 2, 2020_Aug_14_1206, 583.7180852539996
experiment, 3, ./mid/art_5.mid, articulation, 2, 3.478773239000475, 3.465, dynamics, 2, 2020_Aug_14_1206, 587.2177762040001
experiment, 4, ./mid/low_14.mid, articulation, 1, 1.5804086680000182, 1.566, articulation, 2, 2020_Aug_14_1206, 621.0337420899996
experiment, 4, ./mid/low_14.mid, dynamics, 1, 1.0289383149993228, 1.015, articulation, 2, 2020_Aug_14_1206, 622.0836273429995
experiment, 5, ./mid/dyn_3.mid, dynamics, 3, 4.2284701559992754, 4.214, dynamics, 2, 2020_Aug_14_1206, 659.1658220449999
experiment, 5, ./mid/dyn_3.mid, articulation, 1, 1.1970563430004404, 1.182, dynamics, 2, 2020_Aug_14_1206, 660.3829720129997
experiment, 6, ./mid/low_12.mid, articulation, 1, 1.4480106370001522, 1.434, articulation, 2, 2020_Aug_14_1206, 693.3373213839996
experiment, 6, ./mid/low_12.mid, dynamics, 1, 2.179155871000148, 2.165, articulation, 2, 2020_Aug_14_1206, 695.5374547499996
experiment, 7, ./mid/art_2.mid, articulation, 4, 6.91967901299995, 6.906, articulation, 2, 2020_Aug_14_1206, 734.4812422550003
experiment, 7, ./mid/art_2.mid, dynamics, 1, 2.178705483000158, 2.165, articulation, 2, 2020_Aug_14_1206, 736.6809323280004
experiment, 8, ./mid/high_8.mid, articulation, 5, 2.764916180999535, 2.751, articulation, 2, 2020_Aug_14_1206, 771.7964819119998
experiment, 8, ./mid/high_8.mid, dynamics, 1, 1.1628747810000277, 1.149, articulation, 2, 2020_Aug_14_1206, 772.980383354
experiment, 9, ./mid/dyn_2.mid, dynamics, 3, 1.6773833259994717, 1.664, dynamics, 2, 2020_Aug_14_1206, 806.3294304889996
experiment, 9, ./mid/dyn_2.mid, articulation, 1, 1.4457798580006056, 1.432, dynamics, 2, 2020_Aug_14_1206, 807.79568707
experiment, 10, ./mid/art_8.mid, articulation, 3, 1.313461090000601, 1.299, articulation, 2, 2020_Aug_14_1206, 841.3454918010002
experiment, 10, ./mid/art_8.mid, dynamics, 1, 1.5780484369997794, 1.564, articulation, 2, 2020_Aug_14_1206, 842.9450513539996
experiment, 11, ./mid/dyn_1.mid, dynamics, 3, 4.629355520999525, 4.615, dynamics, 2, 2020_Aug_14_1206, 879.5280214909999
experiment, 11, ./mid/dyn_1.mid, articulation, 1, 1.4787146609996853, 1.464, dynamics, 2, 2020_Aug_14_1206, 881.0278194829998
experiment, 12, ./mid/low_6.mid, dynamics, 1, 1.6832660390000456, 1.669, dynamics, 2, 2020_Aug_14_1206, 914.5272364829998
experiment, 12, ./mid/low_6.mid, articulation, 2, 1.8621696279997195, 1.848, dynamics, 2, 2020_Aug_14_1206, 916.4103544399995
experiment, 13, ./mid/art_15.mid, dynamics, 1, 2.7460531500000798, 2.732, dynamics, 2, 2020_Aug_14_1206, 953.0929406879995
experiment, 13, ./mid/art_15.mid, articulation, 5, 1.5801959609998448, 1.566, dynamics, 2, 2020_Aug_14_1206, 954.6927727209995
experiment, 14, ./mid/high_5.mid, dynamics, 4, 1.2951330509995387, 1.281, dynamics, 2, 2020_Aug_14_1206, 986.7591685669995
experiment, 14, ./mid/high_5.mid, articulation, 3, 0.7282960069996989, 0.715, dynamics, 2, 2020_Aug_14_1206, 987.5083886339999
experiment, 15, ./mid/low_8.mid, articulation, 1, 1.2450117749995115, 1.231, articulation, 2, 2020_Aug_14_1206, 1020.9748633489999
experiment, 15, ./mid/low_8.mid, dynamics, 1, 1.4287595709993184, 1.415, articulation, 2, 2020_Aug_14_1206, 1022.4246791830001
experiment, 16, ./mid/dyn_8.mid, dynamics, 2, 1.5146194540002398, 1.501, dynamics, 2, 2020_Aug_14_1206, 1055.9461248440002
